,D001714
1522__36835,0.32289628632750994
1406__1280_28025,0.3509632186351484
1121298__820_204516,-0.08468970126648487
1506__1725,0.7613447837762151
907__1630,-0.005017048558716974
1303__470565,0.2632580529990564
818__28117,-0.016761288888527518
57706__45851_1465754,0.02539316276457446
136857__39496_216935,0.21377720525122335
33029__33032,-0.6147779903546866
1264__29348,-0.11018406859749592
102862__479117,-0.8079645415977983
47877__47880,-0.5723497492772593
316__35833_40324,0.5022824922390453
584__28118,-0.3186805216010076
328812__1661050,0.12080661920239805
547163__879_341225,1.2725602708220725
34038__574930,-0.8314995125215817
1717__1746653,0.4822591305097911
29461__415956,-0.1760782363285869
2741__47715,0.44423155831048544
29430__52787,0.14746951073549305
133926__871324,0.7761342900867222
29355__508460,-0.9728057590082334
817__351091,0.00894432584322361
370979__490189,0.09422438795873002
29356__185293,1.0648347542962608
502558__46503_387090,0.1908757614676576
300__470,0.12768727629644072
851__40681,0.9231271435389052
28037__291644,0.03931580883368658
157687__228604,0.18247777765623274
33038__301301,0.13536961380673573
303__1661055_1661059,-0.0
34062__52773,-0.0
633417__40215_202955,-0.2570514373854484
40215__202955,-0.0
1661055__1661059,-0.0
31971__163877,0.1620415867590018
1736__33035_43131,1.0001443807375692
1382__1687,0.4641171411947872
128780__1148157,0.49629720799393795
199__60133,-0.17621807937228545
1472__1844653,0.16795896213105066
187491__1859290,-0.37030209586957696
1660__1691,0.4941026181378356
39960__237258,0.5554490029510395
28130__76517,-0.4615662476644841
1254__1681,-0.6588946091293305
1282__39489,0.2900415351433652
1671366__28161_1113922,0.12429671869131274
207340__823_310297,0.056096574305379884
1358__626931,-0.3449476028025857
901__1510,0.4425338333718182
39645__294_228603,0.40143235203701055
876__143393,-0.5926546115789892
1755629__33043_329854,0.06325165174682988
1408__197614,-0.10221014360562823
483012__218538_239935,0.013691392885488856
820__204516,0.0563816705033179
45851__1465754,-0.11736610617469805
285__83617,0.5656883172826279
118748__1465521,1.1748916594053578
216947__626933,-0.4082205980139824
46503__387090,0.14772066707137466
658457__2173_53412,0.17851383857828249
307126__29552_214856,0.593779595071327
1670__1265_78342,0.26622739044803445
35833__40324,0.5830516609584848
39496__216935,0.6101722273328445
1260__28128,-0.4458407097290737
29524__1535_310298,-1.2222137434887347e-06
529__101564,-0.5496906450551854
41276__55197,0.9905128073657682
284042__745310,-0.582018528448203
1280__28025,0.9777705665375699
626935__1463864,0.8980642954125774
823__310297,0.04706107606891741
147207__1463837,1.1469420050763954
158787__74426_153151,0.601411505770078
1680__1685,-0.08154427668531429
33035__43131,0.3871054704904873
1613__40518_165179,-0.010696420799878722
41976__39485_328813,0.02248657743498495
879__341225,-1.2770073628597522
1304__47770,0.1820677490261924
294__228603,0.8503358118619603
33043__329854,-0.15582891837458862
218538__239935,-0.05602071082355893
114527__562_1515,0.06910336203080135
1559__36745,1.5434838157694206
28161__1113922,0.9566996934510876
371601__208479_1161942,0.35596566757577897
29552__214856,-0.5309327516119684
40518__165179,0.14808379640709288
1535__310298,0.11500515450889895
1265__78342,0.482244080674977
39485__328813,-0.07493314493807482
562__1515,0.17833956756857494
2173__53412,0.6999556709871803
39488__187327_1755626,-0.19864313663360506
292__762210,-0.5341587586641264
208479__1161942,0.4008543885049633
74426__153151,0.8487607708505186
187327__1755626,0.10073763845397324
