"","74426__821_216816","39484__729_1623","536633__1680_301301","39491__69825","33043__239935","487175__820_341225","821__216816","1515__907_166486","1694__45851","1496__310297","817__47877","208479__454154","1547__84031","1520__397865","294__28037","562__44749","39496__40518","1264__97478_218538","1680__301301","88431__28116_39485","46503__102684","1630__147207","1685__84026","357276__310298_349096","309120__1735_261299","907__166486","28117__1308_40519","820__341225","35760__28026_351091","729__1623","97478__218538","573__29348_46506","1304__187327","78346__39488_1755626","1308__40519","28116__39485","28026__351091","310298__349096","1735__261299","633701__40520_165179","29348__46506","40520__165179","39488__1755626"
"SRR7008043",0,0,0,0,0,-2.16532173741241,0,0,0,0,0,0,0,0,0,0,-4.09088744366643,1.88119317216225,0,0,0,0,0,-3.42889806524538,0,0,2.17180568210696,3.7504472639316,0,0,-4.34036079806447,0,0,-3.12066421316628,-3.70542362420577,0,0,5.93902566297962,0,-2.1157957148026,0,3.66466567647462,-5.40514897056596
"SRR7008044",4.47479210493564,0,0,0,0,-2.12837934369592,0,0,0,0,0,0,0,0,0,0,-4.12617140902651,-3.32891244129209,0,0,0,0,0,-2.19716275252613,2.02918421870026,0,0,-3.68646116106143,0,0,-5.76584548226606,0,0,-2.93102911303298,0,0,0,3.80559751987314,5.25484533352051,-2.30875607697157,0,3.99888282759816,-5.07669134223666
"SRR7008045",0,0,-4.89694677328469,0,4.17778227439402,0,0,0,0,0,0,0,0,0,0,0,-4.92626981119218,0,0.681100959111974,0,0,0,0,0,0,0,-2.32670723143614,0,0,0,0,-2.29251611930861,0,-5.49116104904072,-4.02997513918531,0,0,0,0,-2.64604850198314,-3.97075439581314,4.58309044472632,-0.852840704926508
"SRR7008046",0,0,-5.37145979143761,0,0,0,0,2.67834060124794,0,0,0,0,0,0,0,0,-0.598378424690342,0,0.412187448624298,0,0,0,0,0,0,-4.1442784346554,-2.364425408957,0,0,0,0,0,0,-3.27407199519453,-4.09530493902035,0,0,0,0,-2.55262770159471,0,4.42128087196981,-5.67085904331533
"SRR7008047",0,0,-2.40318813365622,0,4.04889397418666,-2.24525293121742,0,0,0,0,0,0,0,0,0,0,0,-2.35053596387005,-4.16244394763919,0,0,0,0,0,-3.00586068489358,0,-2.3492424816116,-3.88889215271152,0,0,-4.07124771444081,0,0,-2.97239259103043,-4.06900733745048,0,0,0,5.20630342670946,-4.65524119274149,0,-0.100112430776605,-5.14833498770601
"SRR7008048",0,0,0,0,0,-2.56141776133276,0,0,0,0,0,0,0,0,0,0,0,-2.41531354498021,0,0,4.14563751458817,0,-4.5385441264858,4.59947473586773,0,0,0,4.43650570203767,-4.9758383999411,0,-4.18344577611502,0,0,-2.89286032220412,0,0,0.14770772480223,0,0,0,0,0,-5.01058105725761
"SRR7008049",4.87471523726862,0,0,0,0,-2.3651820861309,0,0,0,0,0,0,0,0,0,0,0,-2.43283419300635,0,-2.41129908783617,0,4.34385591805908,0,-2.50731611258223,-2.56776013662259,0,0,4.09661554233046,0,0,-4.21379242867782,0,-4.12770847401791,-2.88870678622474,0,4.17649253237674,0,-4.34279889762851,4.44749101828034,0,0,0,-5.00338692191026
"SRR7008050",2.81090038772393,-2.47622672077028,-2.49837553808545,0,0,0,4.14630835140859,-2.70806474505796,0,0,0,0,0,0,0,0,-4.52390043005897,-2.61178726826703,4.32731336835123,0,0,0,0,0,-2.56127453687562,4.69050572862645,0,0,0,-4.2889504914338,-4.52374824720002,0,0,-2.94435152052851,0,0,0,0,4.43625763000103,0,0,0,-5.09976642889807
"SRR7008051",4.80343802589187,4.88523815775957,0,0,0,0,0,0,0,0,-4.1627187357422,0,4.40624964469495,0,4.97742226357723,0,-4.03395248570053,0,0,0,0,0,0,-2.53377151041342,0,0,0,0,0,0,0,0,0,-2.97738214146079,0,0,0,4.38862099080657,0,-2.37187520438276,0,4.10820836320375,-5.15697714255831
"SRR7008052",-2.4606148333617,0,4.73300867315773,3.74188797413528,0,0,4.26190990924009,0,0,0,0,0,0,0,0,0,-1.69216784655127,0,0,4.37112913458083,0,0,0,0,0,0,0,0,-2.18904133343795,0,0,0,0,-3.3400601975249,0,0,3.79153080938286,0,0,-2.55754131760103,0,4.42979150454164,-5.78515396245166
"SRR7008054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07278536631009,0,-4.6906831804266,-2.81830045890646,0,0,-4.05210322017881,0,0,-2.76659365448805,0,0,-2.57516742723283,0,0,0,4.88143958582067,0,4.57108523311076,-2.70974862980808,4.46032082196369,0,0,4.79188077347097,0,-2.38440818405944,0,4.12991612077399,-4.69342230256774
"SRR7008063",0,4.72004087338294,0,0,0,0,0,5.11940574669118,0,0,0,0,0,0,0,0,-5.02035318577935,-2.60790985601292,0,0,0,0,0,0,-5.03736609201922,0,0,0,0,0,-4.51703237217401,0,0,-5.47119105315763,0,0,0,0,0.973210454413303,-2.6766878043456,0,4.63615927312657,-1.36484340914709
"SRR7008064",0,0,0,0,-4.62880905554576,-4.74405912993498,0,0,0,0,0,0,0,0,0,0,-4.39070607127286,-2.44166488288602,0,0,0,0,0,0,0,0,0,0.192349127917872,-2.25885434466933,0,-4.2290876322153,0,0,-5.25643168362975,0,0,3.91245049186498,0,0,-2.43981194926701,0,4.22587825704413,-1.16407080933859
"SRR7008065",1.90765006393877,4.18768267908796,0,0,0,-2.34762134275123,3.81093529098604,0,0,0,0,0,0,0,0,0,0,0,0,-2.08052017229099,0,0,0,-3.24396798136243,0,0,0,4.06619944257819,0,0,0,0,0,-5.24810734402801,0,-3.60356664457994,0,5.61871736184638,0,-2.48699145143161,0,4.30759555186901,-1.68305482527584
"SRR7008066",0,0,-2.26626867688894,0,0,-2.32755596331601,0,0,0,0,4.47902064327691,0,0,0,0,0,-5.10063481553278,0,-3.92529249197353,0,0,0,0,0,0,0,0,-4.03144518592325,-2.28291418960284,0,0,-2.23476771436788,0,-5.06208197907331,0,0,3.95412336571205,0,0,-2.26522363257808,3.87073122439974,3.92348242213096,-0.816729656806826
"SRR7008067",4.75198527908308,0,-5.1543262402171,4.66998449206384,0,0,0,0,0,0,0,0,0,0,0,0,-4.57769190359589,0,1.06009168165704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12473812211132,0,0,0,0,0,-2.638656221792,0,4.57028663985147,-0.693092044305841
"SRR7008068",-2.96561248413646,0,0,0,0,0,-5.1365914980849,0,4.68892817219235,0,0,0,0,0,0,0,0,-2.92872154560389,0,0,0,0,3.89141346244898,0,-2.53036852086127,0,0,0,1.72166063913032,0,-5.0726945182076,0,0,-2.31080999807502,0,0,4.57997810191845,0,-4.38272684000463,0,0,0,-4.00244032330408
"SRR7008069",4.57475996920115,0,0,0,0,-4.81141097755684,0,0,0,0,0,0,0,0,0,0,-4.16798245536028,0,0,0,0,0,0,0,0,0,-2.70952143877043,0.0158965101122549,0,0,0,-4.69469143019641,0,-2.51178019273235,4.69302879614752,0,0,0,0,-2.55205412702188,0.0912719011911697,4.42028741166773,-4.35053091125757
"SRR7008070",4.42341257645059,4.53224955182144,5.04844984341649,0,0,-2.64486365943713,0,0,0,0,0,0,0,0,0,0,-4.20592096598485,0,0,0,0,0,0,0,-2.44850705250317,0,0,-4.58103823723766,0,0,0,0,0,-5.51295435957005,0,0,0,0,-4.24093861762621,-2.76855781548666,0,4.7952828001148,0.0241019561564333
"SRR7008071",0,0,-0.820434294006102,3.78740041432122,0,0,0,0,0,0,0,0,0,0,0,0,-4.90080416658267,0,0.372004898780924,0,0,0,0,0,-2.20521638765801,0,0,0,0,0,0,0,0,-5.32969695742461,0,0,0,0,-3.81954682510718,-2.69175890861214,0,4.66226319144238,-0.717196373749359
"SRR7008072",0,0,0,-3.9907594742403,0,-2.35656357140397,0,0,0,0,0,0,0,0,0,0,-4.60491678998311,0,0,-2.31193450235256,0,0,0,-5.72535611815334,0,0,0,-4.08168783693765,0,0,0,-2.30505850043295,0,-2.85006923656824,0,-4.0043880218461,0,0.354831664629725,0,0,3.9924784371684,0,-4.93646472282523
"SRR7008073",-2.36014833888354,0,-2.60115449212113,-3.88527653019054,0,0,4.08789683634559,-2.33128495186671,0,0,0,0,0,0,0,0,-4.47423299645923,0,-4.50533173868982,-2.30622989456699,0,0,0,0,0,-4.0379039835539,0,0,0,0,0,0,0,-5.49475382517229,0,-3.99450735132424,0,0,0,-2.33240429732076,0,4.03984274675154,-1.43750730677877
"SRR7008074",0,0,-2.41870514025424,4.42984116789194,0,0,0,0,0,0,0,0,0,0,0,0,-4.24991985016334,0,4.18932019144835,-2.30523364816302,0,0,0,0,-2.37364115757994,0,0,0,0,0,0,0,0,-5.42695780344018,0,-3.99278180193572,0,0,-4.11126708386506,-4.82147634270249,0,0.35747706209383,-1.15035810001384
"SRR7008075",-2.38809245038297,0,-2.4130679314224,0,0,-2.61600420492792,-4.13629745723496,0,0,0,0,0,0,0,0,0,-4.36622822740078,0,4.17955625933873,0,0,0,0,0,0,0,-2.98246674689785,-4.53105219574898,-2.55009500340462,0,0,-2.5868521032114,0,-2.64285410448677,5.16578393751174,0,4.41689411002433,0,0,-2.56042243790484,4.48055927442855,4.43478175129056,-4.57755758596304
"SRR7008076",4.62514577835219,0,-5.43940157736229,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.853940575382567,0,0.840169839664798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.939521699344262,0,0,0,0,0,-2.64675103883142,0,4.58430727424173,-1.01923501912915
"SRR7008077",-2.28298909926437,0,-2.58237188904878,0,0,0,3.95425311305179,0,0,0,0,0,0,4.11834556058196,0,0,0,0,-4.47279931587011,-2.51675088940998,0,0,0,-2.8534231676058,0,0,0,0,-2.5941991915951,0,0,0,0,-2.61379085269051,0,-4.35914041045225,4.49328480479682,-4.94227390178737,0,-2.53660091785506,0,4.39352166825081,-4.52721855721875
"SRR7008078",-2.55969693106577,0,-2.98056022689381,0,0,0,4.43352513658405,2.114100789221,0,0,0,0,0,0,0,0,-4.21498231055206,0,-5.16248174799909,-2.8423913192453,0,0,0,0,0,-4.33153714938946,0,0,0,0,0,0,0,-5.53010633999071,0,-4.92316617992559,0,0,0,-2.35847274888302,0,4.08499462933203,-1.04347138262845
"SRR7008079",4.96028647306819,0,2.55629647320831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.4358863844979,-2.41554030446559,0,0,0,-2.64382626992914,0,0,0,0,0,0,0,-2.29062749945387,0,-5.5847744609101,0,-4.18383853506479,0,-4.57924142590259,0,-2.67682877005557,3.96748321026856,4.63640343289836,-1.16812136947151
"SRR7008080",5.54584849505053,0,0,4.84046087884946,0,-2.45819288045128,0,0,0,0,0,0,0,0,0,0,-4.04221310557817,0,0,0,0,0,0,0,0,0,0,-4.25771496374571,-2.57724356741966,0,0,0,0,-5.63716982501341,0,0,4.46391680225092,0,0,-5.22370671142389,0,0.0996209391584603,0.106675460805237
"SRR7008081",-2.66588074450386,0,0,0,0,0,4.61744089640023,0,0,0,0,0,-4.13516517529934,0,0,0.382246296243971,0,0,0,-2.42770214932818,0,-4.04902163127259,0,0,0,0,0,0,0,0,0,0,0,-5.16119497004398,0,-4.20490346828058,0,0,0,-2.37368239705318,0,4.11133851272799,-0.711809821351512
"SRR7008082",5.14430753029908,0,-2.30228829116005,0,4.03033201553926,0,0,0,0,0,0,0,0,0,0,0,-4.2731656723534,0,-3.98768029396013,-2.4039929450581,0,0,0,0,0,0,0,0,-2.39734334589846,0,0,0,0,-5.53770218208078,0,-4.16383792187777,4.1523204782833,0,0,-2.63499130974994,0,4.56393882598937,-0.706572313035709
"SRR7008083",0,0,-5.16348461982763,0,0,-2.52009336864023,0,0,0,0,0,-4.31339638070789,0,0,0,0,-0.155624110474152,-2.64287737052997,-0.506125710622682,0,4.46794568754297,0,0,0,0,0,0,4.36492975430228,0,0,-4.57759788393195,0,0,-2.95183081792779,0,0,0,0,0,0,0,0,-5.11272095199854
"SRR7008084",4.54901562751604,4.08868771317626,0,0,0,5.58593917082851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.31728423942894,0,-3.2646526969852,0,0,0,0,0,0,0,0,-3.09016166825091,0,0,0,0,5.65454434024513,-0.0273303343040706,0,-0.960612518977395,-5.35231701301239
"SRR7008085",-2.25136357010817,0,-2.36212957229872,0,0,0,3.899476089737,0,0,0,0,0,0,0,0,0,-4.14034439103417,0,-4.09132843328232,-2.58104874815502,0,0,0,-2.71646656343878,0,0,0,0,0,0,0,0,4.5758916072238,-5.38189714457499,0,-4.47050756861655,0,-4.70505810493798,0,-2.59020538173268,0,4.48636732319934,-0.783909941270792
"SRR7008086",2.81866712167798,0,-2.61600834630115,0,0,0,-3.8738405917468,-2.24532224484671,0,0,0,0,0,0,0,0,-4.75806269548905,0,-4.53105936881783,-2.45423130311097,0,0,0,0,0,-3.88901220743912,0,0,0,0,0,0,0,-5.2738808008474,0,-4.25085331051417,0,0,0,-2.35644822797466,0,4.08148805625776,-1.2947711223091
"SRR7008087",-2.43811067597378,4.49999604942071,-2.90527056893855,0,0,0,4.22293156526268,-2.35610004511492,0,0,0,0,0,0,0,0,-5.10460631242384,0,-5.03207623513611,-2.40309744940485,0,0,0,0,0,-4.08088498585437,0,0,0,0,0,0,0,-5.28019426536178,0,-4.16228687790839,0,0,0,-2.33710758276642,0,4.04798907610593,-1.56229900579938
"SRR7008088",-2.28906462863122,0,-2.62774843915336,0,0,0,3.96477623859806,-2.27957851919804,0,0,0,0,0,0,0,0,-3.92626750035917,0,-4.55139380612344,-2.62427207303885,0,0,0,0,0,-3.94834581509364,0,0,-2.41972786564591,0,0,0,0,-5.48255476411039,0,-4.54537256338739,4.19109160378892,0,0,-2.41710051027306,0,4.1865408907936,-1.36972664505845
"SRR7008089",0,0,2.36059611061471,0,0,0,0,-2.27505233595309,0,0,0,0,0,0,0,0,-4.17042352158845,0,-3.9668343222299,-2.44610459533326,0,0,0,0,0,-3.94050623574901,0,0,0,0,0,0,0,-5.52117118818537,0,-4.23677743974492,0,0,0,-4.64329441522904,0,0.37483435823112,-1.5965262613183
"SRR7008090",5.95939332154968,0,0,4.47679353955257,0,-2.60840485792393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29224162053178,-4.51788974063372,-2.3760075500658,0,0,0,0,-5.31059661190678,3.97027894998505,0,4.11536579588122,0,0,-5.1878979540542,0,0.494928660337074,-0.989713600920446
"SRR7008091",-2.31591839673956,0,-2.43377363728839,0,0,0,4.01128832933638,-2.46569444151626,0,0,0,0,0,0,0,0,-4.54348972211419,0,-4.2154195939052,-2.49976805483844,0,0,0,-2.27631055323317,0,-4.27070804864634,0,0,0,0,0,0,0,-5.36609728876271,0,-4.3297252781178,0,3.94268553200507,0,-2.42882544798476,0,4.20684907862584,-0.763816325084224
"SRR7008092",0,0,0,-4.7208392553839,-5.12075053470202,5.44226329331101,0,0,0,4.56664851545441,0,4.29545889264678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7353443462245,0,0,0,0,0,0,0,0,-4.73775538385712
"SRR7008093",0,0,-2.42640281680175,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.21887748603027,-2.74879550558415,-4.20265295832887,0,0,0,0,-2.38012616341257,-2.61845475285019,0,0,0,0,0,-4.76105347528872,0,0,-5.47163539017493,0,0,0,4.12249944345455,4.53529666925674,-4.73533744224352,0,0.0312089211708429,-1.21175702612018
"SRR7008094",-2.37427990175203,-2.34957269912747,-2.70968443646074,-4.62492688539004,0,0,4.11237342122417,0,0,0,0,0,0,0,0,0,0,0,-4.69331111642864,-2.89725649032541,0,0,0,-3.09542019519874,0,0,0,0,-2.63904097057714,4.06957929096552,0,0,0,-2.79285748507442,0,-5.0181954438023,4.5709530442955,-5.36142504885899,0,-2.33663373288898,0,4.04716834404303,-4.83737106244793
"SRR7008105",2.6421743168635,0,4.47858357625175,0,0,0,4.09672161149677,0,0,-4.08261151172209,0,0,0,0,0,4.30332485378762,-4.14087393306172,0,0,0,0,0,0,-2.79959498967312,0,0,0,0,0,0,0,0,0,-3.06488679709665,0,0,0,4.8490407627291,0,-2.26159163529652,0,3.91719161830636,-5.30853965201845
"SRR7008106",4.86287446516552,0,4.70659191673888,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.09401519227501,-2.3697251084245,0,0,0,0,0,-5.54157155795197,0,0,0,0,0,0,-4.10448428776289,0,0,-3.20504953595028,0,0,0,-0.601498065127889,0,-5.12257641557436,0,-0.743462077924595,-5.55130863704093
"SRR7008107",0,0,-2.39953264325592,4.23212652630812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.15611245253929,-4.97400587335071,0,0,0,0,-2.27643188046518,0,0,0,0,0,0,0,0,-5.41736354135633,0,-0.418735075039985,0,0,3.94289567693525,-5.56189646056842,0,-1.20910230279299,-1.24129270700052
"SRR7008108",0,4.78073554994076,0,-4.02674048410131,0,0,0,0,0,0,0,0,0,0,0,0,-4.37662030143965,0,0,0,0,0,0,-2.92737601604938,-2.85230979699845,0,0,0,0,0,0,2.95207745479672,0,-2.98645723421269,0,0,0,5.0703639926561,4.94034548732779,0,-4.24221323893451,0,-5.172695664288
"SRR7008109",4.95017273558677,-2.58398313475736,-2.43918019081823,0,0,0,0,-2.49192209571354,0,0,0,0,0,0,0,0,-4.1370460880327,0,-4.22478401931272,0,0,0,0,0,0,-4.31613567827936,0,0,0,4.47559007530085,0,0,4.2763632914536,-5.68691978073103,0,0,0,0,0,-2.49871514334187,0,4.32790158190987,-0.777908502499658
"SRR7008110",0,0,-2.36837908580567,3.97347018633451,0,0,0,-2.40846185080394,0,0,0,0,0,0,0,0,-4.91604437156377,0,-4.10215290819894,0,0,0,0,-5.03893748096094,0,-4.1715782936838,0,0,0,0,0,0,0,-5.14005074296739,0,0,0,-0.393097965639841,0,-2.19288004843023,0,3.79817965878525,-1.23076832015895
"SRR7008111",5.38908364738714,0,4.69565017275901,0,-4.15078999331802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76155022628777,0,0,0,-5.52309922487574,0,0,0,0,0,0,0,0,0,-5.46770739816478,0,0,0,-1.41370666237979,0,-2.51874494405016,0,4.36259421440211,-1.36570994420075
"SRR7008112",2.82191866841144,0,0,0,0,0,4.14531887608312,0,0,0,0,0,0,0,0,0,0,-5.44369409954186,0,0,0,0,0,0,0,0,0,0,0,0,-1.06857546089951,0,4.83175333906654,-5.35138511671374,0,0,0,0,0,-4.90676041110431,0,0.170437578253289,-0.61435900210331
"SRR7008113",4.03849109490278,0,0,0,0,-2.30877365692584,4.64259659651556,0,0,0,0,0,0,0,0,0,-4.42785398319164,0,0,0,0,0,0,-2.81682110563281,0,0,0,3.99891327697215,0,0,0,-2.38647524998466,0,-2.83458683981985,0,0,0,4.87887727078837,0,-4.58864573392431,-4.13349638397906,0.187100056778493,-4.90964842503409
"SRR7008114",-2.30573428913066,0,0,-3.98016552379802,0,0,3.99364893752801,-2.64279011603031,0,0,0,0,0,0,0,4.21046474197699,0,0,0,0,0,0,0,-2.66989713352296,0,-4.57744675470534,0,0,0,0,0,-2.75114450946181,0,-3.08557265623216,0,0,0,4.62439748624427,0,-4.73302667165923,-4.76512206935202,-0.432780037324101,-5.34436861103936
