"","818__39491","820__573_357276","562__1689_246787","40545__850_626932","821__28111","292800__1531_338188","1689__246787","39485__28116_204516","817__46506","1512__310298","371601__751585","1681__33043","1318__40520","29466__329854","2173__469610","1735__291645","729__29348","103892__291644","1531__338188","387661__187327_328814","550__40518","1685__239935","823__853_47678","33039__74426","573__357276","166486__218538_360807","469591__29361_487174","626940__28117_674529","850__626932","46503__165179","39492__328813","28118__487175","1680__216816","187327__328814","28116__204516","853__47678","29361__487174","218538__360807","28117__674529"
"ERR1823597",0,5.54880393922967,0,-2.75412933980861,4.66197038303282,0,0,0,-0.778993343929981,0,-4.99910847475135,0,0,0,0,0,0,0,0,0,0,0,-3.13425195863645,0,0,-3.05738303789791,-2.56586905199874,0,-4.77029194716464,0,0,0,0,0,0,5.4286836360806,-4.44421556363042,-5.29554275983847,0
"ERR1823598",0.823960079223368,0,0,0,4.30245939446341,0,0,0,5.84087340179595,0,0,0,0,0,4.17769432730797,0,0,0,0,0,-4.74431910749788,-3.93961230401867,0,0,0,0,0,0,0,0,-2.01523292767162,0,0,0,0,0,0,0,0
"ERR1823599",0,5.40433318906371,0,0,5.19997816594742,0,0,0,0,0,0,-4.98722277740029,4.95761948881221,0,0,4.50624422784345,4.79333385925485,-5.27906217848792,0,0,0,0,-3.12517688405977,0,0,0,0,-2.5964471416452,0,0,0,0,0,0,0,5.41296514583131,0,0,4.49717836849647
"ERR1823600",4.41529640541361,-2.64961803356369,0,0,4.13553916068916,-3.03510683289438,0,0,-5.9230678453863,0,0,0,0,0,0,0,0,0,-5.25695924097254,0,0,0,-0.0748938827245764,0,4.58927305478305,0,0,-3.17766532192442,0,0,0,0,0,0,0,-0.869136138945579,0,0,5.5038777870228
"ERR1823601",-4.81581401427193,6.55834182392896,0,0,4.71524853420208,0,0,-6.43395218692605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45388705046939,0,0,-2.7416661334031,0,-2.50246721389928,0,4.70527346569372,0,0,0,0,0.31075580043721,-4.25025704744831,0,4.74870504044507,4.33440035874889
"ERR1823602",0,0,0,0,6.01509183905898,0,0,-2.68896594320418,4.59746662188694,0,0,0,0,0,0,-4.4485695910764,0,0,0,0,0,0,-3.21584152332514,-0.720983293187677,0,0,-2.74569720279286,0,0,0,0,0,0,0,4.65742563345201,-5.57000090748884,4.75568705743699,0,0
"ERR1823603",4.91085942533128,6.50999580409833,0,2.22631198373979,6.15920430006073,0,0,-3.02513134307227,-0.865276244903266,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27661949302614,0,0,0,0,0,4.34491503786869,0,0,0,0,0,5.23968118577025,3.94322063142297,0,0,0
"ERR1823604",-4.63055192279883,0,0,0,5.12782512155318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5758052694476,0,-6.10616070467276,0,0,-4.66135019235217,0,1.36131878614449,0,0,0,0,4.46142559708689,0.922178328656691
"ERR1823605",-4.87504368543732,2.00577764503098,0,0,-5.41025506078666,0,0,-2.63426539631471,4.36864574969253,0,0,0,0,0,0,0,0,0,0,0,0,-4.63408418121656,-2.77370388860491,0,-5.14347852630264,0,0,0,0,0,-4.34711193142622,0,0,0,4.56268150703764,-4.80419606021506,0,0,0
"ERR1823606",-5.00671957377561,2.40496146863396,0,0,0,0,0,-2.91054156975545,0,0,0,0,0,0,-4.08255770583717,0,0,0,0,0,0,0,-2.83585379162172,0,-6.10964305577668,-2.49963664705235,0,0,0,5.56752502785427,0,-4.28912335489687,0,0,5.04120587635772,-4.91184284992567,0,4.32949767315578,0
"ERR1823607",4.72235916126454,5.67649845443688,0,0,4.93977796327115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44646132390482,0,0,0,-0.531804982088516,0,0,0,0,0,0,-5.65440155703156,0,0.828608381653482,4.23739531175536,0,0,0,0,0
"ERR1823608",3.89410608124297,5.74241272112424,0,0,4.79130013090958,0,0,1.03449074274042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47707220134321,0,0,-2.52457302277887,0,0,0,0,0,0,0.371906478745079,0,6.27609282227061,4.29041490674291,0,4.37268874287075,0
"ERR1823609",0,5.66020918973774,0,0,5.46356514727622,0,0,0,0,0,0,4.40898011583236,0,0,0,0,0,0,0,0,0,0.436683320503176,0,0,0,0,0,0,0,4.78757196482513,0,0,0.339620271141405,0,0,0,0,0,0
"ERR1823610",-4.81406157128798,1.57532609244828,0,0,5.38019662198688,0,0,0,0,0,4.37177058113854,0,0,4.61993501346881,0,0,0,0,0,0,0,0,-5.71424730514214,0,-6.04107270270412,0,-2.43570455058675,0,0,0,0,0,0,0,0,-1.14758096653068,4.21876403384296,0,0
"ERR1823611",0,0,3.90886022875495,0,0,0.659716508274172,3.46282104903552,0,0,3.4922020476283,0,0,-4.59129331177076,0,0,0,-4.73403294467635,5.33655168312412,5.24895472159148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1823612",-3.83513256162596,1.59940068476735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345153315265,0,0,0,-1.10157196319202,-2.59431051508651,0,0,0,0,-5.4344197937459,-3.15983123942323,0,0,0,0,0,4.49347762274001,0
"ERR1823613",-3.70448711849528,0,1.58924021636398,0,0,0,-5.07514236687143,-3.28576745430783,0,0,0,0,0,0,0,0,0,0,0,-2.98290575889787,0,0,2.66828653195429,0,0,-2.33732286134058,0,-3.08155967045686,0,0,0,0,0,5.16654432860092,-5.69111617271741,-5.81548539406306,0,4.04836194953416,-5.33741791578649
"ERR1823614",-0.561709880243375,0,0,0,0,0,0,-2.49322840883866,-1.5909556606207,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68200300986078,0,0,1.24157312248358,0,0,0,0,-4.28768018390836,0,0,0,4.31839827898266,4.64536547913152,0,3.54319294217368,0
