"","1304__28026","33038__2173_751585","1686__457412","820__204516","39492__246787_357276","446660__100886_626940","2173__751585","39488__40520","1118060__33039_74426","197614__28111_310298","1735__28117_487174","1161942__1681_239935","1351__387090_491921","658081__818_46506","39486__907_1318","328812__817_158847","33039__74426","246787__357276","487173__853_1680","39496__100884","147207__39491_218538","28111__310298","665951__1308_410072","100886__626940","363265__310297_328813","28117__487174","384638__457394","1681__239935","818__46506","1502__821_360807","28118__823_33959","729__39485_45851","261299__665950","1343__665956","150055__39490_47770","1624__40545_328814","853__1680","39777__1598_626929","301301__626932","905__1683","469588__562_88431","658082__674529","329854__387661","626935__28116_47678","1736__28025_46503","39491__218538","310297__328813","1623__39483","338188__1118061","33043__658089","817__158847","823__33959","821__360807","1308__410072","39490__47770","1598__626929","562__88431","52226__901_216816","907__1318","39485__45851","40545__328814","28025__46503","40519__165179_166486","28116__47678","387090__491921","901__216816","165179__166486","97478__40518_46228","40518__46228"
"ERR478973",0,0,0,4.40548756564308,0,0,0,0,0,-2.64268975743217,0,0,0,0,0,0,0,0,-2.55829052314406,0,-3.1224477001204,4.57727292851439,-2.40218534339102,0,0,0,0,0,0,-2.46085508687532,0,0,0,0,0,0,4.43108916660747,0,0,0,-2.83396001847508,0,0,0,0,5.40823806058513,0,0,0,0,0,0,4.26232604053238,4.16070706395054,0,0,4.90856273861767,0,0,0,0,0,-2.70627145669252,0,0,0,-4.68739966206488,-3.28775648629042,5.69456127716914
"ERR478974",0,-2.69710891026272,0,4.56172503675652,0,0,4.67152966612175,-0.170186852691249,0,0,-2.52097565566606,0,0,0,0,0,0,0,-2.83067308491501,0,-3.01110675804402,0,0,0,-2.7925931611686,4.36645792025788,0,0,0,0,0,0,0,0,0,0,4.90286960269053,0,0,0,0,0,0,0,0,5.21538989194624,4.8369132400134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68594122062645,4.65218666026859
"ERR478975",0,-2.73316172364752,0,4.54704529258327,0,0,4.73397497066004,-0.13216452038395,0,0,-2.5213113319438,0,0,0,0,0,0,0,-2.82357439575335,0,-3.01879831508126,0,0,0,-2.80470375644646,4.36703932862582,0,0,0,0,0,0,0,0,0,0,4.89057431239539,0,0,0,0,0,0,0,0,5.22871205952406,4.85788940634455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69374837411841,4.66570904677914
"ERR478976",0,-3.29845884621074,0,0,0,-2.86673811901951,-5.71309830831202,4.22247682476174,0,0,0,0,0,0,0,0,0,0,-2.99089090397922,0,0,0,-2.38559666475041,-4.96533607413622,0,0,0,0,0,0,0,-5.9894513770777,0,0,0,0,5.18037500558761,0,0,0,-2.59665756041815,0,0,0,0,0,0,0,0,0,0,0,0,-4.13197462971457,0,0,-4.49754282450209,0,0,-0.183795222361702,0,0,-2.86660869203299,0,0,0,4.96511190001971,0,0
"ERR478977",0,-3.29649870298211,0,0,0,-2.86199943135336,-5.70970324064993,4.23211269474064,0,0,0,0,0,0,0,0,0,0,-2.97599559245591,0,0,0,-2.40262210341478,-4.95712842633726,0,0,0,0,0,0,0,-5.99426256869115,0,0,0,0,5.15457556923468,0,0,0,-2.61394518866502,0,0,0,0,0,0,0,0,0,0,0,0,-4.1614635545024,0,0,-4.52748587496803,0,0,-0.229983488588913,0,0,-2.86046919864543,0,0,0,4.95447798553972,0,0
"ERR478978",0,-3.28488815615157,0,0,0,-2.87192498362188,-5.68959318363577,4.23730713057614,0,0,0,0,0,0,0,0,0,0,-2.98687747785353,0,0,0,-2.38399333205647,-4.97431998715952,0,0,0,0,0,0,0,-6.00046397636119,0,0,0,0,5.1734235476255,0,0,0,-2.59299695729718,0,0,0,0,0,0,0,0,0,0,0,0,-4.12919757602722,0,0,-4.49120247391022,0,0,-0.220104909165421,0,0,-2.8570083573374,0,0,0,4.94848363255728,0,0
"ERR478979",0,-3.29748092620479,0,0,0,-2.86827409857482,-5.71140450117597,4.24859964800281,0,0,0,0,0,0,0,0,0,0,-2.97843168837515,0,0,0,-2.3856021261077,-4.96799646876542,0,0,0,0,0,0,0,-6.00380028354239,0,0,0,0,5.15879501113891,0,0,0,-2.60069859154502,0,0,0,0,0,0,0,0,0,0,0,0,-4.13198408906288,0,0,-4.5045420957288,0,0,-0.189144275649074,0,0,-2.85145275715418,0,0,0,4.9388610507734,0,0
"ERR478980",-4.86117770970763,0,-5.113083608131,4.32973934764483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.72170040786643,0,-2.93574811600579,0,0,0,0,0,0,0,0,-2.63614666453151,0,0,0,0,0,0,0.344742295932668,0,0,0,0,0,0,0,0,5.08486489514663,0,0,0,0,0,0,4.5659399591718,0,0,0,0,-2.80739469889394,0,0,0,0,0,0,0,-4.86255025538384,0,-2.74996502542672,4.76307914307652
"ERR478981",-4.8603598803378,0,-5.12156646026687,4.28067284057561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.74975811149598,0,-2.93272820874178,0,0,0,0,0,0,0,0,-2.62341184634737,0,0,0,0,0,0,0.361316810351953,0,0,0,0,0,0,0,0,5.07963426233123,0,0,0,0,0,0,4.54388260705172,0,0,0,0,-2.82464647892379,0,0,0,0,0,0,0,-4.89243121491654,0,-2.74353893413816,4.75194882647065
"ERR478982",-4.83664673992114,0,-5.13402917169518,4.33247072401393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71189788839145,0,-2.93585454429974,0,0,0,0,0,0,0,0,-2.63940150198172,0,0,0,0,0,0,0.338597931930596,0,0,0,0,0,0,0,0,5.08504923435912,0,0,0,0,0,0,4.57157750300595,0,0,0,0,-2.8136902879273,0,0,0,0,0,0,0,-4.87345453545319,0,-2.75721269479155,4.77563247465286
"ERR478983",-4.84187456701887,0,-5.12283260241891,4.39048334730807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.72462719250098,0,-2.93018101409018,0,0,0,0,0,0,0,0,-2.66776555282404,0,0,0,0,0,0,0.350482570364976,0,0,0,0,0,0,0,0,5.07522239177789,0,0,0,0,0,0,4.62070548017331,0,0,0,0,-2.87544919918647,0,0,0,0,0,0,0,-4.98042410757421,0,-2.75710792190305,4.77545100268673
