"","46506__165179","1304__1358_1363","1582__46228_665951","1318__562_1351","47770__39492_53345","147802__1260_33043","562__1351","1352__1353","39492__53345","1358__1363","357276__674529","1260__33043","1283__40214_40324","54291__158836","411489__28111_39485","820__384638","301301__457412","33038__571_37734","363265__39486_100886","329854__624_28031","582__40545_1118061","46228__665951","287__28117_204516","1286__550_573","28111__39485","817__322095","454155__546_45851","166486__154046_552398","1354__296_328813","28125__74426_360807","328814__818_47678","28126__218538_310298","626933__246787_487174","28117__204516","626929__39491_46503","291645__28116_239935","546__45851","40545__1118061","1680__853_40518","218538__310298","74426__360807","296__328813","39491__46503","291644__751585","246787__487174","28116__239935","40520__88431","550__573","116085__821_33039","571__37734","818__47678","39486__100886","853__40518","823__1078764","214856__501496","821__33039","154046__552398","43765__2173_658081","624__28031","147207__293_106648","293__106648","2173__658081","40214__40324"
"ERR2239236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52147700738636,0,0,0,0,0,0,-2.99573685449222,0,0,0,0,0,0,-2.52610977476045,-5.34163666482062,0,0,5.1887684380871,0,-5.49186548200913,0,0,-2.46793498391621,0,-4.37535047538147,0,0,0,0,-0.900332196253814,0,0,-3.41682640435028,0,0.0979555778381597,0,4.27458878191955,0,0,5.91811693297756,0,0,0,0,0,0,0
"ERR2239237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54563558918011,0,0,0,0,0,0,0,0,0,0,0,5.24713615627039,0,0,0,-5.83149482615845,0,0,-5.34370881041703,-2.86697704771134,0,0,0,-1.17260365731681,0,0,-0.59718374344645,0,0,4.96574991076986,0,0,-3.51417203322947,0,0,0,0,0,0,6.08672450809107,0,0,0,0,0,0,0
"ERR2239245",-5.05702195056009,0,0,-2.52791354557403,-2.57773967216706,0,-4.37847469807581,0,-4.46477608087928,0,0,0,0,0,0,0,0,0,-3.04511939735001,0,0,0,0,0,0,0,0,0,0,-2.68984485278844,0,0,0,0,-2.52637936606582,0,0,0,-3.17494758929285,0,-4.6589479495072,0,-4.37581742121965,0,0,0,0,0,-2.7043968059428,0,0,-5.27430151132374,5.49917053602355,0,0,4.68415267171992,0,0,0,0,0,0,0
"ERR2239246",-4.38928341063972,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43581875404221,3.82289186726374,0,0,0,0,0,0,0,-2.86169818804307,-4.21896184003023,0,-2.423020835577,0,-3.42439110181984,0,0,0,0,0,-3.0906641882507,0,4.19679519501736,0,-2.83901061114908,0,0,5.93121937333873,5.35318740318383,0,0,0,0,4.95660665761839,-2.27951175483035,0,0,0,4.91731062173737,0,0,3.94823017581665,0,0,0,0,0,0,0
"ERR2239247",0,0,0,0,-2.49380639496954,0,0,0,4.31939938032742,0,5.26147399776182,0,0,0,0,5.24412473812251,0,0,0,0,-2.60746310296086,0,-2.75404904244007,0,0,0,0,0,0,0,4.6245850925283,0,-2.25064482688223,4.77015286804262,0,-2.6327888339672,0,-4.51625857318941,0,0,0,0,0,0,-3.89823118995208,4.56012402603121,0,0,0,0,0,0,0,4.14476485700847,0,0,0,0,0,0,0,0,0
"ERR2239251",0,0,0,-3.75239859277067,0,0,6.49934501292876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89359073974432,0,0,0,0,0,0,0,0,-2.6543193269682,-2.20097329555538,5.01184617754797,0,-1.94582156853567,0,0,-2.52445944549289,4.59741593382094,0,0,0,0,-3.81219757400423,-3.37026181916715,0,0,0,0,0,0,4.37249202124084,0,0,0,0,0,0,0,0,0,0
"ERR2239270",0,0,0,-3.40503155902822,0,0,5.89768766161234,0,0,0,0,0,0,0,0,4.6926234557096,0,0,0,0,0,0,0,0,0,0,-3.0955484767788,0,-2.79832125841885,0,0,-2.28850985397122,0,0,0,-2.16819994318107,-5.36164723907333,0,-4.35291555525964,3.96381534070019,0,4.84683459548152,0,0,0,-3.75543246255757,0,0,0,0,0,0,0.208730234199191,0,0,0,0,0,0,0,0,0,0
"ERR2239271",-4.90801138884435,0,0,-3.44953326967313,0,0,5.97476688547305,0,0,0,4.54985466710838,0,0,0,0,5.32808990720502,0,0,0,0,0,0,0,0,0,0,-4.91705458050429,0,0,0,0,0,0,0,-2.49034217389213,0,0.0965263255493828,0,-2.85845652126014,0,0,0,4.31339917341271,0,0,0,0,0,-2.26814416213968,0,0,0,4.95099192604914,0,0,3.92854092771667,0,0,0,0,0,0,0
"ERR2239273",0,0,0,-2.43399892209654,0,0,4.21580979863909,0,0,0,0,0,0,0,0,6.09777592545492,0,0,0,5.33782718663388,0,0,0,0,0,0,0,0,0,0,-2.39976465638629,-2.83489245597715,0,0,-2.54415675275598,-2.50313297523408,0,0,-2.50697382195802,4.91017776774613,0,0,4.40660875819281,0,0,4.33555349120647,0,0,-3.23457840264142,0,4.15651431106911,0,4.34220603287643,0,0,5.60245413443992,0,0,0,0,0,0,0
"ERR2239275",0,0,-2.4081549204215,-3.35269534016852,0,0,5.80703867147129,0,0,0,0,0,0,0,0,5.59133262657548,0,0,0,0,0,4.17104667466702,-2.4292761526604,0,0,0,0,0,-5.18003749610058,0,0,0,0,4.20762972202327,-3.03648071850195,0,0,0,-2.57836343521458,0,0,1.03331046235864,5.25933888064863,0,0,0,0,0,0,0,0,0,4.46585647016948,0,0,0,0,0,0,0,0,0,0
