"","296__28116_239935","1351__1747","218538__291644","28116__239935","310297__371601","1735__562_487174","1590__550_40545","39490__818_301301","33945__40518_165179","1358__626932","47678__626940","1408__571_363265","562__487174","1353__823_28126","550__40545","552398__37734_53345","40518__165179","582__584","818__301301","102148__341694","1583__208962","726__735_739","850__437898","197614__671218","735__739","293__529","187327__329854_563191","303__29382_40214","47770__546_573","28125__281920","665951__54291_410072","571__363265","40519__729_357276","52584__100886","328812__40520_246787","823__28126","674529__46506_74426","1598__39777_158836","1502__1282_46124","1318__1078764","29382__40214","28111__821_1680","626929__154046_204516","1632__147802","53443__29361_208479","213__150055_501496","108980__1582_28026","376804__469613","1633__28130","39778__626933","28132__287_727","1260__658086","1531__116085","1286__1596","37734__53345","437897__197_338188","729__357276","28037__623_626930","54291__410072","1328__33043_56946","28123__2173_411489","329854__563191","546__573","1354__310298","126385__39486_751585","1282__46124","40324__39492_88431","754333__624_1283","40520__246787","46506__74426","287__727","358743__1512_387090","39777__158836","154046__204516","68891__329_29466","623__626930","29361__208479","150055__501496","1582__28026","333367__46503_387661","197__338188","821__1680","33043__56946","2173__411489","43675__1685_1118061","28118__817_360807","658082__33038_166486","569__1352_39485","1304__328813","39486__751585","624__1283","39492__88431","1512__387090","1686__1623_45851","322095__853_33039","329__29466","46503__387661","97478__1681_328814","28025__39488_39491","147207__820_216816","1685__1118061","817__360807","1352__39485","33038__166486","384638__28117_457412","1623__45851","853__33039","820__216816","39488__39491","1681__328814","28117__457412"
"ERR2239318",0,0,0,0,0,0,0,0,-3.09172345096041,-4.56005765327597,-5.40161919004102,-2.40322148256603,0,0,0,0,-5.35502210001561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.16250170964537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29398510803776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97329875892778,0,-3.07166852898971,-3.14321988215459,0,0,0,-3.05535890961676,0,0,0,0,0,4.6802929046692,-5.32028595622053,5.44421653525242,0,-5.29203686681447,0,0
"ERR2239320",-2.41625447304174,0,0,4.18507551132386,0,-2.43671965729515,0,0,-2.6516772762389,0,0,0,-4.22052225023703,0,0,0,4.59283976772163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57744852993096,0,0,0,-2.80554906224085,0,0,0,0,-2.41125250453577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.46427180773413,0,0,0,0,0,0,0,0,0,0,0,0,4.85935351892837,0,0,0,0,0,0,0,0,0,0,0,4.17641184773366,0,0,0,0,0,0,0,0,0,0,0,0,-3.07627778117953,0,0,0,-2.82679568739165,0,0,0,0,0,-3.25590112022443,0,5.3282694151982,0,-4.89615375317892,0,5.63938616464913
"ERR2239327",0,0,0,0,0,-3.79784463310888,0,0,-2.17175739351756,0,0,0,6.57805986379736,0,0,0,3.76159414728577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.58316457700931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42989710560623,0,0,0,0,0,-1.86540483174129,0,0,0,0,0,0,-2.38184967193175,0,0,0,-2.79667070348511,-3.82498145225769,0,0,-3.23097594526039,0,0,0,4.12548464777706,0.282983043389094,-4.84397575047561,0,0
"ERR2239330",0,0,4.92953256257186,0,0,0,0,0,-2.65323670823543,0,0,0,0,0,0,0,4.59554078317057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16062939403529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57049223753575,0,5.47437069436476,0,0,0,0,0,0,-5.07196028065874,0,0,0,0,0,-2.73065443493605,0,4.45222315587332,0,-2.90831820870754,-2.84774584744553,0,0,0,0,-2.77292235630032,0,4.72963221922252,4.93244049481895,-5.03735490205917,0,4.80284240655577
"ERR2239331",0,0,0,0,0,-3.48435775623338,0,0,-3.13831862222755,0,0,-3.20400516960583,6.03508466554291,0,0,0,-5.43572730403767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54949974147063,0,0,0,0,-1.78270166442456,0,0,0,0,-2.22979492335136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08772985752094,0,0,0,0,0,0,0,0,0,0,0,3.86211809770371,0,0,0,-2.00315106147534,0,0,0,0,0,0,0,0,-2.30379967440932,0,0,0,0,-1.77900230185149,0,-3.46955941371081,0,0,-2.16789725505373,0,3.99029808653758,3.08132237358876,0,0,3.75490819134216
"ERR2239339",0,0,0,0,-4.2624063418325,-2.29636130603004,0,0,-3.75152788945071,0,4.03061351977181,0,-3.97741445457926,0,0,0,-6.49783691054027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07697454981623,0,0,0,0,0,0,0,0,-2.52263993242446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5974254463092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36934053216128,0,0,0,0,0,0,3.65432473940951,0,0,0,0,0,-2.51701230232314,0,0,0,-2.89125526872077,0,0,0,0,0,0,0,4.35959319089959,0,-5.00780102307559,0,0
"ERR2239340",0,0,0,0,0,-3.17435536877706,0,0,-2.50281895098548,0,6.02835024389081,0,5.4981447800009,0,0,0,-4.33500958525308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43919837071594,-2.62694522396889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78206733310831,0,0,0,0,0,0,4.55000259661451,0,0,0,0,0,0,0,4.22481550781923,0,0,0,0,0,0,0,0,0,4.81868197102124,0,0,-5.14106776321854,0,0,0,0,-2.67274562780197,0,0,0,0,0,0,0.356148872485128,4.62933122306059,0,0,0
"ERR2239346",-1.9932539049644,0,0,-3.4524170357834,0,-3.72493264836925,0,0,0,0,0,0,6.45177260174763,0,0,0,0,4.48793218331003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49881970882753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61515659235651,0,0,0,0,0,0,0,0,0,0,0,0,-4.01089179500196,0,0,0,-1.93920539774051,-2.21393039137658,0,0,0,0,0,0,0.117952462198838,3.83463992228508,-3.35880227519838,0,0
"ERR2239351",4.37405319654002,0,0,0,0,-5.9427527260825,0,0,0,0,0,0,2.58936167020695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351210010095871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299354322399684,0,0,0,0,0,0,0,0,0,0,0,0,-2.46297001637228,0,0,0,-2.44586600089911,-2.26069942363016,0,0,0,0,0,0,4.26598920587555,3.91564626236911,-4.23636418206257,0,0
"ERR2239352",0,0,0,0,0,-3.50905894685567,0,0,0,0,0,-2.56425529407886,6.07786838270815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.69574910286118,0,0,4.44142045292206,0,0,0,0,0,0,0,0,0,0,0,0,-2.47112184850044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560231366353463,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28010859329628,0,0,0,0,0,0,0,0,0,-2.78181911802974,0,0,0,0,0,0,0,0,0,0,0,-2.33289781144329,-2.64992231554771,0,0,0,4.81825204989396,0,0,0,-4.5898000866392,4.04069753828602,0,0
"ERR2239356",-2.64956869989666,0,0,4.58918760636524,0,0,0,0,0,0,0.745505468073254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99646560257856,0,0,0,-2.81076133750144,0,0,0,0,0,0,0,0,-3.36065803098171,0,0,0,0,0,-4.50572836380204,0,0,0,0,0,0,0,0,-4.86838144450274,0,0,0,0,0,5.19003066679855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8208304565247,0,0,0,0,0,0,0,0,0,0,0,0,-2.6740696444106,0,0,0,0,-2.70372217902025,0,0,0,0,0,0,4.63162448709681,4.68298418361391,0,0,0
"ERR2239357",-2.66676308957749,0,1.73756429161364,4.61896916289757,0,0,0,0,-3.22575860754449,0,5.22216612181536,0,0,0,0,0,-5.5871778012197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.39153540451224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64497832208035,-5.87431163628387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.58123683876145,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27312240373182,0,0,0,-2.73731378414,0,0,0,0,0,0,0,-3.93716349508662,0,-4.74116655038911,0,0
"ERR2239358",0,0,0,0,0,-6.08279415369538,0,0,0,0,0,0,1.43547640831308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.10809740031537,0,0,0,0,0,0,0,0,-2.49736503487126,-2.71639155985914,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.38338261221897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7049281949273,0,0,0,0,0,0,0,4.32556312544304,0,0,-2.35257282571975,0,0,0,0,0,0,0,0,-2.33714232311668,-3.0912744625866,0,0,0,0,0,-4.07477566265249,0,0,0,-3.053562170006,-4.04804924815765,5.35424442934017,0,0,0,5.28892482252066
"ERR2239362",0,0,0,0,4.67404978103843,0,0,0,-2.93172492498055,0,0,0,0,0,0,0,-5.07789652388237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57310361617371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6647275239583,0,4.78564106080583,0,0,0,-2.69631402635378,0,0,0,0,0,0,0,0,-2.95484829681196,0,4.61544345982299,0,0,-2.85931267254324,0,4.67015288680536,0,0,-2.98958380997361,0,5.11794737873668,4.95247482357044,0,0,5.17811105235963
"ERR2239366",4.56475056386196,0,0,0,4.77590305080315,-3.58560605330372,0,0,0,0,0,0,6.21045186024856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81454601864485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.20545235755548,0,0,-2.81308184270794,0,0,0,0,0,0,-4.87493670453357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87240067741963,0,0,0,0,0,0,-2.25668771514991,-2.54434119984281,0,0,0,0,-2.41640473719751,0,0,4.4069282299185,-3.90869777945617,0,4.18533577647621
"ERR2239367",0,0,0,0,0,-2.91913603724101,-2.35255900930904,0,-2.82570266408696,0,0,0,5.0560919307067,0,4.07475173192716,-2.9595975840349,4.89426058128135,0,0,0,0,0,0,0,0,0,0,0,-3.05955806388627,0,0,0,-2.88407572452871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12617338550654,0,-4.99536568775974,0,0,0,0,0,-5.29931001535808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12680128700571,0,0,0,-2.89408665415193,-2.38060402144548,0,0,0,0,0,0,5.41577869426564,4.12332711784636,-5.01270512649817,0,0
"ERR2239370",6.18449222004009,0,0,0,0,-5.82925546738874,-2.9440883258084,0,-2.62649545800301,0,0,0,1.19419059034647,0,5.09931056227054,0,-4.54922357911011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58622050937478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47946532181378,0,0,0,-2.2484829382837,0,0,0,0,0,0,0,0,-2.82789195306774,0,0,0,0,-2.40035391850595,0,-3.89448668905912,0,0,0,0,4.8980525410285,4.15753494299935,0,0,0
"ERR2239372",0,0,0,0,0,-2.27569906133159,0,0,-3.5816009544081,0,0,-2.79635268261748,3.94162639696311,0,0,0,-6.20351482547201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.84342492217501,-2.37185924110158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1081807139897,0,0,0,0,0,0,0,0,0,-2.22336691086136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72637606365614,0,0,0,3.85098445347933,0,0,-2.31363793526081,0,0,0,-2.65196556174154,0,0,0,-4.72222186279208,0,0,0,4.00733845419048,0,-4.59333909285929,0,0
"ERR2239373",-2.75476843186581,0,0,-4.77139888707843,0,0,0,0,-2.96205679792661,0,0,0,0,0,0,0,5.13043286891367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.36258975231,0,-3.29346283747804,0,0,0,0,0,0,0,-2.82767872963885,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.82417629601137,0,0,0,0,0,0,0,0,0,0,0,-5.70444496735193,0,0,0,0,-4.89768322721631,0,0,0,0,0,-2.46286758978097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34467901625582,0,4.26581179781534,0,0,-3.04896372716921,0,0,0,0,-2.55524405217226,0,4.06110318359569,5.28096008589164,0,0,4.42581252410054
"ERR2239376",0,0,0,0,0,0,0,0,-2.36115846866264,0,3.84397374617952,0,0,0,0,0,4.08964643244522,0,0,0,0,0,0,0,0,0,0,-3.76269015994226,0,0,0,0,0,0,0,0,0,0,0,0,-6.51717053015945,-2.74544659533869,0,0,0,0,3.0347432306624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.30562474091716,0,0,4.7552529925936,0,0,0,-2.27001990734129,0,0,0,0,0,0,0,0,0,0,0,-2.45499932117593,-2.52505317615133,0,0,-3.93178981370792,0,0,0,0,0,0,-4.37352039290728,4.25218355682381,0
