"","40520__387090_491921","820__33039","39486__216816_751585","46228__649724_665951","46503__357276","626932__853_310297","658081__239935_291644","52226__187326_387661","28116__29361","850__158847","853__310297","216816__751585","1099853__818_823","457412__821_28026","1735__88431","39778__562_729","821__28026","1363__39491_410072","218538__39485_39492","818__823","562__729","1304__40518_338188","239935__291644","39491__410072","100886__47678_363265","665956__165179_360807","487174__74426_204516","1308__40519","39485__39492","573__46506_437897","40518__338188","47678__363265","2173__28111_626940","28118__907_487173","103892__40545_310298","165179__360807","387090__491921","187327__469592_626929","649724__665951","187326__387661","74426__204516","907__487173","469592__626929","39496__328814","28117__329854","28111__626940","46506__437897","40545__310298"
"SRR5818482",0,0,0,0,0,-2.72249122514757,0,0,0,0,4.71549312511602,0,0,-2.95621789359131,0,0,5.12031958994439,-2.59844654651108,0,0,0,0,0,4.50064143930908,0,-2.68613365491361,-3.11744656100622,4.6521135990739,0,-5.52945524693413,0,0,0,0,-2.49083561412054,-4.65251996623106,0,0,0,0,-5.39957583354365,0,0,0,0,0,0.480239477675445,4.3142538369588
"SRR5818483",-2.42114018341985,0,0,0,0,-2.39710615964111,0,0,0,-4.56163293859812,4.15190965963471,0,0,0,0,0,0,-2.25184956555925,0,0,0,0,0,3.90031785855053,-2.27344827409559,-3.57010225759549,0,0,0,-2.97012869034526,0,-3.93772791911333,-3.00680997767289,0,-2.03007790861174,6.18359849837174,-4.19353780992982,0,0,0,0,0,0,0,0,-5.20794765003449,-5.144413796696,3.5161980810387
"SRR5818484",0,0,3.74606559545738,0,0,-2.17918969027477,0,0,0,0,3.77446726288619,0,0,-2.16513560218851,0,0,3.75012486826674,-2.70761477168946,0,0,0,0,0,4.68972635189015,-2.26514108792326,-3.73826025349345,0,0,0,-2.05298606339355,0,-3.92333945059494,-3.08127092860193,0,-2.22822308041799,6.47485669096597,0,0,0,0,0,0,0,0,0,-5.33691780022348,-3.55587616902845,3.8593955858816
"SRR5818485",0,0,0,0,0,-2.25867862168679,0,0,0,0,3.91214613073116,0,0,-2.24837642973354,0,-2.10136626617163,3.8943022108388,0,-2.34383983671783,0,-3.63967313832056,0,0,0,-3.07122797056889,-5.89028985445483,0,0,4.05964968199922,0,0,-5.31952288665196,-2.74053730380926,0,-2.34429734137265,2.68758244879287,0,0,0,0,0,0,0,0,0,-4.74674985023546,0,4.06044210330607
"SRR5818486",4.63355009359351,0.305008105645988,0,0,-6.21777157686052,-2.4864069219092,0,0,4.25379440845033,0,4.30658311703768,0,0,0,0,0,0,-2.33787379274856,0,0,0,0,0,4.04931619072426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37045234043782,0,0,0
"SRR5818487",0,0,0,0,0,0,0,0,0,5.48140392688344,0,0,-2.13746758603936,-3.02631145071283,0,0,5.2417251921621,0,0,3.70220245855177,0,0,0,0,0,-5.56256968085161,-3.17891496757483,0,0,-3.1348206929725,0,0,0,0,-2.28917345052474,2.41766821579609,0,0,0,0,-5.50604223678078,0,0,0,0,0,5.42966871284665,3.96496472364661
"SRR5818488",0,0,0,0,0,-2.39423593787046,0,0,0,0,4.14693828969897,0,0,0,3.76354057853933,-2.45820321412659,0,2.30414935379932,0,0,4.25773286219638,0,0,-3.88539845168979,-2.64887153847139,-3.80309640719628,0,0,0,0,0,-4.58798008735559,0,0,-2.16633036500248,6.58715620334662,0,0,0,0,0,0,0,0,0,0,0,3.75219425816353
"SRR5818489",0,0,0,0,0,-2.53793625279828,0,0,0,0.0113895629965989,-4.39583453621759,0,0,0,0,-2.71132374223692,0,0,0,0,4.69615047732213,0,0,0,0,-6.27038941326372,-2.76832717326909,0,0,0,0,0,0,0,-2.07112501717999,1.96134502897436,0,0,0,0,-4.79488331607559,0,0,0,0,0,0,3.58729375858271
"SRR5818490",0,4.33442188274728,0,0,-4.35534233324822,0,0,0,4.2536165550108,0,0,0,0,0,0,-2.49265339475081,0,0,0,0,4.31740232536745,0,0,0,0,-2.72522194526701,-3.30782597120743,0,0,-1.04801301240957,0,0,0,0,0,-4.72022287110415,0,0,0,0,-5.72932264472714,0,0,0,0,0,0.501101804792316,0
"SRR5818491",0,0,0,4.81580723398383,0,-2.7861142816547,0,0,0,5.32243337475717,4.8256914915192,0,0,-2.7757128717351,4.29610348259749,0,4.80767572106811,0,0,0,0,0,0,0,-3.27318305674955,-6.1335397423811,0,0,0,0,0,-5.66931935676382,0,0,-2.74638215370121,-0.209098625197009,0,0,0,0,0,0,0,0,0,0,0,4.75687342721093
