"","28125__46503_74426","1828__76517","28127__36874","204516__29524_386414","187327__1755626","39485__851_246787","28126__134605","817__242750","40543__218538","40214__310297_397865","33031__28128_281920","33033__38986","199__261299","28124__338188","33043__40681","187101__701529","35833__41276","33037__82135","2051__29348","301301__626947","52226__186651","39778__341225","907__673862","856__1512","239935__341694","33029__43131","40518__328814","840__1535","39497__589436","310297__397865","371601__1827099","317__47678_47877","901__28118","202956__633701","1735__28111","46506__820_28116","905__228603_410072","29375__45851_165179","29524__386414","39488__106648","46503__74426","28128__281920","827__40324","851__246787","44749__28135_351091","47678__47877","45851__165179","228603__410072","28135__351091","820__28116"
"SRR1159428",5.90125798810647,0,0,0,0,-3.07829731928757,0,0,5.24644574303683,0,0,0,0,0,0,4.77734531766335,-4.72626811911524,-4.72506292182718,0,0,0,0,0,0,-4.14832648213847,0,0,0,0,0,4.23782288005182,0,0,0,0,-3.26501476284412,0,0,0,0,0,0,0,5.33176735780915,0,0,0,0,0,-5.65517145670847
"SRR1159431",0,0,3.7278774559401,0,0,0,0,0,-5.29956066146301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55077236465221,0,0,0,0,2.26495817550311,-3.65686335741695,0,-4.01009950655451,0,0,0,0,-2.14249965845815,-4.41806733412023,-6.33387313138307,3.6329777163535,3.71091826364848,0
"SRR1159434",0,-4.55616333290902,0,0,0,0,-0.801003087393924,0,0,0,-5.50831306936228,4.94395711134134,4.85681076990269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12241646609657,0,0,0,0.88632168525846,0,0,-2.62027294910121,0,-5.40818396166893,0,4.53844587754163,0
"SRR1159437",0,0,1.06317746465896,0,-4.92199436927955,-2.48204739143975,0,0,-3.99875504164289,0,0,0,0,-4.11286003611982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.88806159059418,0,0,0,0,-2.83593944953488,-2.17922129838988,0,0,0,0,0,0,-4.29903218876745,0,0,0,-3.77452200974748,0,4.91199121378333
"SRR1159440",5.77994769036372,-4.86442495241694,-4.40692368257633,-3.00788817693704,0,0,-5.44184820554717,-4.51090328349807,0,0,-2.76962673105515,0,0,4.83329984980179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.20981514594068,0,0,-4.79713421618842,-4.57832358881031,0,0,0,0,0,0,0
"SRR1159443",5.14953802602191,-4.74257509292911,0,-6.14363310094379,0,0,5.4082721363875,0,-4.41585894066144,0,-0.887483199669453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.72578452348287,0,0,0.359594108897697,0,0,0,0,0,0,0,0
"SRR1159449",0,0,0,5.42389756170464,-0.0850653949679328,5.11353783118589,0,0,0,0,0,0,0,0,4.25199247349155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753455545193811,0,-2.64356741515074,0,0,0,0,0,0,0,0,4.57879307627461,0,0,0.379210401447047
"SRR1159452",2.67776926194545,-4.8094146541404,0,-2.66115785370631,-4.8991783851358,-2.74333901244346,0,5.23386132109029,0,0,-2.56699275213675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89119557257638,0,0,4.60926060958027,0,4.41006079701782,4.44616186936191,0,-4.7516025519379,0,0,0,0,0,0
"SRR1159455",0,-4.74230512743431,4.52364985913669,-3.77458933197977,0,0,0,0,-3.81668033381726,0,-3.69519262305336,0,0,0,0,0,0,0,2.72467399649209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.38203365793139,-0.837307058854989,0,0,6.40026136688213,0,0,-2.18540656573071,0,-5.85785412844519,0,3.7852352070402,0
"SRR1159458",0,0,0,4.94162618263309,-5.43706918141295,0,0,0,0,2.77154493983074,0,0,0,0,0,0,0,0,0,4.72034086821335,0,0,0,0,0,0,4.57724090333552,0,0,-4.68206108694193,0,0,0,0,0,1.93175922607974,0,0,0,-4.35898806317685,0,0,0,0,0,0,0,0,0,-5.35900986767338
