"","1078764__28111_411489","40214__40324","322095__817_328813","562__53345","28111__411489","39492__1118061","291645__1283_166486","626930__28117_357276","817__328813","1286__33039_338188","376804__310298_387090","54291__158836","28126__40518_384638","626933__218538_487174","1283__166486","454155__296_550","1623__33043_363265","329__39496_147207","1363__287_1351","47770__46228_310297","582__820_239935","457412__291644_751585","28117__357276","1354__573_40545","552398__626932_626940","1582__1680_216816","818__301301","74426__571_37734","43765__823_1735","674529__39491_46506","40519__853_39485","33039__338188","218538__487174","39486__100886_165179","40518__384638","501496__28116_204516","46228__310297","820__239935","287__1351","33043__363265","573__40545","310298__387090","296__550","626932__626940","28125__45851_360807","39491__46506","291644__751585","100886__165179","853__39485","1680__216816","28116__204516","823__1735","329854__626929","665951__46503_88431","729__40520","45851__360807","571__37734","1282__29382","46503__88431","29361__39488","624__2173_658081","1352__1353","1689__33038","39496__147207","2173__658081","28130__116085"
"ERR2239743",0,0,0,0,0,0,0,-5.69476026355721,0,0,0,0,0,0,0,0,0,0,0,0,-2.60812807487083,0,0.000764076319312782,0,0,0,0,0,-3.27143874432466,2.28919322027138,-2.90530705121644,0,0,0,0,-2.76504236105979,0,4.51741033832309,0,0,0,0,0,0,0,-4.85640340037295,0,0,5.032139424295,0,4.78919385443576,5.66629811901964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239755",0,0,0,6.49430629808791,0,0,0,-4.20000856272625,0,0,-2.26643227419899,0,0,0,0,0,0,0,0,0,-1.94779580108689,0,-0.356593584452719,0,0,0,-3.31432124349325,0,0,0,-2.65413560316662,0,0,-2.52431408230636,0,0,0,-3.37368129025181,0,0,0,-3.92557585082654,0,0,0,0,0,-4.37224024481621,4.59709771486206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239759",0,0,-2.48989456019187,0,0,3.94570380199971,-2.41811027312174,-3.57427181880564,-4.31262388374169,0,0,0,0,0,-4.18828985135111,0,0,0,0,0,-2.94652154260707,0,6.19082039023298,-2.34870880887841,0,0,0,0,0,-2.89583849478803,0,0,0,0,0,0,0,5.10352501739168,0,0,-4.06808298916199,0,0,0,0,5.01573940348665,0,0,0,0,0,0,4.09603441638561,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239760",0,0,0,0,0,0,0,-5.55842833593238,0,0,0,0,-2.55231818226715,0,0,0,0,0,0,0,0,0,-0.895839707258033,0,0,0,0,0,0,-6.13112191439807,-3.15631334731691,0,0,-2.78193249247271,4.42074476876854,-2.57767083705744,0,0,0,0,0,0,0,0,-2.38077053967533,0.625652943710413,0,-4.81844842018945,5.46689508216069,0,4.46465685497209,0,0,0,0,-4.12361553588085,0,0,0,0,0,0,0,0,0,0
"ERR2239761",-3.05154696262865,0,0,0,5.28543438095531,0,0,-2.73331863586768,0,0,0,0,0,0,0,0,2.26128446526614,0,0,0,-2.94204714540308,0,-4.73424675059768,0,0,0,0,0,0,-3.40856560509997,-3.28767378859245,0,0,0,0,0,0,5.09577513410111,0,-4.34695264525924,0,0,0,0,-2.45825865173202,5.90380880896491,0,0,5.69441804055458,0,0,0,0,0,0,4.25782888294563,0,0,0,0,0,0,0,0,0,0
"ERR2239763",0,0,0,0,0,0,0,-2.83865124195496,0,0,3.41902136209008,0,-2.50979352180795,-2.59996407360898,0,0,0,0,0,0,-2.48175994298308,0,4.91668817603448,0,0,0,0,0,0,-3.29128378620705,-2.93515270320719,0,-4.5032698733445,-2.61642170665834,4.34708989627859,0,0,4.29853431343594,0,0,0,4.19836230659011,0,0,0,5.70067073983827,0,-4.53177532995832,5.08383360992798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239767",0,0,0,0,0,5.82276247661011,0,-2.59995976636322,0,0,0,0,0,0,0,0,0,0,0,0,-2.78145436145869,0,-4.50326241297601,-2.65201496557745,0,0,4.54993590553004,0,0,0,-2.62206985052149,0,0,0,0,-3.21504056770314,0,4.81762027298051,0,0,-4.59342466281318,0,0,0,0,0,0,0,4.54155820209775,0,5.56861361165693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239770",0,0,0,0,0,0,0,-2.88690135834262,0,0,0,0,0,0,0,0,0,0,0,0,-5.55324161120413,0,5.00025982908903,0,0,0,0.11446847955579,0,0,0,-2.94068230753252,0,0,0,0,-5.55418377757021,0,1.2481033355082,0,0,0,0,0,0,0,0,0,0,5.09341116556521,0,-0.777046924066516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239771",-3.07534542855784,0,0,0,5.32665453308686,0,0,-2.87690120066369,0,0,0,0,0,0,0,0,-2.87434412999179,0,0,0,-2.77550459890515,0,-4.98293904790542,0,0,0,0,0,0,-5.56272269994561,-2.57852968801545,0,0,0,0,0,0,4.8073149819448,0,4.97851007158315,0,0,0,0,0,0.269878635272157,0,0,4.46614442846749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239780",0,0,0,5.22392767865055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17021808519817,-2.65570643699449,0,0,0,0,-4.82029477535488,0,0,0,-2.3445208501499,-3.53358739472991,0,0,0,0,0,-5.49097879463695,4.59981847886217,0,0,0,0,0,0,0,4.06082923186421,0,0,6.12035290065715,1.19314974836915,0,0,4.14158461055387,0,0,0,0,0,0,0,0,0,0,0,0,0
