"","820__310298_357276","310298__357276","387090__1559_1624","154046__28123_36847","33010__197614_309120","36834__573_187327","1307__823_180164","1267__28446_39493","28137__1134563","1282__29385","423605__1161942","28446__39493","29363__729_29360","329854__102684_572010","28127__33031","1613__39778","281920__386414","755171__54005_337315","901__165179","329__818_74426","1285__1313","53446__155617","33034__33037_54007","823__180164","33037__54007","852__28128","33039__166486_218538","28123__36847","1492__29367","907__1680_290112","328812__31971_397865","40519__1304_28037","103891__246787","818__74426","1502__859_358742","573__187327","1522__1547","47770__28116_487175","54005__337315","33029__33032","208479__180311_454154","633701__28117_261299","102684__572010","1322__28447_626937","103892__310300","88431__437898","328813__46503_1755626","310297__1308_371601","1352__54006","214856__1343_40520","1755607__817_821","197614__309120","1559__1624","166486__218538","46228__853_301302","28116__487175","358743__33038_47678","163665__29466_69825","28117__261299","1304__28037","33035__40518_204516","817__821","46503__1755626","29466__69825","33038__47678","1308__371601","39791__1532_28136","859__358742","84026__84030","234908__39777_1465754","31971__397865","1686__1685_1694","180311__454154","190721__351091","97253__39486_39490","28114__387661","40518__204516","1680__290112","1685__1694","1532__28136","39777__1465754","729__29360","287__28026","1303__410072","851__1297750","39486__39490","1343__40520","28447__626937","853__301302","39491__89014"
"SRR1023321",-2.08651602804414,-3.61395177137927,0,0,0,0,0,0.786299744852666,0,0,0,0.180824857069634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.30734907142999,0,-2.56424706846787,0,0,0,4.47161697285612,0,0,0,4.4414062057459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384756363282484,0
"SRR1023325",1.57392564070898,-4.15096828161107,0,-2.08478535571972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.61095415898211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01745258204408,0,0,0,0,1.60459900804567,0,-2.71824791545169,0,0,0,0,0,0,0,-4.70814349713052,0,0,0,0,0,0,0,0,0,0,-3.67419943014943,0,0,0,0,0,0,0,0,0,0,-3.49433037396137,0,4.01078540455448,-3.63932357472654
"SRR1023399",0,0,0,-2.03844413437128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0262515184137,0,0,0,0,0,0,0,0,-3.53068880912182,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43483821321395,0,0,0,0,0,0,0,0,0,0,0,0,-4.37633628470934,0,0,0,0,0,-2.05759950213495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56386687932616,0,0,0,0,0,0,0,0,0,0,0,0.27010785462831,0.147034609960941
"SRR1023405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362901668212999,0,0,0,0,1.26620102555385,0,0.20783403886224,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30084176754882,-4.63787013003459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023417",1.58221692547498,-3.61473195668153,0,-2.20866582171221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82552142014641,0,0,0,0,0,0,0,0,0,-3.03329957975694,0,0,0,0,0,4.44935716556741,0,0,0,0,0,0,0,0,0,0,0,5.25382898671635,-2.72602309199573,0,0,0,0,0,0,0,4.72161049794261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50935849744556,0,0,0,0,0.654415247204556,0,0.163229517991885,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05276072416182,-0.962429464043393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023429",0,0,-4.64550114836298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.14693829989375,0,0,0,0,0,0,0,0,0,0,0,5.39532902131151,0,0,0,0,0,0,0,-2.26728880477994,3.71860621613152,0,0,0,0,0,0,0,0,0,0,0,-2.26511092910241,0,0.540036720609645,0,0,3.92705940531097,-2.10715276273115,0,0,0,0,-3.92328721398492,0,0,3.64969564435948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023430",0,0,0,-2.0075228152274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46900937494338,-3.47713151332756,0,0,0,0,0,0,0,0,0,0,0,0,4.77450197492809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09872815794603,0,0,0,0,0,-5.79442409864664,0,0,3.66098390903363,0,0,0,0,0,3.00425024466734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023436",-0.583077541663047,-1.75593829693842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21661028530804,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83928163473326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33250610292499,0,0,0,0,0,0,0,4.04001907923056,0,0,0,0,0,0,0,0,0,-1.86166867336135,0,0,0,0,0,0,0,0,-3.47926242597307,0,3.22450472912121,0,0,0,-4.23702826755457
"SRR1023441",0,0,0,0,0,0,0,0,0,0,0.272704693457286,0,0,0,0,0,0,0,-4.24168737760079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0893038285836418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910423875364429,-3.99662899928006
