,1580_and_28111_and_47879,143393_and_147802_and_488,421767_and_425941_and_53408,28126_and_376806_and_671267,1547_and_511_and_56810,1010_and_41276_and_999468,191295_and_2173_and_285,1401_and_290588_and_481743,38286_and_38304_and_441500,157687_and_228604_and_29466,1888_and_67269_and_83617,28130_and_386414_and_76517,118748_and_1308_and_1613,1467_and_182710_and_28025,106648_and_329854_and_452084,29360_and_39483_and_84030,1223514_and_1532_and_38288,1311_and_1746653_and_28118,1280_and_1282_and_28446,137732_and_29461_and_310300,1844653_and_202611_and_28127,1267_and_1379_and_216935,1254_and_187452_and_2741,108980_and_79880_and_871324,1710_and_28091_and_41976,1144673_and_216778_and_40216,136857_and_310514_and_626932,225991_and_290309,370979_and_490189,1034636_and_1670_and_588,1113609_and_28454,271420_and_28090,28135_and_477666,1646377_and_34038_and_70775,184870_and_305719,38304_and_441500,41276_and_999468,143393_and_488,28126_and_671267,386414_and_76517,1535_and_28137_and_589437,421767_and_53408,153721_and_1611423_and_40214,39497_and_40681_and_585,196024_and_34087,179995_and_33935_and_38986,245_and_405446,13690_and_626931_and_88688,1467_and_28025,1453492_and_243924,106654_and_471,187491_and_33029,1661050_and_239974,1401_and_290588,1506_and_28125_and_901,43675_and_726_and_860,1260_and_1859290_and_36874,1661032_and_47877,1547_and_56810,351091_and_376804_and_93064,29552_and_35825_and_840,316_and_454155_and_53412,293_and_32013_and_80866,1844653_and_28127,67269_and_83617,33031_and_470_and_582,308892_and_40324_and_487698,1254_and_2741,102862_and_1408_and_584,1746653_and_28118,202956_and_29430,137732_and_29461,351091_and_376804,1710_and_41976,1487956_and_52787_and_818,76759_and_83263,1504_and_39489,191295_and_285,48296_and_487316,216778_and_40216,216947_and_423605,1223514_and_38288,199_and_28132_and_39778,1148157_and_52226_and_626930,1280_and_1282,1727_and_191493,1267_and_216935,79880_and_871324,52787_and_818,237258_and_328814_and_905,1827099_and_33034,1590_and_483012,179995_and_33935,29360_and_84030,79883_and_84032,208479_and_35833_and_358742,136857_and_626932,1646377_and_34038,1358_and_1515_and_46228,626931_and_88688,39497_and_40681,1510_and_29348_and_341225,316_and_454155,228604_and_29466,1670_and_588,33039_and_387661,28128_and_53363,43675_and_726,1691_and_28026_and_633701,284042_and_328812_and_387090,102862_and_584,153721_and_40214,1902_and_218538_and_309120,1260_and_1859290,251535_and_287_and_410072,470_and_582,293_and_32013,138595_and_1623,199_and_39778,589436_and_77095_and_839,29552_and_35825,1755626_and_291644_and_33043,308892_and_40324,166486_and_45254,1584_and_1630_and_39484,169435_and_214856_and_36848,1148157_and_626930,237258_and_328814,122355_and_1463864_and_317,189722_and_53440,78342_and_82135,261299_and_574375,1902_and_218538,60133_and_729,118748_and_1308,284042_and_387090,1691_and_28026,1755626_and_33043,589436_and_77095,251535_and_287,28116_and_40518_and_821,1264_and_1465754_and_69825,329854_and_452084,1535_and_589437,2139_and_44749_and_45851,294_and_39492_and_882211,122355_and_1463864,163202_and_310297_and_310298,28111_and_47879,29348_and_341225,1515_and_46228,1463837_and_301301_and_39485,29355_and_487175_and_817,1633_and_216816_and_40520,165179_and_187327_and_39029,1264_and_69825,46503_and_47678_and_57706,39492_and_882211,28116_and_821,397865_and_820_and_879,301301_and_39485,204516_and_2088_and_46506,310297_and_310298,163877_and_239935_and_454154,165179_and_187327,216816_and_40520,246787_and_328813,46503_and_47678,487175_and_817,397865_and_820,1113922_and_28117_and_823,1735_and_78346,239935_and_454154,1506_and_28125,204516_and_46506,33038_and_59310,1584_and_1630,169435_and_36848,28117_and_823,228603_and_28136,1582_and_1597,2139_and_45851,208479_and_358742,1303_and_28037
ERR1160440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.66109068762517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6091442745152005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.17504082461855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6804465185584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.76728121677583,0.0,0.0,0.0,0.0,-4.64266955711427,0.0,0.0,-2.48540628929851,0.0,0.0,0.0,0.0,0.0,0.0,-2.62043004904543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5867522018306204,0.0,4.30484997051625,-2.7950698606465094,0.0,-2.18877578373521,-4.5387179826268795,0.0,0.0,0.0,0.0,4.4803862401613,0.0,4.84120300934423,-2.22398569686118,0.0,0.0,0.0,-3.7910708638057704,0.0,0.0,0.0,3.8520562222700296,0.0,0.0,0.0,0.0,0.0
ERR1160450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.43939237613048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0126631943312003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.22515153505416,0.0,0.0,0.0,0.0,0.0,-2.17041131009349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7592626624040597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2180857186744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85585308692143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1452223965569504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44768499194018,0.0,0.0,-4.39527626465613,0.0,0.0,0.0,0.0,-1.92432555710222,0.0,0.0,0.0,0.0,3.21443183793145,0.0,0.0,0.0,0.0,0.0,0.0,3.3330296352043396,1.0215130265904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4334368409668703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.50713758031315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342489670667669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.55152352963926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.885953202410639,0.0,0.0,4.13747141000181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.41936839004267,0.0,0.0,0.0,0.0,-1.14196252924018,0.0,0.0,-5.3989362152387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3466914295957,0.0,0.0,0.0,0.0,0.0,0.0,-0.100857288757526,-2.19466975259826,4.0645887857462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8012795173348097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.35771913830965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08368933752983,0.0,0.0,0.0,4.14907474273412,0.0,0.0,0.0,0.0,0.0,0.0,-3.2087652983198303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.62911962564385,0.0,0.0,0.0,0.0,5.557744526253849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.553768770791611,0.0,0.0,-2.84695054144824,4.70797155130069,0.0,0.0,4.66958212850712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93106298442408,0.0,0.0,0.0,0.0,-3.22478761968378,0.0,0.0,-4.87358514675158,0.0,0.0,0.0,0.0,0.0,5.585496000911401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26663967805057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92593508483516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.626934920698759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00989710932748,0.0,0.0,-4.6060018618521505,0.0,0.0,0.0,0.0,0.0,0.0,-3.12664171701585,0.0,0.0,0.0,-2.2236258863442795,0.0,0.0,0.0,0.0,0.0,0.0,-0.680638752710291,-2.8437769729189197,-3.85143301217368,-2.17212513544151,-5.41550231093585,0.0,0.0,0.0,0.0,0.0,0.0,4.92556620248999,0.0,0.0,0.0,0.0,-3.76223109498213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.71619802209776,0.0,0.0,0.0,-2.60865288430946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3137301462430204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.51831933493507,0.0,0.0,0.0,0.0,0.0,0.0,4.70459297769142,0.0,0.0,0.0,0.0,0.0,5.73954897586556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.62686635528003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189627257293018,-2.49615350641188,0.0,-2.4861994567601,0.0,0.0,0.0,0.0,3.95891887341147,0.0,0.0,4.32346469659657,0.0,0.0,0.0,0.0,4.306223776858641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.42430224990668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8391727690534103,0.0,0.0,0.0,0.0,0.0,0.0,-2.33144206741606,0.0,0.0,0.0,4.77006807401896,0.0,4.91759148746653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93106547731079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.45095827485479,4.03817611566804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.24518425927986,0.0,0.0,-2.42612190607121,0.0,0.0,0.0,4.96896318903417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202166406671189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2511546729517202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.89911426924847,0.0,0.0,0.0,0.0,0.0
ERR1160510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8529780258665498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66382070476908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8818219953451,0.0,0.0,0.0,3.2094520861095397,-2.00204965592396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.87823829868422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4676517233361,0.0,0.0,0.0,0.0,-3.2532041620427994,0.0,0.0,0.0,0.0,0.0,0.0,3.4450079869909,-1.8441977896882098,0.0,0.0,0.0,0.0,0.0,0.0,0.5956746235236989,0.0,0.0,0.0,0.0,3.19424427094619,0.0,-1.71036876915701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.837195486197911,-2.96244560785898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.58336986405887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4745278592922695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55086086626358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59493579772299,0.0,-2.5506424781209502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.417842364048879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2434466827505095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0360731022144,0.0,0.0,3.88576363859574,0.0,0.0,0.0,0.0,0.0,-2.3064771332072698,5.2586328685286,0.0,-4.464184527987781,0.0,0.0,0.0,-2.23077582344528,0.0,3.99493558121081,0.0,0.0,0.0,0.0,0.0,-3.86381706650352,0.0,0.0,0.0,0.0,0.0
ERR1160518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.40851549056578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7616261142312997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7832767413576205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.90372200804549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2621525804794502,0.0,0.0,0.0,0.0,0.0,0.0,5.12367398681218,0.0,-2.45154563462602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9181632038634504,0.0,0.0,0.0,0.0,-4.2462015962459505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.07399786914925,0.0,0.0,-3.25794123898717,0.0,0.0,0.0,0.0,-2.10425399553096,3.5922696841560797,0.0,0.0,0.0,5.64291975399967,0.0,0.0,0.0,0.0,3.6446748322894402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4349263238563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.98960399337723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1781460110401705,0.0,0.0,0.0,0.0,4.31384816537609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.78729163645741,0.0,0.0,4.21741610560603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3748564501429903,0.0,0.0,0.0,0.0,0.643864228040028,-2.63756525615298,0.0,0.0,0.0,0.0,0.0,-4.11337203233032,0.0,0.0,0.0,4.5683970319353895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7714001990716497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800205952898599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3947652518109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.60565711989795,0.0,0.0,0.0,0.0,4.14785508833696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5131305187668405,0.0,0.0,-5.0360625120411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.03746461652767,0.0,0.0,0.0,0.0,0.0,0.0,1.45246050198332,-2.49653096288685,3.52899223444977,0.0,0.0,-2.44267216019828,0.0,0.0,3.62646255564462,0.0,0.0,4.32411847038888,0.0,0.0,4.23083228769744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1160546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6576933613668703,0.0,0.0,0.0,-2.3180608741468998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01499920905995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.32526442839668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6032599328259405,0.0,-2.62352810518458,0.0,0.0,-2.27195412478369,0.0,0.0,0.0,0.0,0.0,-4.02747613101565,0.0,0.0,-2.7667886059176703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9351399765910298,0.0,0.0,-4.54408397326461,0.0,-4.79221843925207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.65596432659311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60026515674972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.421668889181974
ERR1160547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2686467714381604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.20826092279138,0.0,0.0,0.0,0.0,3.92941147255799,0.0,0.0,0.0,0.0,4.3603865048254296,0.0,0.0,0.0,0.0,0.0,-5.5568709222124895,0.0,0.0,-5.59590485835101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.59963115021295,-2.2987308210429798,0.0,0.0,0.0,-2.28610810568246,0.0,0.712590575856322,0.0,4.50269323310755,0.0,0.0,0.0,0.0,0.0,0.0,3.9596553906370495,3.9815185749709503,0.0,-2.32971129459936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.03517832921316,0.0,0.0,0.0,0.0,0.0
