"","28116__1623_218538","33043__69825","40519__1624_84031","1680__166486_301301","28117__46503_74426","216816__341225","1623__218538","39485__1559_1681","33987__239935_626937","1559__1681","46503__74426","166486__301301","328813__817_204516","179995__33038_52226","261299__574375","823__40518_349096","208479__328812","1264__190721","239935__626937","1352__329854","1624__84031","1328__28135","573__907","36835__180282","729__88431","46228__46506_84026","536633__39491_40520","39484__820_821","29348__187327","817__204516","47678__84030","40518__349096","33038__52226","1755626__351091_357276","46506__84026","387090__1366_310297","39491__40520","371601__1365_310298","351091__357276","820__821","28111__39488_165179","1366__310297","1365__310298","39488__165179"
"SRR7423243",-2.37027229145449,0,0,0,-2.42835713867967,0,-4.10543203657188,0,0,0,-4.20603794311578,0,0,0,0,-5.30810328662318,0,0,0,0,0,0,0,0,0,0,2.36087066704045,0,0,0,0,-1.00505391024424,0,6.40969027763592,0,0,-4.06034183761348,-2.59706450282102,0,0,-2.77594088546134,0,-4.49824766941962,-4.80807065242677
"SRR7423244",0,0,0,0,-2.53114668721929,0,0,0,0,0,-4.38407466367346,0,0,0,0,-2.40990390644873,0,0,0,0,0,0,0,0,0,0,-2.4709230599817,-2.36703109414147,0,0,0,4.17407600732792,0,6.08476355465305,0,-2.37472753244162,-4.27976428148186,-2.79871575748989,0,-4.09981811814838,-2.22733128239288,-4.11314874032156,-4.84751788791611,-3.857850946392
"SRR7423246",4.73307087781309,0,0,-2.39796772224545,0,0,0,5.21626893601772,0,0,0,-4.15340192983934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.87782006123492,0,0,0,0,0,0,6.13287511445907,0,0,0.0178368166251316,0,0,0,-5.47908868749416,0,0,-1.35180175261541
"SRR7423247",0,0,0,0,0,0,0,4.41993517867051,0,0,0,0,0,-2.73281005968754,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.18312603270861,0,0,0,0,4.73336587081416,5.83756133494268,0,0,0,-2.78919366767535,0,-5.51333601554646,-2.70048466044936,0,-4.83102514456309,-4.67737663695868
"SRR7423248",-2.44877404730737,3.79425859758534,0,-5.09150511067692,0,0,4.24140106619244,4.59399896615743,0,0,0,0.293508867180492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11302107634418,0,0,0,0,0,0,6.12991574297478,0,0,-3.659859861692,-2.17874326245628,0,0,-3.45144428654179,0,-3.77369402722264,-5.9780768637837
"SRR7423249",0,0,0,-2.37441518506328,0,0,0,0,0,0,0,-4.11260773879266,0,-2.32146323766291,0,0,0,0,0,0,0,0,0,0,0,4.52482669044896,-2.56646452924937,-2.53581532944386,0,0,0,0,4.02089227553551,6.26000462326047,0,0,-4.44524696048325,-2.29237756612258,0,-4.39216098920878,-4.97815582026191,0,-3.9705144146554,0.445475726881531
"SRR7423250",0,4.11408398769655,2.47272134327229,-2.46943434326567,0,0,0,0,0,0,0,4.27718574849163,0,0,0,0,0,0,0,0,-4.15974851702236,0,0,0,0,0,0,-2.46680476345682,0,0,0,0,0,6.17788631350914,0,0,0,-2.4739957417704,0,-4.27263118266015,-2.83676957084622,0,-4.28508632245539,-4.91342902607102
"SRR7423251",4.93339761849042,0,0,-4.55155175677525,0,0,0,4.82280404602522,0,0,0,-0.0369567521411606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.83756099507421,0,0,0,0,0,3.8389617099031,0,-3.2775568357375,0,0,-4.16836362721172,-4.91479981304423,-2.46494283558046,-5.67689496419203,0,-4.26940622897825
"SRR7423252",0,0,0,0,0,-5.45687025461646,0,0,0,0,0,0,-2.53899714167377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.37132718760318,-3.87867764923154,-4.39767204965113,0,0,0,5.87186870860758,0,-2.88162583646151,0,-2.87098452853429,0,-1.76209711830682,-2.42046098354305,-4.99112235715451,-4.97269107116556,-4.19236140123471
"SRR7423253",-2.86506836582459,-3.96901914253886,0,-4.9621415687752,0,0,-4.96244397676653,0,0,0,0,-0.587043338823064,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81962541618469,0,-2.59458212104331,0,0,0,0,0,5.7943314738251,-4.88373447914443,0,0,0,0,-4.49394805805683,-2.6502005786233,0,0,-4.59028205242399
"SRR7423254",2.79435651632127,0,0,0,-3.26046589296437,0,-4.24211110633577,0,0,0,5.64729258295972,0,1.96626453806554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84476106915363,0,4.56171285232992,0,0,0,6.22650872288915,0,0,0,0,0,4.92727070716805,0,0,0,0
"SRR7423255",4.98969384320664,0,0,0,0,0,0,4.81097454692013,0,0,0,0,-2.95682585616585,0,0,0,0,0,0,0,0,0,0,0,0,-2.9342013888054,0,-5.3689326206429,0,-5.1213726120126,0,0,0,2.4163252527433,5.08218588505011,0,0,0,-4.92613521880242,0.15427787207607,-2.55485131770905,0,0,-4.42513228805637
"SRR7423256",0,3.82471511677938,0,-2.51595793650652,0,0,0,0,0,0,0,-4.35776697573545,0,0,0,-2.25535655415784,0,0,0,0,0,0,0,0,0,0,-2.48530093174676,-4.56640884972979,0,0,0,3.90639214098485,0,4.28559640244618,0,-2.2277200737193,-4.30466748588367,0,3.99791689088753,0.18123531796765,0,3.85852435272291,0,0
"SRR7423257",0,0,0,-5.3493526126649,0,0,0,0,0,0,0,-0.530351666363541,0,0,0,-2.16831029657907,0,-4.66564007608123,0,0,0,0,0,-3.95069443309211,0,0,0,-2.45928123499627,0,0,0,3.7556236002497,0,3.94245474697534,0,0,0,0,-4.3759104265379,4.25960004911427,-2.59112943112477,0,0,-4.48796782369514
"SRR7423258",0,0,0,-2.25022249257863,0,0,0,0,0,0,0,3.89749968548047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32004419964738,-2.183686836014,0,0,0,0,0,6.77060636143051,0,0,-4.01843442959473,-2.34639140616934,0,-3.78225654779558,-5.2079823581639,0,-4.06406912992828,-1.41118190023355
"SRR7423259",0,4.32389647880051,0,4.79924559173552,0,0,0,0,0,0,0,0,0,0,0,-2.42183264222065,0,0,0,0,0,-4.09077485507259,0,0,0,0,0,-4.58465953559038,0,0,0,-4.19473718375494,0,6.5183479744452,0,0,0,-2.26616979557243,0,-0.501636427470485,-3.4189404003983,0,-3.92512122450943,-5.92177848153973
"SRR7423260",0,3.99054923289954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.10905132295499,-2.5822862343834,0,0,0,0,0,6.631382872983,0,3.36318164722798,-3.65298404712839,-2.83518028902689,0,-4.47265095763776,-3.16169318802346,-3.67364324905543,-4.91067630921239,-5.47621323960106
"SRR7423261",-2.84020299596866,0,0,0,2.34630087024654,0,-4.91937589282705,0,0,0,-4.03273574720248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58197125661462,-2.29088339184497,0,0,0,0,0,1.84964577500741,0,0,-4.47210540013899,0,-0.448961993470722,3.96792642889121,-2.64285277761816,0,0,-4.57755528775919
"SRR7423262",-2.76525630800177,0,0,0,-0.0732093850528667,0,-4.7895644214094,0,0,0,-0.0304941799494584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55909855859782,-2.53679447841447,0,0,0,0,0,3.51152248624497,0,0,-4.4324887250677,0,-4.76897810227024,-4.39385692497405,-2.96804082496065,0,0,-5.14079750777049
"SRR7423263",0,0,0,-2.25611224998757,0,0,0,0,0,0,0,-3.90770104455701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25190314361561,-3.05273503485425,-4.29831597667377,0,0,0,0,3.76372113811577,0,-2.20818624551322,-3.90041065846631,0,-4.287800698568,-5.2874921824131,-2.20629825195934,-3.82469076980366,0,-3.82142066904398
"SRR7423264",4.30667919873945,0,0,-3.25366120247504,0,0,0,0,0,0,0,5.63550651330242,0,-2.84219073849778,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16922063930567,0,0,-3.9089081140834,0,4.92281876387986,2.74764527483044,0,0,0,0,-3.87927292152683,-3.75720036010446,-2.61202229122005,0,0,4.5241553188956
"SRR7423266",-6.3764970622353,0,0,0,-2.21087071656139,0,0.50690103941313,0,0,0,-3.82934041005053,0,-2.32667225507263,-2.34271356851364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02991455834665,0,0,-4.05769892824662,6.15905088812734,0,0,0,0,0,0,-2.41586366734144,0,0,-4.18439861599505
"SRR7423267",4.60590795333093,0,0,0,0,-4.11996476937215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.06143665706126,0,2.44504898072663,0,4.16766243852497,0,0,0,0,6.35081749854998,0,0,-4.02995462817412,0,0,0,0,0,0,0
"SRR7423268",-3.19466603110635,0,0,5.60574736252263,0,0.228770012268455,-5.53332387909062,4.70167211796236,0,0,0,0,0,0,0,-2.80049142899272,0,0,0,0,0,0,0,0,0,0,-2.13795925969257,0,0,0,0,4.85059344117655,0,6.49748763609756,0,0,-3.70305406229987,0,0,0,0,0,0,0
"SRR7423269",0,0,4.4024448030435,-2.11714238792803,-2.52588730288117,0,0,0,0,0,-4.3749651427833,3.66699818274904,0,0,0,0,0,0,0,0,0,0,3.7431054246971,0,0,0,-2.17591124670788,0,0,0,0,0,0,5.8251001394666,0,0,-3.76878883205858,0,0,0,-4.67600971223915,0,0,0.533952961021743
"SRR7423270",4.41583252468061,0,0,-4.78546873437853,0,0,0,5.0749755489451,0,0,0,-0.290175706678797,0,0,0,-2.25497066012692,0,0,0,0,0,0,0,0,0,0,0,-5.8078498003384,0,0,0,3.90572375291695,0,3.28628292968242,0,0,0,0,-3.98093665606154,-0.919889580764098,0,0,0,0
