"","387090__46503_166486","46503__166486","1358__584_751585","1582__820_46506","29382__1352_1680","1078764__39485_328813","301301__550_53345","571__573","584__751585","47770__204516_360807","147802__729_33043","820__46506","376804__165179_310298","1352__1680","116085__1283_310297","296__1735","1747__329_754333","322095__28111_47678","39485__328813","548__410072","729__33043","1260__1579_74426","1363__1351_1353","204516__360807","28126__823_328814","411489__457412","165179__310298","1304__1512_37734","154046__626940","1318__100886","28111__47678","1283__310297","550__53345","626929__329854_357276","239935__246787","28125__371601_487174","626933__33039_39492","147207__291644","823__328814","1351__1353","649756__674529","1118060__552398_665956","1535__147206_384638","626935__817_338188","1579__74426","329__754333","287__103892","285__363265","291645__562_218538","147206__384638","293__39486_88431","329854__357276","80866__303_546","48296__43765_208479","665951__853_39491","371601__487174","33039__39492","562__218538","1512__37734","40214__40324","491921__40545_216816","1685__28116_1118061","303__546","39496__40518_45851","1354__658081","552398__665956","1681__28026_501496","29466__818_28117","29361__33038_39488","40518__45851","28116__1118061","43765__208479","39486__88431","853__39491","818__28117","817__338188","40545__216816","28026__501496","33038__39488"
"ERR2242551",0,0,0,-5.59514166208797,0,0,-3.28559470838542,-5.35316653732249,0,0,0,0.645590225919343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69081696800299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87278005390412,0,0,0,0,0,-5.53298686430308,0,0,4.9758010123324,0,0,0,-2.60486976470445,0,0,0,0,0,0,0,0,4.5117667795681,0,0,0.221546076474859,0,0,0,0,0
"ERR2608630",0,0,0,-3.14384328471932,0,-2.99441033797022,0,0,0,0,0,5.44529630016809,0,0,0,0,0,0,-5.18647084407392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.73740100748525,0,0,0,0,0,-5.7843183446133,0,0,-0.861310468742946,0,0,0,0,0,-2.52380870318883,0,0,0,-2.90792458304453,0,4.37136490250757,0,0,0,0.485032299043947,-5.03667312241168,0,0,0,0
"ERR2608631",0,0,0,-2.48605211793055,0,0,0,0,0,-2.67657872952207,0,4.30596857851993,0,0,-2.84973944880288,0,0,0,0,0,0,0,0,4.63597034999039,0,0,0,0,0,0,0,-4.93589351365991,0,-3.00628864241845,4.51670655559722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.20704467088602,0,0,-3.39443045111005,0,0,0,0,0,0,-2.88041904773838,0,0,0,0,0,-5.32928973868609,0,0,4.98903213777203,0,0,5.87932600408155,0.0587692512261077,0,0,0,0
"ERR2608632",-3.57449633775044,-6.19120926845264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46159541258533,0,0,0,0,0,0,0,0,0,-4.14995690151492,0,0,0,4.26360832227627,0,0,0,0,-2.68809456521724,0,0,0,0,-3.12728692275997,0,0,0,0,0,-2.77602631765287,0,0,5.41661984006599,0,0,0,-2.95372080126128,0,0,0,0,0,-2.34819826276995,4.70962388607779,0,5.11599449915759,0,0,4.80821862532312,4.06719869736253,4.65591636250602,0,0,0
"ERR2608633",0,0,0,-5.34572971877865,0,0,0,0,0,0,0,0.00110451818362126,-2.79916929646618,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84830344046625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86966117586062,0,0,0,0,-2.62964231769855,0,0,0,0,0,-5.40912190165263,0,0,4.55467409998707,0,0,-2.80799955730601,0,0,0,0,0,0,-3.18744799715064,0,0,0,0,0,-0.160496053151856,-5.52082187754857,4.97039895709845,-4.86359790088492,0,0
"ERR2608634",-2.51162981471236,4.35027044888661,0,-2.51762570886716,0,0,0,0,0,0,0,4.36065564219953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54794574495936,0,0,0,0,-3.23454097448191,0,0,0,0,0,-6.33290039390481,0,0,-5.60238930696601,0,0,0,0,0,-2.70571725739866,-4.80930468924712,0,0,0,0,4.6864397607304,0,0,0,0.323274986614437,0,4.41317148519854,0,0,0
"ERR2608635",0,0,0,-2.79736468793927,0,0,0,0,0,0,0,4.84517776680988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.44344828598511,-2.49303617435808,0,0,0,0,0,0,0,-3.3654612238421,0,0,0,0,0,0,-2.25871211689627,0,0,0,-3.40952261922888,4.31806531909534,0,0,0,0,0,0,0,0,0,0,0,-2.37922152044396,3.39697383506225,0,0,0,3.9122041461358,5.90546640605974,4.12093255587021,5.82914983059745,0,0,4.18458336191741
"ERR2608636",0,0,0,-2.78515648255615,0,-2.66427444988602,0,0,0,0,0,4.82403253481707,0,0,0,0,0,0,4.61465871251021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74656377136819,0,0,0,0,-2.56044947110211,0,0,0,0,-2.24082087300773,-2.92005498176666,0,0,4.43482857416171,0,0,0,0,0,-2.41856788931107,0,0,0,-3.12686058467041,0,4.1890824658414,0,-3.88121560271024,0,5.05768358931446,5.41588140083367,4.75718799823769,0,0,0
"ERR2608637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69230205730456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89727743254322,0,0,-2.71043522394899,0,0,0,0,0,0,-3.39670047991379,0,-4.66320395257371,0,0,-2.66143698994111,0,0,-5.01823171678756,0,0,-2.59246943796393,0,4.69461151850398,4.60974408772117,0,0,-2.81375164129308,0,0,0,0,0,-2.79350085597564,-2.61585775573316,0,0,0,0,0,4.49028878362306,4.53079853830293,5.88325780930428,-4.87356080259993,4.83848541353696,0
"ERR2608638",0,0,0,-2.61211324388562,0,0,0,0,0,0,0,4.52431285353345,0,0,0,0,0,-2.73606299764712,0,0,0,0,0,0,0,0,0,0,0,0,-4.73900012463402,0,0,-2.75715744146274,0,0,0,0,0,0,0,0,0,-2.72465631208334,0,0,0,0,-2.90401345918677,0,0,-4.77553677308008,0,0,-2.62436663138372,0,0,5.02989885717533,0,0,0,-3.30512539164076,0,0,0,0,0,-3.19949050912971,0,0,5.72464510370778,0,0,4.54553634324498,5.54168012014707,4.7192431656916,0,0,0
