"","165179__74426_88431","40518__487174","573__28117_216816","74426__88431","410072__47678_487173","817__550_39492","28117__216816","100886__1735_363265","2173__39491_469588","166486__28111_360807","47678__487173","658081__33039_204516","384638__751585","550__39492","729__562_292800","39491__469588","33043__853_1502","1735__363265","338188__46503_46506","1308__310297_357276","28111__360807","818__187327","246787__291644","214856__261299_328813","328814__39485_45851","33039__204516","28118__820_1680","1747__411489","329854__457412_658082","562__292800","853__1502","46503__46506","261299__328813","310297__357276","457412__658082","820__1680","39485__45851"
"SRR3313044",0,5.17743377206644,0,0,0,-2.55741637773311,0,0,-2.84204324838522,0,0,0,0,-4.42957510234251,0,4.92256330351129,-2.70090875440827,0,-2.40364765568406,-3.33206173238158,0,0,0,-2.38230598987357,-3.30187344172129,0,0,0,-2.39060993912152,0,4.67811118924269,4.16323986313862,-4.12627501363669,-5.77130021444087,4.14065787563762,0,5.71901256122359
"SRR3313045",0,5.49971692245201,0,0,0,-2.61535640680652,0,0,-2.82450463249385,0,0,0,0,-4.52993017648968,0,4.892185529693,-2.59471619008187,0,0,-3.30348531130636,0,0,0,-2.60590127328663,-3.02395604165833,0,0,-4.79700368081654,-2.48168561284509,0,4.49418027244335,0,-4.51355340484087,-5.72180440124011,4.29840556986041,0,5.2376455040071
"SRR3313046",-2.57697544160112,0,-2.85354819293227,-4.46345239471039,0,0,4.94249045200505,-2.75773046631768,0,0,0,0,0,0,-2.56112233811374,0,-2.4804305561655,4.77652928124283,0,-2.49873876093996,0,0,0,0,0,0,-2.86217271959421,0,-2.5476032824019,4.43599401401259,4.29623174792498,0,0,-4.32794248878972,4.41257832264933,4.95742857037476,0
"SRR3313047",0,0,-2.58695731203054,0,0,0,4.4807415014487,0,-2.87626201209451,-2.9872620150276,0,0,0,0,0,4.98183194082797,-2.40819442787998,0,0,-2.46028130155421,5.17408958554838,0,0,-2.7952274284543,0,0,-3.53047288299739,0,0,0,4.17111510359238,0,-4.84147592479295,-4.26133221520358,0,6.11495840809564,0
"SRR3313048",0,4.16757384963215,0,0,0,0,0,0,-2.63213198937752,-2.98480722226108,0,0,0,0,0,4.55898633782921,2.13196017470517,0,0,-2.51859148318124,5.16983775975472,0,0,0,0,0,-3.57743581809964,0,0,0,4.49092511775969,0,0,-4.36232841238016,0,6.19630059776531,0
"SRR3313049",0,0,-2.5307658377684,0,0,0,4.38341501307449,0,-2.76002732228774,-3.10289870265971,0,0,0,0,0,4.78050755248065,-2.70934893917483,0,0,-2.64031792019762,5.37437820374618,0,0,-2.401399801207,0,0,-3.47900781062288,0,0,0,4.69273001808364,0,-4.15934646497633,-4.57316478591687,0,6.02581828792779,0
"SRR3313050",0,0.418658593854662,0,0,0,0,0,0,0,0,0,0,-0.0466866084059016,0,0,0,-2.75078068176763,0,0,0,0,0,0,0,-5.15997336076139,0,0,0,0,0,4.76449190130049,0,0,0,0,0,-0.156526260239489
"SRR3313051",0,0.433091193413737,3.57203260330172,0,0,0,4.39414726558634,-2.51314004692141,-2.50980301102939,-2.70540815937982,0,0,0,0,0,4.34710633209225,0,4.35288624780391,0,0,4.68590438725724,0,0,0,-2.50277417437755,0,0,0,0,0,0,0,0,0,0,0,-4.33493202989317
"SRR3313052",0,-0.122111019819583,-2.68436194125445,0,0,0,4.64945126815693,0,-2.62414205900562,-2.94145924076531,0,0,0,0,0,4.54514737247615,-2.70245735937096,0,0,0,5.0947568533985,0,0,-2.5466877745965,0,0,0,0,0,0,4.68079345171893,0,-4.41099261661565,0,0,0,0
"SRR3313053",0,5.42412016617112,0,0,0,1.86119720458297,0,0,-2.77095915969266,0,0,0,0,-5.6352467842318,0,4.79944205028605,-2.91829441360368,0,0,0,0,0,0,0,-2.54045411902597,0,0,0,-2.73511223107337,0,5.054634195806,0,0,0,4.73735334862215,0,4.40019560845061
"SRR3313054",0,5.33298517949985,0,0,0,1.30933015061152,0,0,0,0,0,0,0,-6.10428440917425,0,0,-2.76931886926474,0,0,0,0,0,0,0,0,0,0,0,-2.39427814296516,0,4.79660098392571,0,0,0,4.14701139106731,0,0
"SRR3313055",0,0,-2.65837110900384,0,0,-2.509038144703,-4.60443382616788,0,0,0,0,0,0,-4.34578154475395,0,0,-2.92950150920789,0,0,-2.73033517741673,0,0,0,-2.48745139882484,-2.54061479986931,0,-3.05720468453152,-4.63993475213586,-2.51837323959117,0,5.07404545479778,0,-4.3083922041229,-4.72907924897835,4.36195040339374,5.29523384274617,4.40047391583508
"SRR3313056",0,0,-2.61883930905033,0,0,-3.03890270492156,-4.53596274013374,0,0,0,0,0,0,-5.26353388418264,0,0,-2.56378195319402,0,0,2.27593682355753,0,0,0,0,-2.33152487168773,0,-2.82695504508856,-4.88749873578065,0,0,4.44060060246021,0,0,-4.60252537895459,0,4.89642976880656,4.03831953687365
"SRR3313057",0,0,0,0,-2.75369808295345,0,0,0,-2.89213688944928,-2.91539069457845,4.76954498838039,0,0,0,0,5.00932803497037,-2.92743446385624,0,-2.95434566543704,0,-5.0496048069234,0,0,-2.60715168757766,-5.53471755397354,0,-2.4968536591338,0,0,0,5.07046522722716,-5.11707679565783,4.51571918592345,0,0,4.32467739668401,-0.577599349618561
"SRR3313058",-2.71420146221102,0,-5.49026907770312,4.70113483452722,0,0,0.29232739254385,0,0,0,0,-2.83108105016064,0,0,0,0,-2.6423098895168,0,0,0,0,0,0,0,0,4.90357621922368,-2.90446471913898,0,0,0,4.57661497798481,0,0,0,0,-5.03068046233998,0
"SRR3313059",-2.4767250868813,0,-5.59898685946102,4.28981368685885,0,0,0.0589314083498781,0,0,0,0,0,0,0,0,0,-2.62409232480132,0,0,0,0,0,0,0,0,0,-5.8228193585804,0,-2.51008627952896,0,4.54506123030741,0,0,0,4.3475969675257,-0.401810614502551,0
