"","1681__817_84026","28111__169435_185294","39492__821_310298","1465754__35833_187327","817__84026","1515__650643","28447__29348_218538","31971__818_46506","29363__88431_214856","261299__454155","821__310298","1304__216947_626932","39497__310297","78345__1686_762212","1343__2088","216947__626932","729__1541","1630__2139","536633__40520_216816","225004__387090","154046__1267_44749","28125__47678_228603","29348__218538","1689__36847_574375","818__46506","151276__246787","1547__1492_28026","562__103892","45851__165179_308994","169435__185294","745368__204516_357276","37734__39485_43131","1303__1735_89014","28118__626937","39777__29466_652716","143393__508460","88431__214856","876__321327","1532__39490","40520__216816","852__645466","1307__208479","905__544645","901__626931","28037__1322_1623","47678__228603","33038__74426_397865","1265__1504_1161942","310514__1308_454154","35785__1264_328814","1492__28026","35833__187327","1632__1823","29533__164393","28025__288965","39484__1535_40518","294__28136","76759__105841","840__314275","1261__1358","1267__44749","189722__40519_166486","423605__820_28116","204516__357276","1352__28117_46503","1322__1623","36745__33043_234908","1686__762212","1520__29367_341225","29466__652716","39485__43131","1535__40518","36847__574375","1504__1161942","1735__89014","28135__180311","52226__633701","39488__39491_351091","1416614__47246_1590651","1264__328814","589437__839_437898","165179__308994","74426__397865","291644__301301_472113","29367__341225","1308__454154","90728__301302_487175","33043__234908","28117__46503","40519__166486","820__28116","839__437898","39491__351091","47246__1590651","371601__853_1680","301301__472113","301302__487175","823__1297750_1755626","853__1680","1297750__1755626"
"SRR5057605",-2.37249236640815,0,0,0,4.10927731918824,0,-2.28460365553914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25013295499211,-3.95704960655137,0,0,0,0,3.68828954101364,-3.68850840588488,0,-1.99942736466202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.89734460183142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.81995925605005,-3.46310978163816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3886839631375,0,0,0,0,0,0,0,0,3.15226189918394,0,0,0,-1.96664508494437,0,0,0,3.40632920757926,0
"SRR5057606",0,0,-2.73606725680725,0,0,0,0,0,0,0,4.73900750171575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22783075076622,0,0,0,0,0,0,0,-2.86594995613283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.85871605099141,0,0,0,0,0,0,0,0,0,0,0,-2.57333926833239,0,0,0,0,0,0,4.96397093597186,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92815310644382,0,0,-2.48636883596237,0,0,0,4.45715435786383,0,0,0,-2.35478233301833,5.07170995270133,-4.30651715024271,0,4.07860264155333,0
"SRR5057607",-2.27250622683688,0,-2.49360309136641,0,3.93609624539812,0,0,-1.81825386411024,0,0,4.31904724815744,0,0,0,0,0,0,0,0,0,0,-2.38777466310275,0,0,3.14930807369738,0,0,0,0,0,-3.63177254784037,-2.35710395608644,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13574703351963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50089670979629,-6.29041457439339,0,0,-1.73481859194228,0,0,0,4.08262381066331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.00479394315912,0,0,4.33168016584901,0,0,0,-2.39131367303545,0,0,0,4.14187677853155,0
"SRR5057608",-2.6834356872409,0,0,0,4.64784694914474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93491518131856,0,0,0,3.16319507881387,0,0,-6.2830246753852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.35515369901162,0,0,0,0,0,0,0,0,0,-4.21825924003622,0,0,0,-1.35695344065473,2.46683763479675,0,0,0,0,0,-2.34719505875303,0,0,0,2.3503123027194,0,0,0,0,0,0,0,0
"SRR5057609",-2.23896991840812,0,0,0,3.8780096553012,0,0,-1.84945344870358,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89109140303958,0,0,3.20334733938808,0,0,0,-2.0755716567603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27546639182127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.37503485286758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.59499556425875,0,0,0,0,-2.47454723039445,0,0,0,0.819746094525151,0,0,0,3.64752138349262,0,-4.28604152877204,0,4.18975365196099,0
"SRR5057610",0,0,-1.81399033315818,-3.64193350767176,0,0,-3.77694093147061,0,0,0,3.14192342146876,0,0,0,0,0,0,0,0,0,0,0,-6.54185359049362,0,0,0,0,0,-4.7500029537098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858716282013484,0,0,0,0,0,0,0,0,0,0,0,0,-1.66550536800252,0,0,0,0,0,0,0,0,0,0,0,0,-2.02600038009339,0,0,0,2.23901632222736,0,0,0,0,0,0,2.88473991765906,0,0,0,-3.5091355944756,0,-1.73189061749803,0,0,0,2.99972254265842,0
"SRR5057611",-2.4454462305289,-2.15161276749416,0,0,4.23563711845385,0,-2.47989801160628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01647702857479,-4.29530935369111,0,0,0,0,0,-3.71322440527392,-3.72670263151376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2202793610838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33307780003753,0,0,0,0,-2.06447532004713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43149332983915,0,0,0,0,0,-3.57577614529365,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5057612",-2.95663856734706,0,0,0,5.12104821826276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35164513861487,0,0,0,0,0,0,-1.83280954753263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42458534634357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41490485982072,0,-2.6704881794069,0,0,0.844151062229005,0,0,0,0,0,0,0,0,0,0,0,-4.62542120774486,0,0,0,0,0,0
"SRR5057613",0,0,0,0,0,0,-3.62256417058363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.27446519712946,0,0,0,0,0,-5.74939625812983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94268527087187,0,0,0,-4.10178035495907,0,0,0,0,0,0,0,0,0,-0.76606253305067,-1.97483526830088,0,0,0,-0.334121651455815,0,0,0,0,0,-0.343533911772929,0,0,0,0,-3.42051502127604,0,0,0,0,0,0,0
"SRR5057614",-2.65751700836529,0,0,0,4.60295448046712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.68297443653196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09225334668042,0,0,0,0,0,-1.75405981504406,0,0,0,0,0,0,0,-3.62363032856305,0,0,0,0,3.5742203623085,0,0,3.03812071917118,0,0,0,0,0,2.26604023604255,0,0,0,0,0,0,0,0,0
