"","204516__187101_290053","69825__876_208479","1735__28125_397865","562__90742_1755626","47678__218538","169435__905_351091","33043__84026","39485__45851","28137__294_39483","29389__33987_626937","840__179995","90742__1755626","1623__852_33035","84030__40519_239935","850__1671366","28117__55507","33039__1456_158787","856__1161942","1596__246787","46124__483_1510","1364__1680","41976__33031_301302","905__351091","1264__47770","28111__820_165179","1365__39492","122355__861_1535","853__89014","74426__818_197614","1308__1633","762210__40520_310298","901__536633","36847__384638","823__1303","1352__46228","539__97478","38986__328814","40543__349096","28135__151276_1297750","859__1385387","907__46503","185293__301301","330920__1304_487175","328813__821_310297","1515__371601_387090","623__1265_47246","1537__261299_454154","28125__397865","820__165179","187101__290053","294__39483","1358__29370","851__52226","483__1510","33932__310514","44749__228604","39497__582850","34086__376804","1343__39488_160453","876__208479","852__33035","729__1630_28037","817__33033","40519__239935","40520__310298","861__1535","33031__301302","545533__28108_39486","821__310297","1304__487175","437898__1428_29348","34062__1366_228603","1811976__37734_341225","818__197614","13689__33051","371601__387090","1456__158787","33987__626937","1265__47246","261299__454154","703__28116_33038","39488__160453","1630__28037","28108__39486","151276__1297750","37734__341225","1366__228603","1428__29348","28116__33038","410072__40518_46506","40518__46506"
"ERR475486",0,0,0,5.02804508360951,0,0,-4.14956566344898,0,0,0,0,0,-2.1369088198326,0,0,0,0,0,0,0,-4.75790095463398,0,0,0,0,0,0,0,0,0,-3.19144889927603,-3.79712461538447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22266481738296,0,-3.70123464709211,0,0,0,5.52775164330586,0,0,0,0,0,-2.21153093314313,0,-2.11127526356254,0,0,0,0,0,0,0,0,3.84976839190308,0,0,0,-3.65683602525368,0,-3.83048393871412,0,0,0
"ERR475487",0,0,0,-2.25793487477858,0,-2.24116970036037,4.15355265707723,0,0,0,0,-3.91085792329818,0,0,0,0,0,0,0,-2.41874522088308,0,0,-3.88181978940807,0,0,0,0,0,0,0,-3.09242139348346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.18938961313391,0,0,0,0,-2.36423077856474,0,0,0,0,0,5.3562309719263,0,0,-2.11756769430149,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09496782929225,0,-3.66773483499667,0,0,0,0,0,-3.03589042837717,5.25831646816131
"ERR475488",0,0,4.98590766133741,-5.88856735575867,0,0,0,4.82662409779032,0,0,0,-0.556438862500996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.488068550349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30946114191871,0,0,-2.49626411887704,0,0,-0.0397443029695309,0,0,0,0,0,0,0,0,0,0,0,-4.3236562830062,0,0,-2.39359324194229,4.14582510769755
"ERR475489",0,0,0,-5.44977306333065,0,0,0,4.49310098072064,0,0,0,-0.235461056410253,-2.51120850603499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67818528205549,0,0,0,0,0,0,0,0,0,0,0,-2.50817140108051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.34954072085174,0,0,0,4.6387529806033,0,0,0,0,4.34428030076267,0,0,0,0,0.0148867919915487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88478984903735,4.99660258769165
"ERR475490",0,0,0,-5.33481446012131,0,0,0.663550365289897,0,0,0,0,-0.688460650197432,0,-2.48320437426153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48715400097227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.30103614179825,0,0,0,0,4.30787709593219,0,0,0,0,0,-0.0826208672726652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR475491",0,0,0,0,0,0,0,0,0,0,-4.60173454811002,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72957875536759,0,0,0,0,0,0,0,0,0,0,0,0,-5.57540926543117,0,0,0,0,0,-3.01401186492641,0,0,0,0,4.72776908755728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22042168466797,0,0,0,0,0,-0.016578325174953,0,0,0,0,0,-2.7305519415786,0,0,0,0,0,0,0,4.72945469551999,-2.47921616301758,4.29412835729241
"ERR475492",0,0,0,-5.7914003943439,0,0,0,0,0,0,0,-0.390816744692729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33774413471452,0,0,0,0,-3.97432316412841,0,-2.89615014659767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01627920025522,0,0,0,0,0,-0.00776439425717338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45921645661656,4.25948784966939
"ERR475494",0,0,0,-5.67431045053582,-4.46199694669155,0,0,5.0250336662486,0,0,0,0.0767577715198224,0,-2.6598543814783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.29328051334868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.60700292945511,0,0,0,0,0,0,0,0,0,0,-0.0125229792289303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8309955762043,4.90342817398858
"ERR475495",0,4.66304557445782,0,-3.23826756925133,0,0,-0.00105609652325634,0,0,0,0,-5.60884395844587,0,0,0,0,0,0,0,0,0,0,0,0,-2.56340268507929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46020177013773,0,0,0,0,-4.43994369081581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26119446274943,0,0,0,0,0,-0.0944201186173831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16177311878347,5.47635168373847
"ERR475496",0,-2.29444912394551,0,-5.79882466192005,0,0,-4.65882364418021,0,0,0,0,-0.256850113324978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84376668698055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45569151898414,3.97410245805552,0,0,0,0,4.92554838672214,0,0,0,0,0,0,0,0,0,-0.0391192402810825,0,0,0,0,0,0,4.25338247859652,0,0,0,0,0,0,0,-2.65902876561274,4.60557292082843
