"","Part","BalanceID","Component","Group","d.group"
"58524","-1","301301__1584_39484","39484","301301__1584_39484-1","p__Terrabacteria group"
"58658","1","301301__1584_39484","301301","301301__1584_394841","p__Terrabacteria group"
"59042","-1","341225__310298_454154","310298","341225__310298_454154-1","p__FCB group"
"59049","1","341225__310298_454154","341225","341225__310298_4541541","p__Terrabacteria group"
"59070","-1","341225__310298_454154","454154","341225__310298_454154-1","p__FCB group"
"59273","1","36848__328813","36848","36848__3288131","p__Terrabacteria group"
"59425","-1","36848__328813","328813","36848__328813-1","p__FCB group"
"59537","1","879__69825","879","879__698251","p__Proteobacteria"
"59710","-1","879__69825","69825","879__69825-1","p__Terrabacteria group"
"60152","1","216816__536633","216816","216816__5366331","p__Terrabacteria group"
"60219","-1","216816__536633","536633","216816__536633-1","p__Terrabacteria group"
"60417","1","39029__187327","39029","39029__1873271","p__Terrabacteria group"
"60518","-1","39029__187327","187327","39029__187327-1","p__Terrabacteria group"
"60669","-1","246787__840_1113922","840","246787__840_1113922-1","p__FCB group"
"60921","1","246787__840_1113922","246787","246787__840_11139221","p__FCB group"
"60997","-1","246787__840_1113922","1113922","246787__840_1113922-1","p__Proteobacteria"
"61046","1","823__47678","823","823__476781","p__FCB group"
"61206","-1","823__47678","47678","823__47678-1","p__FCB group"
"61440","1","1265__39492_46503","1265","1265__39492_465031","p__Terrabacteria group"
"61561","-1","1265__39492_46503","39492","1265__39492_46503-1","p__Terrabacteria group"
"61583","-1","1265__39492_46503","46503","1265__39492_46503-1","p__FCB group"
"62074","1","310298__454154","310298","310298__4541541","p__FCB group"
"62102","-1","310298__454154","454154","310298__454154-1","p__FCB group"
"62179","-1","2088__817_46506","817","2088__817_46506-1","p__FCB group"
"62248","1","2088__817_46506","2088","2088__817_465061","p__Terrabacteria group"
"62342","-1","2088__817_46506","46506","2088__817_46506-1","p__FCB group"
"62559","-1","57706__818_487175","818","57706__818_487175-1","p__FCB group"
"62738","1","57706__818_487175","57706","57706__818_4871751","p__Proteobacteria"
"62866","-1","57706__818_487175","487175","57706__818_487175-1","p__Proteobacteria"
"63086","-1","163877__40520_239935","40520","163877__40520_239935-1","p__Terrabacteria group"
"63159","1","163877__40520_239935","163877","163877__40520_2399351","p__Terrabacteria group"
"63192","-1","163877__40520_239935","239935","163877__40520_239935-1","p__PVC group"
"63456","1","39492__46503","39492","39492__465031","p__Terrabacteria group"
"63478","-1","39492__46503","46503","39492__46503-1","p__FCB group"
"63777","-1","671267__28117_397865","28117","671267__28117_397865-1","p__FCB group"
"63988","-1","671267__28117_397865","397865","671267__28117_397865-1","p__FCB group"
