"","908612__2173_88431","204516__821_853","2173__88431","301301__33039_674529","1531__562_33038","208479__333367","649756__100886_487174","821__853","33039__674529","457402__165179_218538","457415__901_197614","328812__1352_487173","562__33038","100886__487174","329854__46228_457412","1211813__100884_626930","322095__818_28116","384638__310297_376804","415425__546_626933","665943__52226_1118060","84030__39490_371601","165179__218538","147207__28111_411489","571__1161942","550__363265","290053__28123_40545","1352__487173","1318__39496","188913__1680_357276","1496__1351_154046","901__197614","469590__665956","46228__457412","563193__1735_246787","100884__626930","573__39492_74426","310297__376804","1689__665950","818__28116","158847__328813_410072","351091__28133_658089","28132__1623_28131","28111__411489","52226__1118060","546__626933","39490__371601","28123__40545","1264__817_310298","1680__357276","1351__154046","457394__39491_360807","905__387090","446660__33043_40520","261299__849_28025","729__1304_47678","253239__45851_239935","39492__74426","1624__1686_291644","1681__341694","1735__246787","454155__46506_166486","328813__410072","1683__328814_751585","28133__658089","907__29466_39488","1623__28131","817__310298","626929__820_40518","97478__28026_28118","626932__1308_39483","45851__239935","1304__47678","849__28025","39491__360807","33043__40520","1118061__28117_216816","1686__291644","46506__166486","29466__39488","328814__751585","820__40518","28026__28118","1226323__39485_46503","28117__216816","1308__39483","39485__46503"
"ERR478978",-2.5929852803866,-2.98686580094295,-4.49118224890783,0,0,0,0,-5.1734033226231,0,-2.85699668042682,0,0,0,0,0,0,0,0,0,0,0,4.94846340755488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38398165514589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06375912554832,0,0,0,0,0,-4.12917735102483,-3.284876479241,0,-2.44639873556668,0,0,0,0,0,5.30658646760249,0,0,0,0,0,0,0,-4.23728690557375,-5.68957295863338,0,0,-2.93668149699171,0,0,5.08648155843707
"ERR478979",-2.60068691463445,-2.97842001146457,-4.50452187072641,0,0,0,0,-5.15877478613652,0,-2.8514410802436,0,0,0,0,0,0,0,0,0,0,0,4.938840825771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38559044919713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05648971409145,0,0,0,0,0,-4.13196386406048,-3.29746924929421,0,-2.45291847354279,0,0,0,0,0,5.29399547761806,0,0,0,0,0,0,0,-4.24857942300041,-5.71138427617358,0,0,-2.94728721562978,0,0,5.10485120196899
"ERR478980",0,-5.59649204332246,0,0,0,0,0,-0.561569094850647,0,0,0,0,0,0,-2.95202852063292,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76131999834375,0,0,0,-5.11306338312861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78274653308739,0,-2.93573643909521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.24971784948923,-2.80659058236773,0,0,0,0,5.08484467014424,0,-2.80738302198337,0,0,0,0,-0.433339795431695,4.86115748470523,0,-4.86253003038145,0,0
"ERR478981",0,-5.60257072713393,0,0,0,0,0,-0.616212388295413,0,0,0,0,0,0,-2.95692609759706,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7705641999777,0,0,0,-5.12154623526447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79875795999279,0,-2.9327165318312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.21496319713605,-2.80611840836091,0,0,0,0,5.07961403732883,0,-2.82463480201322,0,0,0,0,-0.47127598589504,4.8603396553354,0,-4.89241098991415,0,0
"ERR478982",0,-5.59307189592989,0,0,0,0,0,-0.544370138129035,0,0,0,0,0,0,-2.96412144739502,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75819246371156,0,0,0,-5.13400894669278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.777329484202,0,-2.93584286738916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25854247973601,-2.79242762035802,0,0,0,0,5.08502900935673,0,-2.81367861101672,0,0,0,0,-0.443161750638924,4.83662651491874,0,-4.87343431045079,0,0
"ERR478983",0,-5.63123139842662,0,0,0,0,0,-0.512208380910225,0,0,0,0,0,0,-2.95765710510937,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76112631616667,0,0,0,-5.12281237741652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78241106571616,0,-2.9301693371796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.29193131052278,-2.79544590774017,0,0,0,0,5.07520216677549,0,-2.87543752227589,0,0,0,0,-0.384967655378659,4.84185434201647,0,-4.98040388257181,0,0
"ERR478984",-3.60875592546227,0,6.2505486150159,-2.30019055275738,-2.96485995872488,0,0,0,3.98404690446571,0,0,0,5.13528808583806,0,0,0,0,0,-2.20422105529056,0,0,0,0,0,0,0,0,0,-2.38568692113119,0,0,0,0,0,0,-2.47884032694327,0,0,0,0,0,0,0,0,3.81782285887634,0,0,0,-4.13213095835178,0,0,0,0,0,-2.49421062009672,0,4.29347739011638,0,0,0,0,0,0,0,0,0,0,-5.43829401034019,0,0,0,-4.32009951878539,0,0,0,0,0,0,0,0,-1.23779928089059,0,0,0,0,0
"ERR478985",-3.60238385821869,0,6.23951187080078,-2.52492093849512,-2.96686855202044,0,0,0,4.37329135056804,0,0,0,5.1387670714777,0,0,0,0,0,-2.15310903322759,0,0,0,0,0,0,0,0,0,-2.40665179927943,0,0,0,0,0,0,-2.48461865157872,0,0,0,0,0,0,0,0,3.72929423978569,0,0,0,-4.16844319247904,0,0,0,0,0,-2.48718443251264,0,4.30348574196761,0,0,0,0,0,0,0,0,0,0,-5.40874634688239,0,0,0,-4.30792980490626,0,0,0,0,0,0,0,0,-1.23271656316951,0,0,0,0,0
"ERR478986",0,2.49855177876836,0,0,0,0,0,-4.69593524016248,0,-2.56739459484574,0,0,0,0,0,0,0,0,0,0,0,-4.44685788135053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44263671381803,0,0,0,0,0,0,0,0,0,0,0,-2.8388101535326,0,-2.39110537379822,0,0,0,-2.85317397559113,0,0,0,0,5.57433842761135,0,-2.76032158810611,0,0,-4.14151599366949,-4.91696341896087,0,4.94184228855713,0,-4.78101723582899,0,0
"ERR478987",0,2.49676504172378,0,0,0,0,0,-4.6816088132594,0,-2.56495697013397,0,0,0,0,0,0,0,0,0,0,0,-4.44263579149995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44642396800362,0,0,0,0,0,0,0,0,0,0,0,-2.8514108373031,0,-2.37927406108383,0,0,0,-2.81409050903884,0,0,0,0,5.58280863092977,0,-2.6581474602814,0,0,-4.12102355892793,-4.93878844346148,0,4.87414773875264,0,-4.60404645521755,0,0
