"","341225__1735_33043","1735__33043","301301__351091","536633__1680_216816","39491__39492","562__40518_74426","309120__1304_187327","823__39485_165179","1624__310297","1604__47877","1363__633701","1515__33035","1365__1547","97478__397865","29375__487175","1264__1623_261299","820__2173","454154__29389_39496","573__44749","45851__28116_410072","729__46503","1630__46228","1686__84026","1559__39484","40518__74426","907__574375","39485__165179","102684__218538_349096","29389__39496","1680__216816","29363__821_166486","1623__261299","1304__187327","28116__410072","29348__40520_69825","78346__28026_310298","218538__349096","821__166486","1755626__39488_46506","28026__310298","40520__69825","39488__46506"
"SRR7008027",0,0,0,0,0,-2.36718073493675,0,-2.40996499827778,0,0,0,0,0,0,0,0,4.77986282796383,0,0,0,0,0,0,-4.27188572728787,4.10007730360869,0,-4.17418182147976,0,0,0,-2.61774890870554,0,0,0,-4.63393251627307,-2.55481750083628,0,4.53407411133597,6.65047019304863,-4.42507371551458,-0.199569900247078,0
"SRR7008028",0,0,0,0,0,-2.31697698515768,-4.75523739916999,-2.56853400933421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01312185826087,0,-4.44883140513544,0,0,0,0,0,-0.508688463229064,0,-2.42481637563227,-2.39047006036053,0,0,6.63345662363518,-4.14041559851668,4.19990516162011,0
"SRR7008029",0,0,4.44366173246273,0,0,0,0,-4.82669704122427,0,0,0,0,0,0,0,0,0,0,4.24232878534408,0,0,0,0,0,0,4.58253330780376,-0.057283938993837,-2.60296690008764,0,0,-2.6569459063592,0,0,0,0,0,4.50847092137185,4.60196530277628,3.70864972298242,0,0,-4.29658358724302
"SRR7008030",0,0,0,-2.61291105594959,0,0,0,-5.08268894926085,0,0,0,0,0,0,0,0,0,0,0,-2.27251913947357,0,0,0,0,0,0,-0.137964536680745,0,0,4.52569470456314,-2.27848868033523,0,0,3.93611861074093,-4.77280860469881,0,0,3.94645815881117,3.57591976920121,0,-0.208116844418843,-4.36967424456826
"SRR7008031",0,0,0,0,4.67523187181497,0,0,-5.48551260042679,0,0,0,0,0,0,0,-2.4261009759641,0,0,0,0,0,4.39057875515003,0,0,0,0,-1.02926482519284,-2.83249496149259,0,0,0,4.20213015466226,0,0,0,-2.56445830095344,4.90602518548801,0,3.21367383003042,-4.44177207114312,0,-4.52696202165026
"SRR7008032",0,0,0.258549272988052,0,0,-5.14776744728113,0,-2.90055595223788,0,0,0,0,0,0,0,0,0,0,0,-2.45790906484572,0,0,0,0,-0.37087703421155,0,-5.02391027947233,0,0,0,-2.3758618838459,0,0,4.2572233806969,0,-2.5101649512373,0,4.1151134945874,6.60589878553792,-4.34773323092166,0,0
"SRR7008033",0,0,4.07058035773496,0,0,-2.62624245345599,0,-2.1377365402172,0,0,0,0,0,0,0,0,3.93825754045448,0,0,0,0,0,0,0,4.54878536238012,0,3.7026683008527,-2.15672871265361,0,0,0,0,0,0,-2.34344397150799,-4.95843115331873,3.73556370845868,0,6.72036160532214,-0.307460876488766,4.05896402334283,0
"SRR7008034",0,0,3.94392032315277,0,0,-4.91642394456649,0,-4.92795254150101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.682823737057393,0,-0.103057530793174,0,0,0,-2.18819457831927,0,0,0,-2.34001628287822,0,0,-3.79006418649574,4.28763742308519,0,4.05302709248354,4.12229122885585
"SRR7008035",-2.94160764728591,5.09501390103234,0,0,0,0,4.3103965699767,-3.18763428529942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5211445380871,-6.04271215114042,0,0,0,0,0,0,-2.29089363674568,-2.23462254322463,-0.265580006980125,0,5.63185952013836,-3.87047978060385,3.96794417357976,0
"SRR7008036",0,0,3.83441314026636,0,0,-2.17379215113728,0,-3.16413500864,0,0,0,0,0,0,0,0,4.0339810021354,0,0,0,0,0,0,0,3.76511845086421,0,-5.48044259697187,-4.82531970835048,0,0,0,0,0,0,-2.45184355536669,-2.25733397963592,0.672683475067589,0,6.37640624647651,-3.90981714238106,4.24671761010542,0
"SRR7008037",-2.36763185594388,4.1008586681134,0,0,4.23887825035296,0,-3.12354711573641,-2.79269203377129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.83708449238474,-5.11553030184437,0,0,0,0,5.41014230429068,0,-2.30400576775047,0,-0.316374804747547,0,3.66413705095521,0,3.99065505067556,3.82130998149031
"SRR7008038",2.72817493452118,4.02691564498887,0,0,4.45231778027642,-2.44365448963698,0,0,0,0,0,0,0,0,0,-2.35102143345702,0,0,0,0,0,0,0,0,4.23253373219504,0,0,0,0,0,0,-4.07208857243098,0,0,-2.55507360703085,-2.98772811313571,0,0,3.34559932047851,5.17489689115295,4.42551730445571,4.23907340027944
