"","351091__84026_392333","310298__33043_39492","28111__1630_239935","40520__28125_218538","84026__392333","44749__45851_349096","589436__907_1297750","1735__626937","328813__47678_410072","1630__239935","28129__820_46506","28125__218538","29466__1559_633701","1515__40518_454154","167__329854","83771__158787","1304__165179_179995","39029__1161942","169435__376804","39485__39778","905__39777","185294__729_28161","33039__39488_228603","40518__454154","328814__817_2173","165179__179995","907__1297750","1680__360807","562__228604","33043__39492","47678__410072","820__46506","1535__357276_397865","45851__349096","1559__633701","387090__69825_387661","78448__46503_204516","39488__228603","729__28161","817__2173","357276__397865","84030__187327_371601","301301__308994","69825__387661","46503__204516","187327__371601","487175__821_853","821__853","40519__1755626"
"SRR5934949",0,0,-3.58986263926399,0,0,0,-2.89450542342898,-4.40896361010146,0,-6.21782448339853,0,0,0,0,4.39120683475306,4.56453297173966,0,0,0,0,0,0,0,0,-4.95792608069451,0,-5.01343045616267,0,0,0,0,0,0,0,0,0,0,0,0,-0.513257044208629,0,0,0,0,0,0,0,0,0
"SRR5934950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.57746215148888,0,0,0,0,0,0,-2.47247314735397,0,-2.5387120934952,0,0,4.77352696535368,0,0,0,0,0,0,0,0,2.32739868849177,4.2824491115668,0,4.39717833172323,0,-2.65671668471362,0,0,3.98925756869126,4.60156827923994,-3.01339310344991,5.2193499583529,-5.50183505345254
"SRR5934951",0,0,5.39930786309088,0,0,0,0,0,0,0,-2.29665769291251,0,0,-3.30471455527444,0,0,0,0,0,-3.64019476926605,0,-2.5415187402428,0,-5.72393351424771,0,0,0,-3.57207299105779,0,0,0,3.97792781171838,0,0,0,0,-2.58941896915689,0,4.40203958648898,0,0,0,0,0,-4.48500521666237,0,-2.12983267857452,-3.68897841091158,0
"SRR5934952",5.47158044142224,0,0,0,0,0,0,0,0,0,-3.07305183609135,0,0,-5.87008526752609,0,0,0,0,4.24541825764206,0,0,0,0,-1.50507602971937,0,0,0,0,0,0,0,5.32268191440304,-2.9981872206291,0,0,0,0,0,0,0,5.19301259673332,0,0,0,0,0,-2.3760560173696,-4.11544974371391,0
"SRR5934953",0,0,0,0,0,0,0,0,0,0,-5.60849647909402,0,0,0,-4.41426322541733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420521376211033,-2.35419369281527,0,0,0,-2.35273621032405,0,0,0,-4.07758308681425,0,4.63639081768877,0,4.07505865308831,0,-2.72873390079009,4.72630575650404,-5.3091301734527
"SRR5934954",3.89596548325422,0,0,-2.41282075165049,0,4.57613613744069,0,0,0,0,0,-4.17912813141518,0,0,0,0,-3.6430589829158,0,4.60538673813973,0,0,0,-2.19813125324374,0,0,6.30996325338037,0,0,-3.55650507613246,0,0,0,0,0,0,0,0,-3.80727501232321,0,0,0,0,-4.68104310092944,0,0,0,-2.33355822878566,-4.0418414146772,0
"SRR5934955",-2.58487429890836,-2.11574264098565,0,0,4.47713361688826,0,-2.89933316304711,0,0,0,0,0,-2.27312282173831,0,0,0,-6.50479354189771,0,0,0,0,0,0,0,0,1.59978387193672,5.02179234646697,0,4.04399084555938,3.66457374992711,0,0,0,0,-3.93716421909509,-2.03184098306718,0,0,0,0,0,0,0,3.51925181557306,0,0,0,0,-3.97958432759914
"SRR5934956",3.1202105381204,-2.06738545710977,-3.3637165633045,0,4.38546875174649,0,0,0,0,-5.82612798990437,0,0,0,-2.15033889594423,0,0,-3.35958979454237,0,4.5793857370935,0,0,0,0,-3.72449622126698,-2.76471770975078,5.81898021673727,0,0,0,-3.58081665054314,0,0,0,0,0,0,0,0,0,-4.78863154187381,0,0,0,0,0,0,0,0,0
"SRR5934957",-1.61481889350343,0,0,0,2.7969483685701,0,0,0,0,0,0,0,0,0,0,0,-3.87591488725781,0,0,0,0,-2.10490263708991,0,0,0,6.71328151054312,0,0,0,0,0,0,0,0,0,0,0,0,3.64579831242545,0,0,-1.49337445322893,0,0,0,-2.58660042771789,-1.67260254284319,-2.89703258507331,2.43849341900284
"SRR5934958",0,4.87299322594373,0,-2.33516808343495,0,0,0,0,0,0,0,-4.04462976472256,0,-2.81370920117964,0,0,-3.47067845405776,0,0,-4.31854803180721,-4.00876034401849,-2.75299180934228,0,-4.87348729416717,0,6.01139141916264,0,0,0,0,0,0,0,0,0,-2.44160086110383,0,0,4.7683216866018,0,0,0,-4.31128627776228,-4.22897674323576,0,0,0,0,0
"SRR5934959",-2.60420900708538,5.13509558674164,0,0,4.51062231380038,0,0,0,0,0,-2.98219501606864,0,0,-2.6484042053039,0,0,0,0,0,0,0,0,0,-4.58717064256543,0,0,0,0,0,0,0,5.16531328590957,0,0,0,0,-5.44084885973415,0,0,0,0,-2.85308187880761,0,0,0.0907266053459295,4.94168277224886,-3.11289347481295,5.39168965692566,-5.0280676574313
"SRR5934960",0,0,0,0,0,-2.41018786913542,0,0,0,0,0,0,0,0,0,0,-3.86551594702053,0,0,3.57613314470053,0,-4.47217898484375,0,0,0,6.69527001770729,0,0,0,0,0,0,-1.69988666216643,-4.17456784512872,0,0,0,0,0.110978473698671,0,-2.94429006598092,0,2.90340462982634,0,0,0,0,0,-2.86224454212645
"SRR5934961",0,0,0,0,0,0,0,0,0,0,0,0,3.81042168684634,-2.15230368269426,0,0,-3.78046610010081,0,0,0,0,-1.71452551510621,0,3.72789933174406,0,6.54795936166637,0,0,0,0,0,0,0,0,0,0,-1.9256033582664,0,2.96964530303715,0,0,0,-0.183963970543226,0,-3.33524285174266,0,-1.66743274592977,-2.88807823415445,0
"SRR5934962",0,0,0,0,0,0,0,0,0,0,-2.92630952381126,0,-2.96957024504786,-6.10325208149678,0,0,0,0,-4.78873493417256,0,0,0,0,0.0586584339619581,-2.5485626272468,0,0,0,0,0,0,5.06851677391379,0,0,-5.14344654106765,0,0,0,0,4.41423995666268,0,0,0,0,0,0,-2.94758491465939,5.10536683181363,-4.84353658110488
"SRR5934963",0,0,-2.75188962986502,-2.67242060186621,0,0,0,-4.03565722408992,0,-4.76641265574812,-2.67465701774853,-4.62876826162607,0,0,0,0,-3.36633656310719,0,0,0,0,0,0,0,0,5.83066596267845,0,0,0,0,0,4.63264184756111,-2.5020003293261,0,0,0,0,0,0,0,-4.33359169094687,-2.33514336446,0,0,0,-4.04458695020205,0,0,0
"SRR5934964",2.70195807105011,0,0,-2.06811117563879,4.31263080607081,0,0,0,0,0,-2.04477583815355,-3.58207363190738,0,-2.25230722243126,0,0,-3.64650279388297,0,3.65657133566544,0,0,0,-2.71476342173029,-3.90111054350527,0,6.31592810894716,0,0,0,0,0,3.54165564177119,0,0,0,0,0,-4.7021081769664,0,0,0,0,0,0,0,0,-2.54318905804738,-4.40493266179129,0
"SRR5934965",4.92571823771135,0,6.24766650686183,0,0,0,0,0,2.44578722012267,0,0,0,0,-3.23190949884446,0,0,0,0,0,0,0,0,0,-5.59783145746307,0,0,0,0,0,0,4.40809140347238,0,0,0,0,0,0,0,0,0,0,-2.87783838743916,0,0,0,4.98456230301671,-2.65851190893578,4.6046776988037,-4.6297156438398
"SRR5934966",0,0,3.0896314834986,0,0,0,0,0,0,-4.20442473536985,0,0,0,-2.68407935840165,0,0,0,0,0,0,0,0,0,4.64896182029854,1.28521577217606,0,0,0,0,0,0,0,0,0,0,-2.35437059982088,0,0,0,5.96733156340302,0,0,0,4.07788949873618,0,0,-2.74563635052535,4.7555816582179,0
"SRR5934967",2.22400902408235,0,0,0,-4.9166712424678,0,0,-3.64920790170253,0,0,-2.14074880701118,0,-1.98417840589963,-2.61373196193647,0,0,-3.65736582808759,-3.88425475716618,0,0,0,0,0,4.52711655544065,0,6.33474343611393,0,0,0,0,0,3.70788569998583,0,0,3.43669781029919,0,0,0,0,0,0,0,0,0,0,0,-2.32604474384678,-4.02882767702115,0
"SRR5934968",5.52480616022715,0,0,0,0,4.59005379535691,-2.80238624665403,0,0,0,0,0,0,-2.26341164123349,0,0,-3.57654301810917,0,0,0,0,0,0,3.92034396105926,0,6.19475422282082,4.85387536163702,0,0,0,0,0,-2.40479593149521,0,0,0,0,0,0,0,-4.16522873518463,0,0,0,0,0,-2.44883247479295,4.24150226556602,-4.73982494700345
