"","562__1351","33039__357276_1118061","166486__301301_457412","46506__821_328813","626929__338188_454155","246787__626933","45851__40214_40324","357276__1118061","1282__329_1354","410072__39486_363265","1735__39492_310298","584__287_582","821__328813","33038__1689_216816","33043__147802","818__204516","100886__165179_626940","387090__665951","39492__310298","54291__158836","338188__454155","411489__28117_46503","329__1354","1260__74426","674529__296_820","40520__46228_88431","39485__28031_43765","287__582","301301__457412","47678__197_624","1689__216816","39486__363265","1318__571_40545","328812__28111_384638","626930__817_239935","165179__626940","1304__1680_1747","310297__329854","552398__823_1283","296__820","46228__88431","28117__46503","571__40545","1286__550_28116","28111__384638","1680__1747","817__239935","28130__39491_371601","29361__853_487174","28125__37734_360807","28126__546_218538","550__28116","116085__40518_376804","823__1283","39491__371601","214856__626932","853__487174","37734__360807","546__218538","40518__376804","28031__43765","569__147207_469613","197__624","40214__40324","1358__1363","147207__469613","1352__1353"
"ERR2239212",6.4351531135485,0,0,-2.6949923077446,0,0,0,0,0,0,0,0,4.66786360302095,0,0,3.67381128140101,0,0,0,0,0,0,0,0,-2.61678327189512,0,0,0,0,0,0,0,0,0,-2.3436499729019,0,-2.63828537239176,0,-2.07349115191196,-4.53240157931867,0,0,0,0,0,4.5696443098483,-4.05932082822351,-2.64228796778711,0,0,0,0,0,3.59139202415604,4.57657700843519,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239217",0,-3.67780006188401,0,0,0,0,0,6.37013656726307,0,0,-3.32369924024845,0,0,0,0,0,0,0,5.7568159531884,0,0,0,0,0,-3.18450516936215,0,0,0,0,0,0,0,0,0,-1.69137588524883,0,0,0,0,-5.51572475030098,0,0,0,0,0,0,-2.92954896794776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239222",6.09611572318339,-2.33110842642227,0,0,0,4.26994276066221,0,-4.03759823251531,0,0,-3.12997967241832,0,0,0,0,0,0,0,5.42128381928632,0,0,-2.32640470594656,0,0,-2.45725154058806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25608451527542,0,4.02945114966678,0,0,0,0,0,0,0,-2.21840334501118,0,0,0,0,0,0,0,-3.84238730524011,0,0,0,0,0,0,0,0,0
"ERR2239227",0,0,0,-2.7696357395764,0,0,4.97298937962002,0,0,0,-2.85531017297304,0,4.79714981940492,0,0,0,0,0,4.94554229095758,0,0,-2.7377941681129,0,0,-2.82022647222929,0,4.95055762313131,0,0,0,0,0,0,0,0,0,0,0,0,-4.88477553875186,0,4.74199859983732,0,-3.25727136007937,0,0,0,-3.12090757724545,-3.27362372555764,0,0,-5.64175948969646,0,0,5.40557048951581,0,5.67008261752875,0,0,0,0,0,0,0,0,0,0
"ERR2239230",0,0,0,-2.66689165443213,0,0,0,0,0,0,0,0,4.61919184375786,0,0,4.66752215584735,0,0,0,0,0,-4.94695626395162,0,0,-2.78566961210846,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04280058975918,-4.82492130127253,0,0.317968773125194,0,0,0,0,0,-3.05397259936951,-3.41181951052505,0,0,0,0,-5.27028521876344,5.28963570703119,0,5.90944473848417,0,0,0,0,0,0,0,0,0,0
"ERR2239231",0,-2.8141355367159,0,0,0,0,0,4.87422572897706,0,0,5.19620199600918,0,0,-2.34145514414961,0,0,0,0,0,0,0,0,0,0,-2.93605538376872,-2.38396668293543,0,0,0,0,-4.05551927331063,0,0,0,0,0,0,0,-4.73277888601677,-5.08539709852356,-4.12915141839562,0,0,0,0,0,0,0,-3.42216998058988,0,0,0,-2.67783310686471,0.0628507453587927,0,0,5.92737227851867,0,0,4.6381429952797,0,0,0,0,0,0,0
"ERR2239235",0,0,0,-2.41273050462176,0,0,0,0,0,0,0,0,4.17897181897619,0,0,0,-3.60123206309599,0,0,0,0,-2.86835953299364,0,-4.33156118354023,-2.53393276093215,0,0,0,0,0,0,0,0,0,0,6.23751690312835,0,0,0,-4.38890028489777,0,4.96814444551952,0,0,0,0,0,0,-5.44980305942008,3.03754450800892,0,0,0,0,0,0,0.524372380124683,-4.06528836183844,0,0,0,0,0,0,0,0,0
"ERR2239236",0,0,0,-3.41682666973159,0,0,0,0,0,0,0,0,5.91811739263148,0,0,4.67497129809404,0,0,0,0,0,-2.99573711987353,0,0,-3.18782650192016,0,0,0,0,5.28508251634976,0,0,0,0,-3.00583652431949,0,0,0,0,-5.52147746704028,0,5.18876889774101,0,-2.48602948845227,0,0,-5.2062615793676,0,-2.46793524929752,-2.52611004014176,0,-4.30592938311379,0,0,0,0,4.27458924157346,-4.37535093503538,0,0,0,0,0,0,0,0,0
"ERR2239237",0,0,5.24713668703301,-3.51417229861079,0,0,0,0,0,0,-3.25424919706284,0,6.08672496774499,0,0,0,0,0,-5.63652494980306,0,0,-2.84424676810706,0,0,-2.62442419643239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.54563604883403,0,-4.92637991162501,0,-2.86697731309265,0,0,0,-5.13525522222547,0,0,-2.57724615985824,-4.96575037042378,0,0,-0.2361306183708,0,0,0,-4.46392129248625,0,0,0,0,0,0,0,0
"ERR2239245",-4.37847515772972,0,0,-2.70439707132411,0,0,0,0,0,0,0,0,4.68415313137384,0,0,0,0.273401339724257,0,0,0,0,-2.52637963144713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038985889732517,0,0,0,0,0,-4.37581788087357,0,0,0,0,0,0,-3.17494785467417,-2.68984511816975,0,0,0,0,0,0,5.49917099567747,-4.65894840916112,0,0,0,0,0,0,0,0,0
