"","1735__853_291645","817__322095_357276","853__291645","53345__40214_40324","322095__357276","33043__147802","1304__218538_310298","1283__1352_1354","40519__296_487174","310297__1353_552398","54291__158836","1260__74426","218538__310298","28111__28117_40518","154046__39492_40545","47678__571_573","216816__1689_33038","457412__751585","296__487174","1078764__823_33039","626940__147207_387661","1286__550_328814","28126__821_1118061","1363__287_1351","39492__40545","28117__40518","1623__45851_46506","550__328814","821__1118061","454155__562_818","40520__39485_329854","338188__328813_360807","287__1351","823__33039","45851__46506","562__818","39486__165179_246787","626929__820_46503","39485__329854","328813__360807","1680__239935","301301__28116_39491","166486__204516","328812__626930","1352__1354","501496__626933","1353__552398","165179__246787","571__573","820__46503","28116__39491","624__303_76759","40214__40324","303__76759","72556__80866","293__310575","1689__33038","147207__387661"
"ERR2239615",0,0,0,0,0,0,0,0,-2.85309054746089,0,0,0,0,2.09937231730888,0,6.64191964167979,0,0,-4.94169778679677,0,0,0,-2.94780855948379,0,0,5.18548102358308,0,0,5.10575419601235,-5.41246109813424,0,0,0,0,0,-1.17400624845259,0,-2.45587529145231,0,0,0,0,0,0,0,0,0,0,0,-4.25370078184843,0,0,0,0,0,0,0,0
"ERR2239623",-3.09259475281035,0,5.35653123908843,0,0,0,-2.75717420630359,0,0,0,0,0,4.77556581063622,-5.50563701798985,0,5.17064798664531,0,0,0,0,0,0,-2.71800322846542,0,0,0.00506111833322694,0,0,4.70771968683835,-3.19485753484073,0,0,0,0,0,5.5336555732884,0,-2.95645639422998,0,0,0,-2.4612678512113,0,0,0,0,0,0,0,5.1207326851682,-4.26304096933384,0,0,0,0,0,0,0
"ERR2239627",0,0,0,0,0,0,0,0,-2.62585797439652,0,0,0,0,-2.86202590977823,0,0,0,0,-4.54811942511468,0,0,0,-2.90334506409221,0,0,4.95717428831443,0,0,5.02874116291203,0,-2.69642321162635,-2.93643683840288,0,0,0,0,0,-0.636235266895581,-4.67034200124489,5.08605779733071,0,-3.02157771049902,0,0,0,0,0,0,0,0.857272449778227,-5.23352611360194,0,0,0,0,0,0,0
"ERR2239629",-2.46977239603509,4.66273519359672,4.2777712730639,0,0,0,0,0,0,0,0,0,0,-2.32592801490027,0,5.80251773167435,0,0,0,0,0,0,-2.73274627203011,0,0,4.0286254965551,0,0,4.73325538735059,-3.3027480117264,0,0,0,0,0,5.72052736090722,0,-2.61216949860541,0,0,-1.79207714256241,0,0,0,0,0,0,0,0,4.5244102895663,0,0,0,0,0,0,0,0
"ERR2239630",-3.02411541633808,-3.22569480848416,5.23792154904986,0,-5.58706729800573,0,0,0,0,0,0,0,0,2.17015869943496,0,4.85883254282007,0,0,0,0,0,0,0,0,0,4.31343240725222,0,0,0,-3.28446970931811,-2.71252812011288,0,0,0,0,5.68886841245995,0,-2.56814660870727,4.69823652099481,0,0,0,0,0,0,0,0,0,0,4.4481604075667,0,0,0,0,0,0,0,0
"ERR2239632",0,-2.49380446761915,0,0,-4.31939604205862,0,0,0,0,0,0,0,0,0,-2.73064853937089,4.98895971605351,0,0,0,0,0,0,-5.38973744671749,0,-4.72962200780413,0,0,0,-0.172536009860256,-3.45406065089816,0,-2.74484626990569,0,0,0,5.98260853978004,0,-2.68547589816141,0,4.75421319844257,-4.3965226785287,0,0,0,0,0,0,0,0,4.65138069811722,0,0,0,0,0,0,0,0
"ERR2239633",-2.55129087298679,0,4.41896541689987,0,0,0,0,0,0,0,0,0,0,-5.00511802521733,0,0,4.82983223300443,0,0,0,0,0,-2.81455255467502,0,0,0.128712022450401,0,0,4.87494802526991,0,0,0,0,0,0,0,0,-3.16795185074982,0,0,4.60945916588325,-3.15797357818703,0,0,0,0,0,0,0,5.48705356143054,-5.46977068638002,0,0,0,0,0,0,0
"ERR2239634",0,-2.85240878948682,0,0,-4.94051694734722,0,0,0,0,0,0,0,0,5.73545323047454,0,0,0,-4.72697098683709,0,0,0,-2.4898187600717,-2.86094150294402,0,0,0,0,-4.31249259408232,4.9552960405815,0,-2.47790885824877,-2.43583914930685,0,0,0,0,0,-3.20112130630951,4.29186403901186,-4.21899716566482,0,-3.48246054525609,0,0,0,0,0,0,0,5.54450474371932,-6.03179859973756,0,0,0,0,0,0,0
"ERR2239635",-2.53828596282502,0,4.39644025175182,0,0,0,0,0,-2.19428603707471,0,0,0,0,-2.25300890916467,-2.73017134231815,6.00104375681033,0,0,-3.80061490255236,-2.18532566081079,0,0,0,0,4.72879547826355,3.90232590057855,0,0,0,-3.52966478061698,0,0,0,3.78509507560833,0,6.11355873371507,-2.08390225615596,0,0,0,0,-2.88233570657813,0,0,0,0,0,-3.60942458566953,0,0,-4.99235188826327,0,0,0,0,0,0,0
"ERR2239636",-2.32131520626908,-2.60861224845306,4.02063587764028,0,-4.51824895156718,0,0,0,-2.16433643457573,0,0,0,0,-2.53528544075183,0,0,0,0,-3.74874066935764,0,0,0,0,0,0,4.39124319507182,-2.14807528894934,0,0,-3.55550999301851,0,0,0,0,3.72057553894346,6.15832395472692,-3.49605016394565,-4.34440332143245,0,0,0,0,0,0,0,0,0,6.05533650976337,0,-0.080105130506637,0,0,0,0,0,0,0,0
