"","308994__310297","454154__28117_633701","84026__46506_437898","228603__187327_239935","28117__633701","328813__46503_301302","387090__410072","856__40520_291645","187327__239935","46506__437898","1535__853_46228","39485__83771","39492__821_351091","28116__204516","853__46228","821__351091","28136__626937","850__36847","246787__158847_357276","1280__28111_47678","40520__291645","544645__818_40518","46503__301302","387661__234908_310298","562__371601","817__165179_360807","158847__357276","818__40518","28111__47678","234908__310298","165179__360807"
"SRR5365445",-1.50644337165536,0,0,0,0,0,0,0,0,0,0,0,0,-0.0458300877424416,0,0,0,0,0,0,0,0,0,0.162998868527781,0,-1.90001165457342,0,0,0,-6.31184468037452,3.29091672069417
"SRR5365446",-4.95186690957728,0,0,0,0,0,0,0,0,0,0,-4.25911026961762,-2.36426717284891,0,0,4.09503086604154,0,0,-5.09914547021212,0,0,0,0,-5.70239870981153,0,-3.41707654593087,-0.230181360378392,0,0,-1.79302459225336,5.91855019090423
"SRR5365447",-5.21359611065185,0,-2.46161067889368,5.86123556700602,0,0,0,0,0,4.26363476429797,0,0,-2.55073442920334,-4.76382577685661,0,4.41800162799539,0,0,0,0,0,0,0,-3.63416795640439,0,0,0,0,0,-6.29456354373117,0
"SRR5365448",0,-2.70045961579414,0,-2.53483361448249,4.67733325834339,5.16818632307155,0,0,-4.39046060901713,0,0,0,-1.00975923439414,0,0,1.38064070074134,0,0,0,0,0,0,0,-2.77070734876956,0,0,0,0,0,-4.79900590097333,0
"SRR5365449",0,2.35533445377071,-2.97450111686758,0,-4.38562445241975,0,0,0,0,5.15198706158501,0,0,-2.68136569846505,-4.38745699456725,0,4.64426162341387,0,0,0,0,0,-2.43865935294519,0,-5.9192071359703,0,0,0,-4.22388190165412,0,-2.0618872092239,0
"SRR5365450",0,-2.91362487295974,3.06312339473573,0,5.04654631416268,0,0,0,0,4.44047745257211,0,0,-5.03454062143111,-3.88183926567951,0,0.255274238611146,0,0,0,0,0,0,0,-2.40951702214337,0,-2.57263550111511,0,0,0,-4.17340590405439,4.4559353972868
"SRR5365451",-5.42031454833569,0,-2.2851765964053,0,0,0,0,2.96827482938106,0,3.95804196924129,0,0,-2.64348175959911,-4.79166331611262,0,4.57864471650723,0,0,0,0,3.84135214597648,0,0,-3.42204467101728,0,-2.14804746463179,0,0,0,-5.92715523597225,3.72052734581176
"SRR5365452",3.36799352545643,1.81353274895978,0,0,3.43232000400268,-3.73066813576388,0,0,0,0,0,0,-2.45226784123874,0,0,4.24745249479274,0,0,0,0,0,0,0.168023479615018,-2.19807058376545,0,0.083564260013368,0,0,0,-3.80716992970434,6.60198247172742
"SRR5365453",0,0,-1.89073049944487,0,0,0,0,0,0,3.27484128845859,-2.40883311128592,0,-2.66701007831755,0,4.17222133570142,4.61939695994424,0,0,0,0,0,0,0,-4.05755998319238,0,-1.84397849346374,0,0,0,-0.199173741574185,3.64482892267457
"SRR5365454",0,-2.29732662721629,-2.38865776188895,0,3.97908643991947,0,0,0,0,4.13727660548542,0,0,-2.72042193218569,0,0,4.71190900457031,0,0,-2.01224646398658,0,0,0,0,-2.15546252927787,0,0.0502989336361643,3.48531311297558,0,0,-3.73337061452019,6.58247215198989
"SRR5365455",0,-2.68832818827715,0,0,4.65632100951562,0,0,0,0,0,0,0,-2.76003136260317,4.10190129878578,0,4.78051455051225,0,0,-3.42658501920952,0,0,-0.874745950352673,0,0,-4.01504168691073,0,-5.93501934972527,-0.485192513566549,0,0,0
