"","46506__1118061","39485__296_204516","626933__550_53345","1352__28116_39492","310298__40518_46503","46228__246787_357276","1747__329_29361","457412__301301_338188","296__204516","571__573_37734","329854__820_28117","818__310297","1363__1353_1358","147802__33043_40324","28116__39492","823__1735","371601__28111_411489","40519__751585","246787__357276","584__817_626940","1282__29382","40518__46503","287__1582","1286__1283_216816","550__53345","1353__1358","1260__74426_754333","214856__328813_360807","301301__338188","582__88431","573__37734","28126__154046_384638","665951__546_40545","329__29361","820__28117","39486__218538_328814","33043__40324","454155__208479_658659","40215__303_501496","665950__33038_39488","817__626940","158836__169292","1689__1070699","40520__658086","100884__54291_665956","101564__300_363265","28123__548_386414","208479__658659","28090__410072","2173__45851_239935","28111__411489","54291__665956","548__386414","291645__552398","72556__293_147207","328813__360807","624__47678_166486","328812__626930","1283__216816","285__729","74426__754333","546__40545","300__363265","154046__384638","1623__33039_39491","1354__80866","218538__328814","43765__387661","1318__658081","303__501496","47678__166486","45851__239935","28125__40214_165179","33038__39488","33039__39491","293__147207","1681__853_487174","40214__165179","853__487174"
"ERR2239172",0,0,0,0,0,0,0,0,0,0,-5.16511182841028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78224923123488,0,-0.372509113985774,-2.64822274510443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81899702781826,0,0,-2.39435010850817,0,4.5868563442804,0,0,0,0,0,-3.05486906087592,0,-4.14713603904421,0,-2.64799784944762,-5.29118842390732,4.58646681357641
"ERR2239189",0,-2.92938664299254,0,-2.54132197667802,0,4.72903381315271,0,0,-5.07384650067671,0,-6.31695419963604,0,0,0,4.40169878199769,0,0,0,0,0,0,0,0,0,0,0,0,-2.33184903266209,0,0,0,0,0,0,1.04350687903109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03888100015107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.57854009715649,0,1.55821239721352
"ERR2239204",4.16301090514522,6.34082929041934,0,0,-2.44933731492583,-5.64787154637169,0,0,0,0,-5.36420773494887,0,0,0,0,0,0,0,-1.09910804719408,0,0,4.24237667432586,0,0,0,0,0,0,0,0,0,0,0,0,-0.539535355433125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.9386060042454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15253409414429,0,0,0,0,0,0,0
"ERR2239211",0,0,0,0,5.47378207783443,2.72931876790455,0,0,0,0,-2.73584100392801,0,0,0,0,0,0,0,-4.35971536291365,0,0,0,0,-2.75336543034519,0,0,0,0,0,0,0,0,-2.62344689451091,0,-4.73861562023356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.76896881716162,0,0,-4.54394331225168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239212",0,0,0,0,0,0,0,0,0,0,-2.61677769885133,3.67380162860602,0,0,0,3.59138237136105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53239192652368,0,0,0,0,0,0,0,0,0,0,0,-2.04732287877996,0,0,-2.34364439985811,0,0,3.54606724554507,0,0,0,0,0,0,0,0,0,0,0,-2.64228239474332,0,0,0,0,0,0,-4.05931117542852,0,0,-4.5765673556402,0,0,0,0
"ERR2239217",0,0,0,-3.32369366718655,0,-3.67779448882211,0,0,0,0,-3.18449959630025,0,0,0,-5.75680630036203,0,0,0,-6.3701269144367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51571509747461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69137031218693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92953931512139,0,0,0,0,0,0,0
"ERR2239222",-4.03758857972032,0,0,-3.12997409937453,0,-2.46524702924883,0,0,0,-2.45707486215333,-4.78364510044705,0,0,0,-5.42127416649133,0,0,0,4.26993310786722,0,0,0,0,0,0,0,0,-2.21839777196739,0,0,4.25577849924986,0,0,0,0.226633365608644,-2.36251074010535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84237765244512,0,0,0,0,0,0,0,0,0,0,-4.09198863528962,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22101817557996,0,0,0,0,0,0,0,0,0,0,-3.05683248318204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32930679403038,0,0,0,0,0,-4.86986062315482,0,0,5.29458917109823,0,0,0,0,0,0,0,0,-5.83587930244647,0,0,0,0,0,0,0,0,0,-0.845808602793277,0,-2.96491037043188,0,5.13537540147588
"ERR2239227",0,4.95054647704374,0,-6.11257038696484,0,0,0,0,0,0,-5.55800949425462,0,0,0,0.696217198738872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142776938914541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48648911676622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12090200420166,0,0,0,0,0,0,4.30672548270616,0,0,-5.40556083672082,0,-3.27361815251385,0,5.67007296473376
"ERR2239230",0,0,0,0,-2.38168288055316,0,0,0,0,0,-5.35092627637556,4.66751250305236,0,0,0,0,0,-5.21127886282911,0,0,0,-4.12519575663507,0,-3.04279501671539,0,0,0,0,0,0,0,0,0,0,0.381747118717277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27027556596845,0,0,0,0,0,-3.05396702632573,0,0,0,0,0,0,0,0,0,-5.2896260542362,0,-3.41181393748127,0,5.90943508568918
