"","46503__166486_357276","166486__357276","1680__820_28116","562__817","820__28116","310298__387090","469588__818_47678","28118__338188_491921","261299__165179_301301","573__40519","818__47678","658089__329854_626940","674529__310297_360807","328813__46506_204516","751585__28117_487174","1735__658082","1624__33043","1226323__823_40518","626930__626935","165179__301301","626932__46228_239935","454154__469592","100886__45851_74426","208479__33038_246787","1604__411489","338188__491921","97478__626929","214856__371601_454155","33039__39488","39492__328812","39496__1118061","550__853_39491","310297__360807","329854__626940","823__40518","218538__291644","46506__204516","46228__239935","33038__246787","487173__821_40545","28117__487174","45851__74426","1304__457412_658081","1257080__1681_28111","371601__454155","1623__850_28026","853__39491","821__40545","1681__28111","457412__658081","850__28026","188913__39485_216816","39485__216816"
"SRR5279227",0,0,0,0,0,0,-2.41592285611264,0,-6.3296983312135,0,-4.184501133954,0,0,0,5.35905752448803,0,0,-2.59587671858845,0,1.49917957880194,0,0,0,0,0,0,0,0,0,0,0,-5.7279155418537,0,0,-4.49619036678037,0,0,0,0,0,0,0,0,-2.21609400583955,0,0,0.116593526237504,0,3.83838741246294,0,0,0,0
"SRR5279228",-3.47754429603028,-6.02328340629579,-3.48102652255924,0,-6.02931479956742,0,-2.82421194263488,0,0,0,4.89167857598641,0,0,-4.98209422935316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46067322542409,0,0,0,4.21328970597864,-1.67837920635291,0,0,0,0,0,0,0,0,0,4.60136726580954,0,0,0,0,-2.34725517792862,4.0655652265015
"SRR5279229",0,0,0,0,0,0,-2.57889598453527,0,-3.48124170202045,0,-4.46677887265045,-2.93355903074349,-2.37025590829658,0,-4.84231366735521,0,0,0,0,6.02968750132698,-2.59701282412338,0,0,0,0,0,0,0,0,0,0,-2.91844161652008,4.10540366010999,-5.08107328825023,0,0,0,4.49815815928963,0,0,-0.0608909080799942,0,0,0,0,0,5.05488915873623,0,0,0,0,-2.42444793830709,-4.1992670094535
"SRR5279230",-2.65454552097166,-4.59780771332731,-3.23633498624954,4.31336095230369,5.60549662649694,0,0,0,0,0,0,-2.89226602868991,0,2.99694627065849,0,0,0,2.68219451802027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00955171069639,-4.74632686808106,0,4.63848130825619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62868259127731,-4.55301180506411
"SRR5279231",5.03924370089826,0,0,0,0,0,-2.4528469289214,0,0,0,-4.24845550408116,0,-3.04122745352897,-5.99003119470905,0,0,0,-5.24614306158475,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.19413124137703,5.2675604668855,0,-0.542432476248748,0,-0.142558925056189,0,0,-3.00090375040057,0,0,0,0,0,0,5.53239759610807,5.19771776431779,0,0,0,0,0
"SRR5279232",0,0,0,0,0,0,0,0,0,0,0,0,-2.42423767044499,-6.18702439927445,0,0,0,-2.24812980463957,0,0,-2.56553030655419,0,0,0,0,0,0,0,0,0,0,-6.16988026783086,-4.19890281483315,0,-3.89387504364562,0,0.433116405923664,4.44362883930962,0,0,0,0,0,0,0,-2.66248384547851,1.03525204219391,0,0,0,-4.61155729470014,-2.46657136322325,4.27222692159709
"SRR5279233",-2.90094621395375,5.02458623259248,0,4.36072150206746,0,5.94267292645885,-2.16471225274456,0,0,0,-3.74939160552046,0,-3.47416371674857,0,0,0,0,0,0,0,0,0,0,-2.32046645474596,0,0,0,0,0,0,0,-2.86666277921176,6.01742807122086,0,0,0,0,0,4.01916579687923,-2.63666160036002,0,0,0,0,0,-2.38848576719725,4.96520558176137,4.56683185418942,0,0,-4.13697870194077,0,0
"SRR5279234",0,0,-3.20149574430794,4.01623044782727,5.54515328935689,0,0,0,0,0,0,-2.31970341555534,-3.41731270265897,-2.81426880272632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88549469972009,5.91895922635585,-4.01784417423291,0,0,4.87445655247803,0,0,0,0,0,0,0,0,0,4.99782342488589,0,0,0,0,-2.97356301774208,-5.15036222623713
"SRR5279235",0,0,0,0,0,0,0,0,-3.79047426586333,0,0,0,0,0,0,0,0,0,0,6.56529401325763,0,0,-1.88123230148635,0,0,0,0,0,0,0,0,-2.81087396120372,0,0,0,0,0,0,0,-2.54768090368769,0,-3.25838992701408,0,-2.40674086060447,0,2.43322764150621,4.86857651447724,-4.41271276666007,4.16859745121899,0,-3.27752233110639,-2.02851346610766,-3.51348838713612
"SRR5279236",-3.61289768431733,-6.25772235178555,-6.04480855340976,-4.74005657173941,-0.587042868548466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.00444840568761,0,0,0,-2.31043612945521,0,0,0,-2.94817466994082,0,0,0,0,0,0,3.47180647980137,0,0,0,-2.157168834309,0,4.00179276385922,0,5.1063883179251,0,0,3.73632602152732,0,-2.68048732574588,4.64274023723629
"SRR5279237",5.00153865669948,0,0,0,0,0,0,0,-2.83114695136366,0,0,-2.63654642711736,-2.61534504469655,0,0,0,0,0,0,4.9036903634556,0,0,0,0,0,0,0,0,0,0,0,-5.6326120620672,4.52991049673791,-4.56663236828146,0,0,0,0,0,-5.25966342473758,0,0,0,0,0,0,1.43179926344864,-0.260440579076162,0,0,0,0,0
"SRR5279238",0,0,0,0,0,0,0,0,-3.70318565741217,0,0,0,-4.30623780019346,0,0,0,0,-2.18209053042589,0,6.41410570849822,0,0,0,0,0,0,0,0,0,0,0,-2.7793558639532,-0.124059621026884,0,-3.77949166541256,0,0,0,0,2.90605901436574,0,0,-1.91398088708713,0,0,0,4.81398556868144,-4.00367416850649,0,3.31511214115067,0,0,0
"SRR5279239",0,0,0,5.13646240687211,0,0,0,0,0,0,0,0,0,0,0,0,4.16335952134885,0,0,0,0,0,0,0,5.3929316902245,0,5.28488231598274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15601471466986,0,0,-3.27874198095794,0,0,0,0,-5.67894769592818,-3.14316957777306,-5.44412940550776
"SRR5279240",-2.6000536287835,-4.50342498745686,0,0,0,-0.772457203451151,0,0,-3.43495327562287,0,0,0,-2.73517099311489,0,-4.98870448647348,0,0,-2.71147413501345,0,5.94951359500396,0,0,0,0,0,0,0,0,0,0,0,-3.20140690938483,4.73745512746361,0,-4.69641096525216,0,0,0,0,0,1.03604531307492,0,0,0,0,0,5.54499942275658,0,0,0,0,0,0
"SRR5279241",0,0,0,0,0,6.05976033466835,0,0,0,0,0,0,0,2.11984272132855,-2.77040194859169,0,0,0,0,0,-4.92783393495754,0,0,0,0,0,0,0,0,0,0,-5.45093697683525,0,0,0,0,-4.50530396968954,-0.613338023081491,0,0,4.79847693234863,0,0,-2.85132782248829,0,0,1.74006487564214,0,-4.93864465758444,0,0,0,0
"SRR5279242",0,0,-5.78022053121906,0,0.815439446603118,0,-2.67630022734091,0,0,0,-4.63548797006259,0,-3.01635628167319,0,-5.69711724170164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.80986913444441,-2.58873949197353,5.2244823335875,0,0,0,0,0,0,-3.04523043666611,0.742380070831669,0,0,0,0,0,4.4838283276582,5.27449383706086,0,0,0,0,0
"SRR5279243",0,0,0,0,0,0,-2.51658473297302,0,-2.62294154614419,0,-4.35885261906143,-2.6498592877804,-2.62302500440413,-2.60259719325984,-5.97263998291142,0,0,-2.66812677926821,0,4.54306802320501,0,0,0,0,0,0,0,0,0,0,0,-3.08532367063982,4.54321257715153,-4.58969091934394,-4.62133114272766,0,-4.5078305703622,0,0,0,-0.0640895925097876,0,0,0,0,0,5.34393735534307,0,0,0,0,0,0
"SRR5279244",4.72700681409582,0,0,0,0,0,-2.42902536420907,0,-3.30913147642836,0,-4.2071953436836,0,-2.2888298883222,-2.80743640141736,-2.99914968370853,0,0,0,0,5.73158384609933,0,0,0,0,0,0,0,0,0,-0.118891159291169,0,-3.30395239456441,-3.96436965645625,0,0,0,-4.8626224862732,0,0,0,5.1946796316873,0,0,0,0,0,5.72261341317441,0,0,0,0,0,0
"SRR5279245",-2.99406578659997,-5.18587406359482,-6.40677317150136,0,-0.561431985401394,0,-2.99811148194544,0,0,0,5.19288141348512,0,0,-2.49781359563851,-2.44371628513754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03859566549471,0,0,0,0,-4.3263400554822,0,0,-2.44147280469841,4.23264076514169,0,0,0,0,-2.42756274772399,5.2630020762954,4.22875494303533,0,0,-4.20466201761946,0,0
"SRR5279246",2.57045042150495,4.02025603315383,0,-4.00336788242612,0,0,0,0,-3.48980467345262,0,0,0,-2.66504980814941,-2.52283430231366,-2.3955233919479,0,0,0,0,6.04451900291125,0,0,0,0,0,0,0,0,0,0,0,-3.26212530681066,-4.61600167241647,0,0,0,4.36967719068484,0,0,-3.09167250165431,4.14916822557349,0,0,0,0,0,5.65016677205227,5.35493385322885,0,0,0,0,0
"SRR5279247",1.81966013731229,-5.5622321068833,0,-4.10148046799949,0,0,-2.39169435426949,0,0,0,4.1425361377704,0,0,4.69206300120968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4964367577644,0,0,0,0,0,0,0,-2.94813520273764,0,0,0,-2.92805043856323,0,0,6.05600610989933,-5.10631995872396,-5.07153212671585,0,0,-2.40254655146257,-4.16133269468257
"SRR5279248",0,0,-2.69403290051436,5.50811355985997,4.66620186095302,0,-2.37973399185391,0,-3.48374090073989,4.76310162422556,-4.12182018238967,0,-5.62319373900733,0,-2.45172134874323,0,0,0,0,6.03401624048726,0,0,0,0,0,0,0,0,0,0,0,-2.75203613337793,0.650192996975697,0,0,0,0,0,0,0,-4.24650594202456,0,0,0,0,0,4.76666640727597,0,0,0,0,0,0
"SRR5279249",0,0,0,0,0,-0.351070340172718,0,0,-3.63225341198641,0,0,0,-5.137909250375,0,2.32552308325579,0,0,0,0,6.29124745552588,0,0,0,0,0,0,0,0,0,0,0,-2.83396965154372,0.57873106272991,0,0,0,0,0,0,0,4.09571887550839,0,0,0,0,0,4.90857942358199,0,0,0,0,0,0
"SRR5279250",0,0,-2.21647159884386,0,3.83904142273098,0,0,0,0,0,0,0,-5.68111144454117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.50144141995367,0.608237508011327,0,0,0,0,0,0,0,0,0,0,0,0,2.54931795755668,0.830883344294377,0,0,0,-4.17129291359375,-2.85722363247903,-4.94885650004019
"SRR5279251",-2.41185473496981,-4.17745494144328,5.30400505583027,0,0,0,0,-2.2984348857959,0,0,0,0,-2.48502057386775,-6.48639366026519,-2.82064707624293,0,0,0,0,0,0,0,0,0,0,3.98100600008727,0,0,4.17536438858395,0,0,-2.97501110358981,-4.30418189179291,0,0,0,1.03549811592681,0,0,0,4.88550404627335,0,0,0,0,0,5.15287038449911,0,0,0,0,0,0
"SRR5279252",0,0,0,-3.28703326439081,0,0,0,0,-3.75545363338933,0,0,-2.77901500938948,-4.84170002596342,-5.26066043432861,0,0,0,0,0,6.50463649849947,0,0,0,0,0,0,0,0,0,0,0,-2.87555376795166,0.302095958849242,-4.81339519125908,0,0,-0.708320294539149,0,0,0,0,0,0,0,0,0,4.9806052259884,0,0,0,0,0,0
"SRR5279253",-2.49524427769621,-4.32188986626535,0,0,0,5.56549511896249,0,0,0,0,0,0,-3.16176702051465,-5.35646962571366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.02748808368869,5.47634112122704,0,0,0,0.161731189069095,0,0,0,0,0,0,0,0,0,1.04157762189958,0,0,0,0,-2.3483874626524,4.06752640117171
"SRR5279254",0,0,0,0,0,-0.729847109202075,0,0,-3.78656751460401,0,0,0,-2.23855010421028,0,0,0,0,0,0,6.55852732158395,0,0,0,0,0,0,0,0,0,0,0,-2.16744258290528,3.87728251578081,0,0,0,0,0,0,0,0,0,0,-2.24061448645247,0,4.33340517129816,3.75412067608026,0,3.88085813071053,0,0,-2.5530757475448,-4.42205691031948
"SRR5279255",2.47402971966763,-5.20626479034856,-2.81753201719332,0,-4.88010860573087,0,0,0,0,0,0,0,-5.81511750446056,4.93468498347485,-5.70886192575122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99955046892525,1.01118428857005,0,0,0,0,0,0,0,0.193002259656498,0,0,0,0,0,5.19537381204558,0,0,0,0,0,0
"SRR5279256",-4.8797927608826,-0.143538320995816,0,0,0,0,0,0,0,0,0,0,-6.16841404248757,-6.33751000995094,-2.5029888968235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81269035801763,0.418597160719765,0,0,0,-0.0917299183049865,0,0,-2.53987508782417,4.33530394007908,0,0,0,0,0,4.87172260604563,4.39919269698993,0,0,0,0,0
"SRR5279257",-5.90742685303071,-2.05053148315177,0,0,0,0,0,-2.42392786617069,0,0,0,0,0,-3.47267562675953,0,0,0,0,0,0,0,0,0,-2.06664783982045,0,-4.19836621808965,0,0,0,0,0,-2.83555818244115,0,0,0,0,6.01485062375361,0,3.57953905992149,0,0,0,0,0,0,-2.12489537394604,4.91133083980573,0,0,0,-3.68042674844261,-4.58949084448399,0.705024059561147
"SRR5279258",-2.46089014232765,-4.26238675835689,-2.31139356124406,0,4.00345108436227,0,0,-3.06737259476858,0,0,0,0,-3.05642873274551,-3.16642881031549,0,0,0,0,0,0,0,0,0,0,0,5.31284517988356,0,-3.08023830064354,0,0,0,-2.93008075121511,5.29388985482859,0,0,0,5.48441557801631,0,0,-2.78942293924717,0,0,0,0,-5.33512923613423,0,5.07504873138415,4.83142225457421,0,0,0,0,0
"SRR5279259",0,0,-2.85928159130471,0,4.95242098928614,0,3.39885083719916,0,0,0,-4.61940930785422,0,-3.04871055276746,2.57188606207511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42839342677798,5.28052157496463,0,0,0,5.52540085470998,0,0,-2.71574802658546,0,0,0,0,0,0,0.665221297843936,4.70381356260093,0,0,0,0,0
"SRR5279260",-3.39978565418085,-5.88860148788503,-2.35551401709403,0,-4.07986995554753,0,-2.5709675837231,0,0,0,4.453046479621,0,-3.50208466315394,-5.31038383729186,-2.62514744576274,0,0,0,0,0,-2.08971837239234,0,0,0,0,0,0,0,0,0,0,-3.01053685872223,6.06578856899036,0,0,0,0.624017166723607,3.61949839449366,0,0,4.54688875342073,0,0,0,0,0,5.21440279736572,0,0,0,0,0,0
"SRR5279261",0,0,-2.1445849535719,0,-3.71453010073427,-5.30461805567925,0,-2.52044565414467,0,0,0,0,0,-3.53972247411235,-2.58681014916,0,0,0,0,0,0,0,0,0,0,4.36553993069474,0,-2.6576023445926,0,0,0,-3.18970328479209,0,0,0,0,6.130979169856,0,0,-2.75366662595617,-4.48048660787995,0,-2.02621063318361,0,-4.60310228714855,0,5.52472815032924,4.76949050326285,0,3.50949976351033,0,0,0
"SRR5279262",-2.3030403128558,3.98898283374557,0,0,0,4.47183932944164,0,0,-2.88505465003814,0,0,0,0,0,0,0,0,-2.69951713585466,0,4.99706123647891,-2.33859505628692,3.96925256439678,0,0,0,0,0,0,4.11797118720903,0,0,-5.91562902608568,0,0,-4.67570083520309,0,0,4.05056545581834,0,0,0,0,0,0,0,0,2.1256434055269,0,0,0,0,0,0
"SRR5279263",-2.16295093806728,3.74634091901129,0,-5.1602800532914,0,0,0,0,0,0,0,5.29083863045465,0,-3.32756388689639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.20941521321132,0,0,0,0,5.76350971753592,0,0,0,0,0,2.31773604040972,0,0,0,1.01937463776308,0,0,4.14570380093444,0,-2.53961675850622,-4.39874525748616
"SRR5279264",-2.42601573367404,-4.20198251068492,-3.1802434279991,0,5.50834319773146,0,0,-2.99670000380421,0,0,0,0,-3.27772788183641,-3.01908862879948,0,0,0,-2.58902495631417,0,0,0,0,0,0,0,5.19043666163074,0,-2.93994311337126,0,0,0,-2.92794533015425,5.67719122472577,0,-4.48432276639994,0,5.22921489763415,0,0,-2.75100278750359,0,0,0,0,-5.09213084372125,0,5.07135007361119,4.76487659971983,0,0,0,0,0
"SRR5279265",0,0,-5.91621974956182,0,0.657007600467669,0,0,0,0,0,0,0,1.54744842734476,-5.39978010935681,-2.91333094662312,0,0,-2.40838662184067,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82571062013364,5.779075301754,0,-4.17144799329721,0,0.788773335373879,0,0,0,5.04603721881398,0,0,0,0,0,4.89427436155842,0,0,0,0,0,0
