"","46228__216816_310297","40545__28026_28130","328814__820_28116","301301__1118061","384638__28111_328813","53345__316_322095","1680__751585","291644__821_204516","546__818","674529__1318_29382","37734__1351_1352","584__329854_626929","820__28116","571__46503_357276","1282__100886_626932","821__204516","548__562_817","28111__328813","216816__310297","1747__1358_103892","562__817","296__47678_246787","376804__39485_338188","29361__287_582","1735__823_1078764","46503__357276","1304__1582_469613","40520__411489","1351__1352","329854__626929","154046__1354_54291","39486__329_658089","116085__39488_626940","100886__626932","626933__166486_487174","1318__29382","39485__338188","88431__853_40518","293__47770","28025__147802","28125__573_360807","1363__454154","823__1078764","72556__457412","47678__246787","28026__28130","316__322095","291645__387661","310298__39491_46506","303__1623","1286__1681","106649__454155","587__43765","624__469610","1358__103892","287__582","158836__754333","521720__626930","166486__487174","1396__550_45851","569__387090_658081","147207__729_1531","39488__626940","40214__40324","1354__54291","363265__487173","1582__469613","40519__487175","39496__214856","2173__410072","649756__33039_39492","501496__658086","573__360807","853__40518","329__658089","729__1531","328812__165179_239935","39491__46506","550__45851","1689__33038","387090__658081","33039__39492","165179__239935"
"ERR2238721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.933244780536,0,0,0,6.81257979849346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238725",0,0,0,0,0,0,0,0,6.41321840822779,0,0,0,0,0,0,0,-3.31771004902697,0,0,0,5.74644236969654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238738",0,0,0,0,0,0,0,0,0,0,0,0,0,5.60675087362015,0,0,-3.82071059288041,0,0,0,6.61766486788547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64730452506444,0,0,0,0,0,0,0,0,0,4.0431705206635,0,0,0,0,0,0,0,0,-3.06862903255757,0,0,0,0,0,0,0,0,0,0,0,0,4.5852659405186,0,0,0,0,0,5.31502139397064,0,0,0,0
"ERR2238745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91844184922052,0,0,0,6.78694036935408,0,0,0,0,0,0,0,0,0,0,-2.64118059500388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57465898251172,0,0,0,0,0,0,0,0
"ERR2238748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34051741381061,0,0,6.78646968264333,4.05389507671969,0,0,0,0,0,0,0,0,0,0,-2.18580607961008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78592718537759,0,0,0,0,0,0,0,0
"ERR2238749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.00753494544895,0,0,3.16863714374589,3.47715252348759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.742697739670448,0,0,0,1.28639021977578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238756",0,0,0,0,0,0,0,0,3.98750797211932,0,-2.17511989357414,0,0,0,0,0,-3.83760210266711,0,0,0,6.6469218210526,0,0,0,0,0,0,0,3.76741816822422,0,-2.31419635454544,-1.47959357227529,0,0,0,0,0,0,0,0,-2.35071518552253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.00830566476338,0,0,0,0,0,0,0,4.07155813544872,0,2.56273124173314,0,0,0,0,0,0,0,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17194800998423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49397511225968,0,0,0,0,0,0,0,0
"ERR2239107",0,0,-5.02703383258984,5.00851398096833,0,0,0,-3.06931279512416,0,0,0,0,1.42773812386716,0,0,5.31620570547629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15797924995155,0,0,-3.20379165806382,0,0,0,0,0,0,0,0,0,0,-5.71996021110832,0,0,0,0,0,0,0,0,0,5.46978051016433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54912992863188,0,0,0,1.12733086864048,0,0,0,0,0
