"","820__39492","39485__546_357276","818__310297","328814__28117_301301","33039__751585","33043__218538","296__116085_371601","817__28116_239935","1747__204516","1118061__562_821","74426__328813_338188","1282__550_571","546__357276","28117__301301","1283__28111","562__821","28116__239935","376804__363265_487174","1680__246787","40214__147802","28130__47770","1260__100886_487173","29382__626933","40324__46228","291645__545_54291","322095__1078764","291644__384638","214856__387090","328813__338188","1304__1363","1735__40545_329854","39488__40518_46503","1286__469613_626940","550__571","363265__487174","40520__1358_88431","454155__287_387661","166486__39491_46506","154046__853_47678","1270__573_310298","1689__658089","1354__28025","116085__371601","158836__454154","1408__552398","39496__43765","328812__626930","28026__29361","2173__626929","1590__626932","1582__487175","1318__53345","40519__749535","197__410072","103892__501496","76759__303_674529","411489__754333","545__54291","147207__329_1531","40518__46503","261299__33038_216816","100886__487173","40545__329854","1358__88431","569__1351_1352","624__45851_102862","729__1681","853__47678","573__310298","303__674529","469613__626940","582__584_165179","329__1531","287__387661","28125__823_360807","45851__102862","39491__46506","33038__216816","584__165179","1351__1352","823__360807"
"ERR2239235",4.38889017244259,0,0,-2.86835369456492,0,0,0,0,0,-2.41272466619304,5.00164435379913,0,0,4.96813433306434,0,-4.17896170652101,0,-2.57352242387102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.45747159256242,0,0,0,-2.87626895869161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9818439726871,0,0,0,-3.60122622466727,0,0,3.0375386695802,0,0,0,-6.23750679067317,0,-4.06527824938326
"ERR2239236",5.5214673545851,0,4.67496118563886,-2.99573128144481,0,0,0,-5.49185433591432,0,-3.41682083130287,0,0,0,5.18875878528583,0,-5.9181072801763,-0.900332196253814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.11046483061495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302426478682412,0,0,0,0,0,0,-2.52610420171304,0,0,0,0,0,-4.3753408225802
"ERR2239237",4.54562593637885,0,0,0,0,-4.46391118003107,-2.63578681072416,-2.86697147466393,0,-3.51416646018206,0,0,0,0,0,-6.08671485528981,4.9657402579686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84424092967834,0,0,0,0,0,2.7476682755317,0,-3.25424335863412,0,0,-4.56531667409418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.92636979916983,0,0,0,0,0,0,0,0,-5.63651483734788,0,0,0,0,0,0,0,4.32918605572338,0,0,0,0
"ERR2239243",4.59035863397188,2.1177152556132,0,-2.80684713533129,0,0,0,-2.77092898614499,0,0,0,0,-4.83048914177333,4.86160184747295,0,0,4.79938978816843,0,0,0,0,0,0,0,0,0,0,-4.40880237765068,0,0,0,-2.54462866675131,0,0,0,0,0,-3.27006037606152,-3.37637690685544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40742613720953,0,0,0,0,0,0,0,5.84805634817588,0,0,0,0,0,0,0,0,5.66391071515633,0,0,0,0
"ERR2239245",0,0,0,0,0,0,0,0,0,-2.70439123289539,0,0,0,0,0,-4.68414301891866,0,0,0,0,0,-3.0451138243026,0,0,0,0,0,0,0,0,0,-2.52637379301841,-2.89715889747464,0,0,0,0,0,-3.17494201624545,0,0,0,0,0,0,0,0,0,0,0,0,-4.46476642807802,0,0,0,0,0,0,0,-4.37580776841839,0,5.27429185852248,0,0,-2.52790797252662,0,0,5.49916088322228,0,0,-5.01802640802631,-2.91966741140631,0,0,-2.68983927974103,0,0,0,-5.05701229775883,4.37846504527454,-4.65893829670594
"ERR2239246",3.82288221446247,2.44861109946001,0,0,0,0,6.84877105754487,0,0,-2.27950618178294,0,-2.86169261499566,4.1967855422161,0,0,-3.94822052301539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95659700481712,0,0,0,-3.09065861520329,-2.83900503810167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91730096893611,0,0,0,-2.53414838563499,0,0,0,0,5.35317775038257,0,-4.38927375783845,0,0
"ERR2239247",0.92472535779509,-3.0377078558946,0,1.87053047704082,0,0,0,-2.63278326091979,0,5.2149150598269,0,0,-5.26146434496056,4.77014321524135,0,0,4.56011437322995,-2.25063925383482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.89822153715082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39297553287413,0,0,0,0,0,4.14475520420721
"ERR2239250",0,-2.54668644052001,0,4.27774617626279,0,0,0,0,0,-6.35989142273551,0,0,-4.4109903059274,0,0,1.26732538839552,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53994592960546,0,-2.50971623528733,0,0,0,0,0,0,-3.04404846894313,0,0,-3.43403737169587,0,0,0,0,0,0,0,0,0,3.6519673491452,0,0,0,0,0,0,0,4.34695603209814,0,0,0,0,0,0,0,5.27244660891174,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239251",0,0,0,-2.89358516668967,0,-4.59740628100713,0,-1.94581599548102,0,-3.75239301971601,0,0,0,5.01183652473416,0,6.49933536011494,-3.37025216635333,-2.20096772250073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.81218792119042,0,0,0,-2.52445387243824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37248236842703,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239253",5.78630266234867,0,0,-2.78475608443174,0,0,0,0,-5.03585688454984,1.97137381670242,0,0,0,4.82333902492234,-5.58018237429389,-4.94247117683396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.29469280962812,-2.65489072971939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5984056324176,0,0,0,0,0,0,0,0,0.485778375971689,0,0,0,0
"ERR2239261",5.87273656705633,0,0,5.10195271996892,0,0,0,0,0,-5.61454287680687,-3.06020118270535,0,0,0,0,-0.174676518207634,0,-2.61251441016158,4.58471163645593,0,0,0,0,0,0,0,0,0,5.30042392982804,0,0,0,0,0,-4.5250076939057,0,0,0,-5.14456888189538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201631801738462,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239268",-4.28673132091505,0,0,-2.65436423778193,0,0,0,0,0,-6.10604105960205,-2.35599392852953,0,0,4.59749372163214,0,1.51117967582275,0,3.39397172333905,0,0,0,0,0,0,0,0,0,0,4.08070118653695,0,0,0,0,0,-4.12615922780637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40017440097821,0,0,0,0,0,0,0,0,0,0,0,-2.90703380808097,0,0,0,0,0,0,0,0,0,5.03513025491667,0,0,0,0,0
"ERR2239270",4.69261380290834,0,0,0,0,-3.96380568789892,5.59663137074287,-2.16819437013366,0,-3.40502598598081,0,0,0,0,0,5.89767800881107,-3.75542280975631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11619697613095,0,0,0,0,0,0,-2.23670743303387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66536068148243,-2.23180989807749,0,0,0,0,-3.09554290373139,0,3.87409091568162,0,0,0,0,0,0,0,5.36163758627206,0,-3.86560813630533,0,0,0
"ERR2239271",5.32808025440375,-5.11324071100593,0,0,0,0,0,0,0,-5.717666285718,0,0,-0.243297325822338,0,0,2.04622595775638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49033660084473,-2.85845094821273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43065696718482,0,4.95098227324788,0,0,0,-2.83363612348763,0,0,0,4.21002136293539,4.31338952061144,0,-4.90800173604309,0,0
