"","397865__40519_40520","820__28117_45851","28116__818_84030","853__47246","817__187327","46503__1515_328813","39485__29466_166486","39488__1335_84032","46506__261299","1496__28118","36847__1735_291645","823__1624","214856__1465754","28111__1264_84026","1596__310297","28117__45851","1195760__1308_28129","39492__197614","40518__357276_1755626","165179__371601","29348__39491_246787","1630__321327","33043__437898","1584__487175","33031__33959","228603__1124188","341225__454154","35785__52226","1605__264027","40519__40520","301302__309120","1515__328813","218538__650643","840__472113","88431__204516_328814","633701__1297750","357276__1755626","1559__308994_626937","1264__84026","29466__166486","1335__84032","1735__291645","1308__28129","818__84030","28135__180311_310298","204516__328814","1307__821_1304","39491__246787","308994__626937","180311__310298","821__1304"
"SRR5711550",0,0,0,4.95030021347565,0,0,0,0,0,0,0,0,0,0,-3.59024811753775,0,4.17445193223779,0,0,5.74568648630625,0,-3.62350804046304,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0509712542579,0,-2.8986894961928,0,0,0,0,0,0,-2.26713730291758,0,0,0,5.02067748277215,-3.92679699638791,0
"SRR5711551",0,5.20400105940757,0,0,0,0,0,0,0.216558341157469,0,-2.57329684161675,0,0,4.85194826115892,0,0,0,0,-2.83747402100421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47421640012768,0,-4.91464916953605,0,0,0,0,4.45708087263673,0,0,-3.03241086503176,4.28546851394132,-2.99782193050734,0,0,-5.25228968765889,5.19237989568294
"SRR5711552",0,2.10486103832794,0,-0.209999920412231,-4.17199258098258,0,0,0,0,0,0,0,0,0,0,4.17272223103497,0,3.76218796402827,0,5.75891806434689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32392373617499,0,0,0,0,-5.61582078236291,0
"SRR5711553",0,0,0,0.617582964208779,0,-2.29872618589652,0,0,0,0,0,0,0,-4.53260268340725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310601188309846,3.98151054666179,0,0,-2.25917855387579,-4.12514417069213,0,0,-0.115448014690985,0,0,0,0,0,0,-3.91301203868285,0,0,0,0,0
"SRR5711554",5.66743993842848,3.39772752096823,0,4.49097292188503,0,-2.35737831922661,0,0,0,0,0,0,0,0,0,4.48711358918132,0,0,-3.11828684298629,0,0,0,0,0,0,0,0,0,0,0,0,-4.08309902156182,4.10886080445705,0,-2.7438086534653,-4.14120105445935,5.40103124462581,0,0,0,0,0,0,0,0,-4.75241599404904,0,0,0,0,0
"SRR5711555",0,2.08010444065028,0,4.36863158461935,5.4730222537509,0,0,4.35293718590159,0,0,0,0,0,-2.43324242103264,0,4.55441663631763,0,0,-2.8009884563279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.13449992810351,-5.53129217379816,4.85145431777384,0,-4.21449950036044,0,0,0,0,0,0,-3.69706232422739,0,0,0,0,0
"SRR5711556",-4.13243251897421,5.75953788361243,0,5.56974364405758,0,0,0,4.22048908345322,0,0,0,0,0,0,0,0,0,0,-2.0382441809894,0,-2.38062610806066,0,0,0,0,0,0,0,0,0.037812961688369,0,0,0,0,-2.48762514576576,-4.74292071106722,3.53034247970525,0,0,0,0,0,0,0,0,-4.30869314265223,0,4.12336537298602,0,0,0
"SRR5711557",0,0,0,0,0,5.31622721194407,-2.70801336533956,0,0,0,-2.54966425130381,4.56983774325665,0,0,0,0,0,0,0.144858755064692,0,-2.35616312503359,0,0,0,0,0,4.43810905445219,0,0,0,0,0,0,0,0,0,0.00817647258170729,0,0,-4.69041673634369,0,4.41614802550026,0,0,0,0,0,4.08099424347843,0,0,0
"SRR5711558",5.17606018659954,4.72446432239869,0,0,0,-2.42514546119217,0,0,0,0,0,0,0,-2.37153837296292,0,0,-2.86477588409989,0,-5.98435027096488,0,0,0,0,0,0,0,0,4.67533749687274,0,0,0,4.2004751545299,0,0,-2.38387490218855,0,-0.0460152903950038,0,4.10762495407101,0,0,0,-4.96193738355905,0,0,4.12899244947886,0,0,0,0,0
"SRR5711559",5.06470972930482,-2.35207890714127,0,0,0,0,0,-2.48415496136058,0,0,0,4.62662423462155,0,-2.34158761108932,0,4.07392017057976,0,4.06347512931038,-5.70324473938153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.540413920763209,0,4.05574871278054,0,-4.30268260695082,0,0,0,0,0,-3.05963991332551,0,0,0,5.29945178274542
