"","33039__820_821","550__46503","29382__218538_239935","40545__338188_487174","1735__216816_387090","411489__40518_363265","218538__239935","820__821","1582__74426_204516","1351__571_37734","338188__487174","1363__329_1747","1078764__287_166486","40518__363265","216816__387090","74426__204516","287__166486","457412__584_28116","46228__310297","54291__384638","1282__291644_751585","147802__546_165179","28126__371601_1118061","548__28111_39492","1260__45851_674529","40519__100886","584__28116","33043__46506_357276","296__1318","301301__328812","546__165179","571__37734","322095__39485_328814","28125__573_360807","329__1747","626932__626940","28111__39492","1613__1680","371601__1118061","40214__33035_292800","626933__47678_246787","582__88431","1502__40324","33945__1354_28118","45851__674529","469610__28123_501496","1288121__28117_328813","46506__357276","291644__751585","658086__214856_552398","457394__43765_154046","1689__33038_39488","28130__116085","2173__1535_908612","1632__658081","840__1596","1681__169435_208479","1535__908612","291645__665951","573__360807","39485__328814","47678__246787","1286__562_817","29361__454155","28117__328813","1352__1353","1354__28118","33035__292800","28123__501496","39777__624_1531","47715__1512_147207","214856__552398","729__40520","39486__823_39491","562__817","43765__154046","626930__818_853","29466__36834","33038__39488","823__39491","169435__208479","624__1531","818__853","1512__147207"
"ERR2239231",-2.93604874918416,0,0,0,2.85474021727501,-2.67782647228015,0,5.08538560708602,0,0,0,0,0,4.63813150384216,4.05550778187309,0,0,0,0,0,0,0,0,0,0,0,0,-2.81412890213134,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12913992695807,0,0,0,0,0,-4.87421423753951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38452625579966,0,0,-3.42216334600532,0,0,4.13012062702699,0,0,-5.92736078708112,0
"ERR2239235",-4.94664999638479,0,0,-2.57352162771518,0,0,0,0.209928465921583,-2.50082138074372,0,-4.45747021358005,0,0,0,0,4.33154969210268,0,0,0,0,0,-3.60122542851143,0,0,0,0,0,0,0,0,-6.2375054116908,0,0,3.03753787342436,0,0,0,0,0,0,0,0,0,0,0,0,-2.86835289840908,0,0,0,0,0,0,0,0,0,0,0,0,-4.06527687040089,0,0,0,0,4.96813295408198,0,0,0,0,0,0,0,0,0,0,0,-2.87626816253577,0,0,0,0,0,-4.98184259370473,0
"ERR2239236",-6.60463990248263,0,-3.00582988973493,0,0,0,-5.20625008793006,-0.396639925591202,0,0,0,0,0,0,0,0,0,-2.4860228538677,0,0,0,0,0,0,0,0,-4.30591789167624,0,0,0,0,0,0,-2.5261034055572,0,0,0,0,0,0,-2.64253462359032,0,0,0,0,0,-2.99573048528897,0,0,0,0,0,0,0,0,0,0,0,0,-4.37533944359784,0,4.57700422881833,0,0,5.18875740630347,0,0,0,0,0,0,0,0,0,0,0,-5.16701791753676,0,0,0,0,0,0.400382056520572,0
"ERR2239237",-6.13858322587406,-4.92636842018746,-2.57723952527368,0,0,0,4.4639098010487,-1.54108891891096,0,0,0,0,-2.62356170893194,0,0,0,-4.54414217666236,-2.86697067850809,0,0,0,0,-2.63578601456832,0,0,0,-4.96573887898623,0,0,0,0,0,0,0,0,0,0,0,4.56531529511181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49945593848803,0,0,0,0,0,-4.32918467674101,0,0,0,0
"ERR2239244",-3.40890919278753,0,-3.12015783865687,0,-2.4901737966451,0,5.40427190418799,-5.90440392029661,0,0,0,0,0,0,4.31310753546601,0,0,0,4.16687619683798,0,0,0,0,0,0,0,0,-2.77323589085654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9634837132993,-4.80338546433707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47873564109459,0,5.13290435883727,0,0,0,0,0,0,0,0,-2.3385805407318,-4.29329606890765,0,-3.20785340572847,0,0,4.05054031413937,0,0,5.55616508195458,0
"ERR2239245",-2.70439043673955,-4.37580638943602,0,0,0,0,0,-4.68414163993629,0,5.05581435274157,0,0,0,0,0,0,0,0,0,0,0,-2.91966661525047,0,0,0,-5.27429047954011,0,0,0,0,-5.05701091877646,0,0,-2.68983848358519,0,-5.01802502904395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.65893691772357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17494122008961,0,0,0,0,0,-5.49915950423992,0
"ERR2239246",-4.4866466650714,4.95659562583475,0,0,0,0,0,-0.125338308552915,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.9571620558529,0,0,0,0,0,0,5.9312083415551,0,-0.192488215622356,0,-2.43581238483896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2189508082466,0,0,0,0,0,0,0,0,0,0,0,0,-3.09065781904745,0,0,-2.83900424194583,0,0,-5.3531763714002,0,0,-4.91729958995374,0
"ERR2239247",-3.02769046001576,0,0,-2.25063845767898,0,0,0,5.24411370633888,0,0,-3.89822015816845,0,0,0,0,0,0,-2.63278246476395,0,0,0,0,-2.60745673375761,-2.49380002576629,0,0,-4.56011299424758,-3.03770705973876,0,0,0,0,-2.3122861770609,0,0,0,-4.31938834854379,0,-4.51624754140578,0,0,0,0,0,0,0,-2.75404267323682,-5.26146296597819,0,0,0,0,0,0,0,0,0,0,0,0,-4.00499714030868,0,0,0,4.77014183625899,0,0,0,0,0,0,0,0,-2.39297473671829,0,0,0,0,0,4.14475382522484,0,0,0,0
"ERR2239251",0,0,-4.60012815708081,-2.20096692634385,0,0,1.2271541146538,0,0,0,-3.81218654220626,0,0,0,0,0,0,0,0,0,0,0,0,6.05789128743048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89358437053279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.75239222355914,0,5.01183514575,0,0,0,0,0,0,0,0,0,6.49933398113078,0,-2.52445307628136,0,0,0,0,0,-4.37248098944287,0
"ERR2239270",-2.70928104615624,0,-4.4566970587458,0,-2.23180910192165,-2.11619617997511,0.208382878142616,4.69261242392597,0,0,0,0,0,3.66535930250007,3.86560675732296,0,0,0,0,0,0,0,0,0,-3.09554210757555,0,0,0,4.84682356369789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3616362072897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.40502518982497,0,0,0,0,0,0,0,0,0,0,0,5.89767662982871,0,-2.23670663687803,0,0,0,0,0,-3.87408953669926,0
