"","818__40519_387090","821__856","45851__1605_40518","1304__820_328813","1735__853_165179","309120__397865","729__1502","850__1515_84026","820__328813","28125__28136","46503__454155","189722__228603","218538__234908_351091","40519__387090","310297__310298","1605__40518","28026__762212","228604__29363_39491","853__165179","1018__28111_39492","562__358742","1264__28117_47678","52226__39485_158847","823__817_1297750","371601__28116_204516","840__308994_360807","39484__46506_487175","28117__47678","39485__158847","437898__357276_454154","817__1297750","308994__360807","46506__487175","28111__39492","234908__351091","28116__204516","357276__454154","376804__589436","29363__39491","1515__84026","40520__1161942"
"SRR5446913",0,4.42793997468826,0,0,-6.25071080130208,0,0,0,0,0,0,0,0,0,-1.01690534335803,0,0,0,0.245847610792034,0,0,0,1.95451518156026,0,-2.39221566337444,0,0,0,-4.64503922065569,0,0,0,0,0,0,4.14343907162661,0,0,0,0,0
"SRR5446914",0,4.86079757466081,0,-2.92866624146823,-2.98977518341432,0,0,0,5.07259872863475,0,4.60892063211013,0,5.36233112051569,0,-4.42013520556735,0,0,0,-5.17844252088217,0,0,-5.62015126499539,0,0,0,0,0,0.268651930386175,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5446916",0,0,0,0,-6.03853110177651,0,0,-4.39576518554373,0,0,0,0,1.05381228738722,0,0,0,0,4.40266011329655,-2.51230564278986,0,0,0,-2.38512381032153,0,0,0,0,0,4.13115562181916,0,0,0,0,0,-0.236316486849848,0,0,0,0,0.22279689271479,0
"SRR5446925",0,4.29924818715774,0,0,-6.32279128745714,0,0,0,0,0,0,0,-2.28972187956842,0,-1.39347213690555,0,0,0,-0.819147236899355,0,0,0,-2.29764994408533,0,0,-2.39674378604159,0,0,-3.97964644116359,-2.91466611224179,0,-4.15128201014903,0,0,3.96591463061461,0,5.04834979350203,0,0,0,0
"SRR5446926",0,0,-2.59435041138842,0,-3.51042245923377,0,0,0,0,0,0,0,0,0,-1.28649302569431,-4.49354672516196,4.1479049719489,0,6.08023005542378,0,0,0,-2.20968103217964,0,-2.20146726663117,0,1.51197882343246,0,3.82727981625638,0,0,0,-4.24008490289997,0,0,3.81305315700497,0,0,0,0,0
"SRR5446927",0,0,0,0,1.99710710265893,0,0,0,0,4.21036406423793,0,0,0,0,-1.30408837768404,0,4.06223377803269,0,4.92322168450899,0,0,0,2.17402750888345,0,0,0,0,0,-4.36874903007191,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5446928",4.89890121871515,4.2445414276565,0,-2.35362738308478,-3.4025868534641,0,0,0,4.07660220958822,0,4.25817765026061,0,0,0,-5.60517102985105,0,0,0,-5.89345330736574,0,0,-2.33597077078973,0,-2.73639237959019,-2.52700184066626,0,0,4.04602006000364,0,0,-4.7395706308945,0,0,0,0,-4.37689557885403,0,0,0,0,0
"SRR5446937",4.88661859710076,5.14588971871862,5.35324459287258,-2.83481399642204,0,0,0,0,4.91004187181035,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5875747845536,-5.03760689741125,0,0,-3.09822663290819,0,4.48181099523093,0,-0.30085792794278,0,5.36628594156003,0,0,0,0,0,0,0,0
"SRR5446939",0,4.71882584118049,0,-3.10650244263551,-2.54229761346297,0,0,0,5.38062006448152,0,0,0,0,0,-1.2372286557204,0,0,0,4.40338863447896,0,0,0,0,0,-0.106429479776743,0,0,0,0,0,0,0,0,0,0,-0.473722559930473,0,0,0,0,0
"SRR5446946",-4.61101270994646,3.74664656842768,0,0,-6.39023318219545,0,0,0,0,0,0,0,3.98858534736453,-0.542954026363832,-4.36664786578867,0,0,0,-1.68282241346649,0,0,0,-2.51198248098569,0,0,0,-2.27441512976479,0,4.35088128479013,0,0,0,3.93940256225597,0,0,0,0,0,0,0,0
