"","820__204516_357276","1735__28111_33043","204516__357276","218538__29466_52226","1630__28026","33038__1352_37734","1623__301301_341225","823__1680_29389","1681__40520","40519__1354_2173","1161942__850_185293","179995__1303_46503","261299__309120","39485__821_1264","84030__74426_216816","454154__208479_387090","840__905","29375__165179_187327","29466__52226","1680__29389","301301__341225","28111__33043","39496__33959_589436","1515__1584_39491","29363__40518_239935","817__907","310297__1689_1755626","166486__28116_329854","1502__33039","88431__39778_351091","1308__1304_46506","1358__437898","228603__349096","1352__37734","74426__216816","850__185293","208479__387090","1303__46503","1354__2173","821__1264","97478__573_310298","33959__589436","1584__39491","165179__187327","1689__1755626","40518__239935","39778__351091","573__310298","1304__46506","28116__329854"
"SRR5218326",0,4.49596318694773,0,0,0,0,0,0,-4.31881807020154,0,0,0,0,0,0,-2.50070270351,0,-6.05212239523367,0,0,0,0,0,0,-2.33448782537383,0,1.45106295669081,0,0,0,0,0,0,0,0,0,-4.33134413710416,0,0,0,0,0,0,1.54268002352937,-4.97688990453835,4.04345152319846,0,0,0,0
"SRR5218327",0,5.66265178811522,0,0,0,0,0,-2.87569284151746,-4.21624021265844,-2.47654286665507,-2.76616082586587,0,-3.94749219076176,0,-2.405604898709,0,0,-2.42017813842482,0,4.98084610847036,0,0,0,0,0,0,-2.88411777735651,0,0,0,0,0,0,0,4.16662990750057,-4.79113109230637,0,0,-4.28949807216886,0,0,0,0,4.19187149911926,-4.99543852539409,0,0,0,0,0
"SRR5218328",0,0,0,3.13135984455942,0,0,0,-2.77510496048878,-3.84578837159775,0,0,0,0,0,-2.49590123840799,0,0,-3.52852490461999,-4.8824565414837,4.80662278790299,0,0,0,-2.27796161729344,-2.11449470985823,0,-2.64905135271973,0,0,0,0,0,0,0,4.32302775559671,0,0,0,0,0,0,0,-3.94554525884401,6.11158441057395,-4.58829153476964,-3.66241226981007,0,0,0,0
"SRR5218329",0,0,0,0,0,0,-2.5666407329273,0,-4.1662875512545,0,-2.82551960921637,0,0,-2.61650858445726,-2.46986378801776,0,0,-2.23719811715179,0,0,4.4455521542059,0,0,0,2.25221074080285,0,-3.03092035439725,0,0,0,0,0,0,0,4.27792956862129,-4.89394352094491,0,0,0,4.5319258067201,0,0,0,-3.87494080550434,-5.2497080475107,3.95998003438647,0,0,0,0
"SRR5218330",0,0,0,4.69468387215494,0,0,0,-0.476131574929175,0,0,0,0,0,-3.13279979332015,-5.24677310985399,0,0,0,0,0.477172825775575,0,0,0,0,0,0,-2.8862873820759,0,0,0,0,0,0,0,-0.680774563374982,0,0,0,0,5.42616841197178,-2.45919280752037,0,0,0,-4.99919639100042,0,0,-4.25944688823323,0,0
"SRR5218331",0,5.3967539231675,0,0,0,0,0,0,0,0,0,-2.44672727924272,0,0,0,0,0,-5.79458672475063,0,0,0,0,0,0,0,4.45322894038582,-2.92695892601056,0,0,-2.41723372073095,0,0,0.319456130090415,0,0,0,0,-4.23785595991316,0,0,0,0,0,1.15798492474351,-5.06964157151753,0,-4.18677161807477,0,0,0
"SRR5218332",4.65517589584022,0,0,0,0,0,0,-2.94572892963441,-0.604074364784681,0,0,0,0,-2.9721327297413,0,0,0,0,0,5.10215217145229,0,0,0,0,0,0,-2.84001676104973,0,0,0,-0.681275677439567,0,0,0,0,0,0,0,0,5.14788489475032,0,0,0,0,-4.91905332448534,0,0,0,-1.28503780125661,0
"SRR5218333",0,0,0,0,3.96657662336955,0,0,0,0,0,0,-2.32710711601106,0,-2.56851058459321,0,0,0,-6.26105624003432,0,0,0,0,-2.54038731128015,0,-2.17802321163063,0,-2.86860722042764,0,0,0,0,0,0,0,0,0,0,-4.03066775958624,0,4.44879083229387,-2.24853717557411,-4.40007989404051,0,1.54889720862271,-4.9685734527396,3.77244686260859,0,-3.89458063080178,0,0
"SRR5218334",0.520952313605603,0,-0.0935697899332822,0,0,0,0,0,-4.33742589682324,0,0,0,0,-2.52699327982083,0,0,1.15155682690217,0,0,0,0,0,0,0,0,0,-2.66730513851541,0,0,-2.50651113730291,0,0,0,0,0,0,0,0,0,4.3768807510348,0,0,0,0,-4.61990801919823,0,-4.34140463954588,0,0,0
"SRR5218335",0,0,0,0,0,0,-2.58206438499465,0,0,-2.18111112762032,0,0,0,0,-2.49545358244995,0,0,-1.04070724936872,0,0,4.47226670322482,0,-2.4601706445677,0,-2.32629745188651,0,-2.82299883821206,0,0,0,0,0,0,0,4.32225239273308,0,0,0,-3.77779528999223,0,0,-4.26114055168073,0,1.4422662945253,-4.8895774174912,4.02926538018545,0,0,0,0
"SRR5218374",2.33802226825364,-2.75669004598899,-5.35235354901227,0,0,0,-2.80201501611211,-2.78236186733144,0,0,0,0,0,-2.44966017286265,0,0,0,0,0,4.81919211926027,4.8532323714771,4.77472722037231,0,0,0,0,-2.63515670578434,-2.46240146963859,0,0,-2.91198256308406,0,0,0,0,0,0,0,0,4.24293588067606,0,0,0,0,-4.56422530032431,0,0,0,5.04370175001624,4.26500445404631
"SRR5218375",0,0,0,0,0,-3.60611901742202,0,0,0,-2.69919860980268,0,0,0,0,0,-2.44930678188034,0,0,0,0,0,0,-2.84524825178385,-2.87094157076025,0,0,-2.12681598124118,0,0,0,-2.3365418211358,0,0,6.2459813563153,0,0,4.24232378953977,0,4.67514913189752,0,1.81468962375839,4.92811453223616,4.97261666611835,0,3.68375333785918,0,0,4.75875034151786,4.04700914821671,0
"SRR5218378",0,0,0,4.49752755723874,0,0,0,-2.31298690987681,-4.89121072836078,5.15990324052957,0,0,0,-2.42654945867859,0,0,0,0,0,4.00621084514837,0,0,0,-2.65999753825597,-2.90840770155425,0,-2.79189742106961,0,0,0,4.88607679744147,0,0,0,0,0,0,0,0,4.20290694951008,0,0,-4.60725088426747,0,-4.83570818281308,-5.03750990821658,0,0,0,0
"SRR5218379",5.46888417287549,0,0,0,0,0,0,0,-4.33963672199775,0,0,0,0,-2.8189109034132,-5.82093212601132,0,0,-2.54578660241255,0,0,0,0,0,0,-2.60454561927215,0,0,-2.5618301720566,0,0,0,0,0,0,0.302714569044476,0,0,0,0,4.88249690672154,0,0,0,-4.40943174060668,0,-4.5112053432103,0,0,0,4.43722001836494
"SRR5218381",4.71816710795642,0,0,0,0,0,0,0,-4.31457586602082,0,0,-2.65864742339576,0,2.52939468566577,-2.33466523045977,0,0,0,0,0,0,0,0,0,0,0,0,-2.82448769537798,0,-2.61351330829137,0,0,0,0,4.04375879782082,0,0,4.60491241673354,0,5.18464457448695,-2.63890333814328,0,0,0,0,0,4.52673783621807,4.57071465792727,0,4.89215619374778
"SRR5218394",0,0,0,0,-4.21147433436968,0,0,-3.34620988382393,-4.06775224768573,0,0,0,0,-3.17285976011063,-2.69531762885816,0,0,0,0,5.7958055315722,0,0,0,0,0,0,-4.98163191113141,0,0,2.0999428617337,0,0,0,0,4.66842707571841,0,0,0,0,5.49555430980242,0,0,0,0,0.193755278530735,0,4.55787959291438,0,0,0
"SRR5218396",-5.10212668826635,6.08653906152736,-0.170611189520443,0,0,0,0,-2.64619982162878,0,0,0,0,0,0,-2.40143907256918,0,0,-2.56231107098944,0,4.58335253804074,0,0,0,0,0,0,-2.72842640900616,-2.87220216378466,0,0,0,0,-4.16241702749054,0,4.1594144849709,0,0,0,0,0,0,0,0,-4.43805295974993,-4.72577316511137,0,0,0,0,4.97480007728429
"SRR5218398",0,0,0,-2.72393425118009,0,0,-2.20245283699658,-2.79975647451483,-3.79902067072049,0,0,0,0,-3.5105476660498,0,0,0,0,4.71799251952099,4.84932046267961,3.81476021495229,0,0,0,-4.91490976508787,0,-2.26420617711649,4.51412175404797,0,0,0,0,0,0,0,0,0,0,0,6.08044691999059,0,0,0,0,-3.92172013757706,0.218662552663933,0,0,0,0
