"","584__821","46503__28111_28117","674529__296_310297","1351__166486_360807","37734__46228_74426","384638__39492_204516","40518__1260_147802","33043__328814","310298__165179_218538","28111__28117","301301__820_751585","88431__216816","39492__204516","29361__1582_658081","296__310297","1282__29382_291644","40519__303_626932","548__363265_1118061","820__751585","166486__360807","411489__39485_246787","1747__562_328813","165179__218538","39488__546_571","46228__74426","291645__552398_1070699","1260__147802","40214__40324","582__1304_487173","665951__28116_100886","1352__47770","562__328813","116085__729_371601","363265__1118061","1735__818_626940","1363__1358_387661","39485__246787","28126__626929_626930","39486__410072","29382__291644","40520__40545_329854","28116__100886","546__571","154046__287_47678","823__1078764","28026__550_54291","818__626940","729__371601","552398__1070699","316__43765","624__35833","1353__2173","1358__387661","39490__158836","39496__33039_338188","303__626932","1582__658081","454155__853_239935","1304__487173","545__501496","214856__39491_357276","40545__329854","626929__626930","569__1283_469613","287__47678","1512__329_33038","550__54291","1396__387090_487174","33039__338188","39491__357276","853__239935","1318__658086","1283__469613","658082__817_45851","329__33038","387090__487174","817__45851"
"ERR2239228",0,0,3.13965192347106,-2.65376814218454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59646125377129,0,-3.80651518381244,0,0,0,0,0,0,0,0,0,6.59307769814554,-2.1492625325863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72263190524363,0,0,0,0,0,0,-1.74868041062401,0,0,0,0,0,0,0,0,0,0,-0.110999344823018,0,0,3.0288033174012,0,0,0,0,2.09834780071376,-3.95583277566986,0,0
"ERR2239230",-4.61918540857584,2.19810538148515,0,0,0,0,0,0,0,-4.44316774737324,-5.7944010087207,0,0,0,0,0,0,0,-0.38636721435157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69479145777294,0,0,0,0,0,0,0,0,0,0,0,4.66751572066534,0,0,0,0,0,0,0,0,0,0,-3.41181579517098,0,0,-3.05396888401544,0,0,-3.04279687440511,0,0,0,0,0,5.28962927184917,5.90943830330215,0,5.27027878358142,0,0,0,0
"ERR2239231",0,0,0,0,0,0,5.35565878302129,0,0,0,-2.93605166841465,0.0736321450849809,0,0,0,0,0,0,5.08539066334154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19619456530104,0,0,0,0,0,0,0,0,0,4.13012568328252,0,0,0,0,0,0,0,0,0,0,0,0,-3.42216626523581,0,0,-2.81413182136183,0,0,-2.34824228027848,0,0,0,0,0,-4.87421929379504,5.92736584333665,0,4.06727493792372,0,0,0,0
"ERR2239235",-4.17896538379417,-2.86835581763957,0,-2.3470916146868,-2.50082429997422,0,0,0,-3.60122834774192,-4.96813801033751,-2.53392904557808,0,0,0,0,0,0,0,4.38889384971575,-4.06528192665642,0,0,6.23751046794633,0,-4.33155474835821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87627108176626,0,0,0,0,0,0,0,0,0,-2.57352454694567,0,0,4.98184764996026,0,0,0,0,-4.45747526983558,0
"ERR2239236",-5.91811095744946,-2.99573340451946,0,-2.52610632478769,0,0,0,0,0,-5.18876246255899,-3.18782278656609,0,0,0,0,0,0,0,5.52147103185826,-4.37534449985336,0,0,0,0,0,0,0,0,0,-2.48602577309819,0,0,0,0,-2.69909222205429,0,0,0,0,0,0,4.30592294793177,0,-2.64253754282081,0,0,4.67496486291202,0,0,0,0,0,0,0,0,0,0,-5.47376434290887,0,0,0,0,0,0,-4.57700928507386,0,0,0,0,0,-0.93167233779414,0,0,0,0,0,0
"ERR2239237",-6.08671853256297,5.68848610550599,0,-2.62356462816243,0,0,0,0,3.93124851891337,0,-2.62442048107832,0,0,0,0,0,0,0,4.54562961365201,4.54414723291789,0,0,-4.46391485730423,0,0,0,0,0,0,-2.86697359773858,0,0,-2.63578893379881,0,0,0,0,0,0,0,0,4.96574393524176,0,0,0,0,0,-4.56532035136734,0,0,0,0,0,0,0,0,0,0,0,0,-2.49945885771852,0,0,0,0,0,0,0,0,4.32918973299654,0,0,0,0,0,0,0
"ERR2239239",-4.62811586576548,0,0,0,-2.25179760531389,0,0,0,-3.87455262138376,0,0,-4.14758044541933,0,0,0,0,0,0,0,0,-1.99535011240263,0,6.71092199683585,0,3.90022786076558,0,0,0,0,0,0,0,-1.73431695179578,0,0,0,3.45604777356963,0,0,0,-1.57721126304675,0,0,0,0,0,0,3.00392507693828,0,0,0,0,0,0,0,0,0,-2.37286343036398,0,0,0,2.73181004186686,0,0,0,-1.85679092596298,0,0,0,0,4.10992002081259,0,0,0,-3.21605622280074,0,0
"ERR2239244",-5.90440897655214,-2.96348663252979,0,0,-2.40575001315474,0,0,0,-3.12016075788736,-5.1329094150928,0,-4.31311259172154,0,0,0,0,0,0,0,0,0,0,-5.40427696044352,0,4.16688125309351,0,0,0,0,0,0,0,0,0,-3.20785632495896,0,0,0,0,0,0,0,0,0,4.0505453703949,0,5.5561701382101,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77323881008703,0,0,0,0,0,0,0,0,-4.8033905205926,0,0,0,-2.47873856032508,0,0,4.29330112516318
"ERR2239245",-4.68414669619182,5.05275183218613,0,2.36597878838687,0,0,0,0,-2.91966953448096,0,0,0,0,0,0,0,0,0,0,-4.6589419739791,0,0,5.05701597503199,0,0,0,0,0,0,-3.04511594737725,0,0,0,0,-2.89716102054929,0,0,0,0,0,0,-5.27429553579564,0,0,0,0,-5.01803008529947,0,0,0,0,0,0,0,0,0,0,-3.1749441393201,0,0,0,0,0,0,0,0,0,0,0,0,5.49916456049545,0,0,0,0,0,0
"ERR2239246",-3.94822420028855,0,-3.42438765184708,0,0,0,0,0,-2.53415050870964,0,-2.20714419867479,0,0,0,5.93121339781063,0,0,0,3.82288589173564,0,-2.43581530406945,0,4.38927743511162,-2.42301738560424,0,0,0,0,0,0,0,0,0,0,0,0,4.21895586450213,0,0,0,0,0,4.19678921948926,0,0,-2.86169473807031,0,0,0,0,0,0,0,0,0,0,0,-2.83900716117632,0,0,-3.09066073827794,0,0,0,0,0,4.95660068209028,0,0,5.35318142765573,4.91730464620927,0,0,0,0,0,0
