"","28116__47678","360807__457394","88431__853_357276","100886__674529","291645__1680_40545","46506__328814","853__357276","1680__40545","40214__301301_328813","487175__584_371601","1694__1735_29382","665951__39488_40518","1579__1599","154046__469610","665956__46503_74426","1352__329854","292800__1535_454154","658657__817_823","301301__328813","1502__150055_322095","626929__39491_165179","671218__1363_28137","584__371601","649756__204516_338188","54005__851_552398","56774__28135_291644","1118058__820_239935","39488__40518","626933__1351_411489","225906__328812_626930","46503__74426","376804__46228_751585","1590__1254_53345","1735__29382","726__739_1747","43675__147802","28125__425941","28130__47715","1260__742723","1363__28137","1686__437897","150055__322095","228574__2173_39496","116085__818_821","28135__291644","1547__548_1531","615__1282","39486__363265_410072","1379__28026_54291","39491__165179","817__823","341694__1689_1161942","1226322__571_29361","539__582","1286__658082","851__552398","820__239935","40519__218538_1118061","333367__1283_208479","131111__28118_387090","1351__411489","55565__33039_246787","1535__454154","1246__33043_310297","71452__296_729","204516__338188","739__1747","46228__751585","1254__53345","28037__329_39777","33035__1512_37734","328812__626930","303__287_1681","1382__28111_39485","548__1531","1596__1318_384638","2173__39496","28026__54291","818__821","1689__1161942","363265__410072","1283__208479","571__29361","28118__387090","33039__246787","187326__546_29466","552396__214856_457402","296__729","103892__1304_1211813","665950__39492_40520","33043__310297","329__39777","218538__1118061","28025__1308_626940","1512__37734","28111__39485","287__1681","1318__384638","214856__457402","546__29466","1685__45851_216816","658081__166486_310298","39492__40520","1304__1211813","1308__626940","261299__28117_33038","166486__310298","45851__216816","28117__33038","1226325__562_457412","562__457412"
"ERR2239358",0,0,-6.19936602419808,0,0,0,-0.029138182878796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71638864050719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49736211551931,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3525699063678,0,0,0,0,0,0,0,4.7049231384614,0,0,0,0,0,0,0,0,0,0,0,0,-4.32555806897714,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07477060618659,0,0,0,0,0,0,0,-2.33713940376474,0,0,0,0,-3.05355925065405,0,4.04804419169176,5.28891976605477,-3.4557805028732,5.98558741078231
"ERR2239359",0,0,-5.97406327025666,0,-2.64694752293202,0,0.481906593318113,4.58464759468684,0,0,0,-2.51953339205282,0,0,0,0,0,0,0,0,-3.33279462599273,0,0,0,0,0,-5.43682870815523,-4.36395984640184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77256962341192,0,0,0,0,0,0,1.0105294885903,-2.64040206792557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57331053405702,0,0,0,0,0,0,0,0,0,0,0,0,-2.67065895886167,0,0,4.62571700643741,0,0
"ERR2239373",0,0,-5.70726292986193,0,0,0,-1.76307311241568,0,0,0,0,-2.96205387857467,0,0,-2.46286467042902,0,0,0,0,0,0,0,0,-2.8276758102869,0,0,-5.80372632033113,-5.13042781244778,0,0,4.26580674134945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509561198813205,0,0,0,0,-3.29345991812609,0,0,0,4.89767817075041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.70443991088603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55524113282031,0,0,4.42580746763464,0,0
"ERR2239383",0,0,-3.11175805957656,0,0,0,-5.38972306004855,0,0,0,0,0,0,0,0,0,0,-3.12412796462662,0,-2.45175558554183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.24656524189924,0,0,0,0,0,0,0,0,5.41114836408006,0,0,0,0,0,0,0,0,0,0,-3.59647533876699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22927801491292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31776576184157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01448805955319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86961749736679,6.7023741112968
"ERR2239388",0,0,0,0,-1.5731880851984,0,0,2.72484169342562,0,0,0,0,0,0,0,-3.80162522901739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54147953175187,0,0,2.66992086782172,-3.86944510733652,6.70207552300567
"ERR2239390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46278172097222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2656630686758,0,0,0,0,-2.37793170012203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.11869852153999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15154475653907,5.45863564065296
"ERR2239395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382718344501939,0,0,-0.662887617666007,-3.85332059207274,6.67414704332138
"ERR2239396",0,0,-2.36590917768761,0,0,4.39871801890969,-4.09787490184845,0,-2.16758704718833,0,0,0,0,0,0,0,0,0,-3.75437089555839,0,0,0,0,0,0,0,-2.37055898934529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10592861188518,-2.30655654045851,0,0,0,-2.07518440489862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.594324824359,0,0,0,0,0,0,0,-3.99507311860445,0,0,0,0,0,0,0,0,0,0,0,0,-2.40302673851597,0,0,4.16216440305619,-3.78589890434036,6.55736925463684
"ERR2239402",0,0,0,0,0,-4.60322617229222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.87582889298566,0,0,0,0,0,0,0,0,0,0,0,0,6.7131325640946,0,0,0,0,0,0,0,0
