"","39492__310298","626940__246787_751585","246787__751585","46506__329854","33043__88431_310297","817__100886","338188__28111_360807","88431__310297","410072__818_40545","328814__28117_487174","1118061__820_411489","384638__218538_357276","214856__28116_328813","487175__823_291644","28111__360807","818__40545","28118__166486_674529","573__33038_658081","820__411489","52226__39488_469588","216816__261299","29348__46503_387090","28117__487174","823__291644","218538__357276","39496__1735_47678","40520__46228_457412","1161942__45851_165179","28116__328813","1623__39491_204516","376805__665951","187327__821_40518","158847__33039_239935","166486__674529","46503__387090","1735__47678","33038__658081","39491__204516","658082__853_487173","46228__457412","821__40518","39488__469588","45851__165179","33039__239935","853__487173"
"ERR321182",4.17998240291052,-3.26380181221479,5.65307056459139,0,0,4.89490540206733,0,0,0,0,0,0,2.80916898853768,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34077288972383,-2.8388929673543,0,-3.1595922756437,0,0,-2.36889098481978,0,0,0,0,5.47257435261706,0,2.32228676641262,0,0,4.91710685670762,-4.10303954329974,0
"ERR321186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.62816229346324,0,0,0,0,0,0,0,6.28416143038396,0,0,0,0,0,0,0
"ERR321189",0,0,0,-5.88986844202208,0,0,0,0,0,0,0,-2.42596146862408,0,0,0,0,-2.80087709350986,0,0,0,0,0,0,0,-4.20188852086131,0,0,0,0,-5.63451839326622,0,-3.03799927779064,0,4.85126143171492,0,0,0,-0.874586062479045,0,0,5.26196910249094,0,0,0,0
"ERR321193",0,0,0,0,-2.40848700316739,0,0,4.17162185885523,0,0,-2.8524687195322,0,0,0,0,0,0,0,4.94062074923071,0,0,0,0,0,0,-5.84492904555409,0,-3.08575704995291,0,0,0,-2.71583227936731,-2.46174403562865,0,0,-0.521431890750406,0,0,0,0,4.70395949269977,0,5.3446879903323,-4.26386574493847,0
"ERR321194",0,4.84427597686873,0,0,0,0,0,0,0,0,-3.04390807577217,0,0,-2.23583340583213,0,0,0,0,5.27220344080662,0,0,0,0,3.87257705616101,0,-3.14553484175497,0,-3.00806760540524,0,0,0,-2.55710978618219,-5.38207826826245,0,0,-5.44822616289773,0,0,0,0,4.42904407019915,0,5.21012592516393,0.231250468025347,0
"ERR321195",0,0,0,4.99710523963616,0,3.48838889934905,0,0,0,-2.94895116367535,0,-6.24177561470963,1.69452129534254,0,0,0,0,0,0,0,0,0,-5.10773324452508,0,-1.57993026867071,-3.1992234117584,0,0,4.37353516243165,0,0,0,0,0,0,-5.54121749392939,0,0,0,0,0,0,0,0,0
"ERR321201",0,0,0,0,0,0,0,0,0,-2.21825684947151,-2.48821422149574,-6.03698234601774,0,-2.13296927652387,0,0,0,0,4.30971345174606,0,0,-2.46550348995404,3.84213356752232,3.69441115792277,-0.0576454873633947,0,0,-3.62658918666055,0,-2.64636918083359,0,0,0,0,4.27037731083878,0,0,-4.5836458767882,0,0,0,0,-6.28143672947597,0,0
"ERR321203",0,0,0,0,0,0,0,0,0,-2.8766177645997,0,0,0,0,0,0,0,0,0,0,0,0,-4.98244812224188,0,0,-2.44610691613827,0,-6.60733481921925,0,-5.35226823991362,0,-2.7949410191763,0,0,0,-4.23678145949711,0,0.661227318186578,-2.33269629138278,0,4.84097984937169,0,-0.0518729487286123,0,4.04034849530247
"ERR321205",0,0,0,0,0,0,-2.68874749633816,0,-2.69394621880494,-2.80899986923994,-2.86780316861876,0,-2.4714475229236,0,4.65704727238131,4.66605172382823,0,0,4.9671807941547,0,0,0,-4.8653304919779,0,0,-2.78301356270928,0,0,4.28067267794392,-3.21124937937858,0,-3.04373380928242,0,0,0,-4.82032088876574,0,5.56204708085772,0,0,-5.27190160239231,0,0,0,0
"ERR321206",0,0,0,0,0,0,-2.64234049808438,0,0,-2.75609244651058,-2.9442296029569,0,-2.43658953424812,0,4.576667993579,0,0,0,5.0995552614697,0,0,0,-4.77369214771313,0,0,-2.97568658705117,0,0,4.22029687050834,-3.26470103555754,0,-3.08426697124925,-3.0992424507052,0,0,-5.15404035617386,0,5.65462806510839,0,0,-5.34210709831028,0,0,5.36804538959569,0
"ERR321207",0,0,0,0,0,0,-2.90137859904408,0,0,-2.87054468687401,-2.9032921673326,-5.89303659870895,0,0,-5.02533514553736,0,-2.41161111387631,0,5.02864954303682,0,0,-2.90457176562709,-4.97192924306268,0,-1.19848662687141,-2.3600374300208,0,0,0,-3.31456028166133,0,0,0,4.17703297733154,5.03086587229616,-4.08770473656031,0,-5.74098681258723,0,0,0,0,0,0,0
"ERR321209",0,0,0,0,0,4.72203248343962,0,0,-2.91550919145669,0,-2.21368640019494,-2.94523200759719,0,-2.66401129725168,0,5.04981004953705,0,0,3.83421731716188,0,0,0,0,4.61420291877739,5.10129147723642,-2.30835134029076,0,0,0,-3.00457331619367,0,-3.55612348538085,0,0,0,3.99818180310331,0,5.20407363871315,-2.06708104098208,0,6.15938655466855,0,0,0,3.58028938634332
"ERR321214",0,0,0,0,0,0,-5.08208145875559,0,0,0,-2.60845520622952,-2.76864875721843,0,0,0.351531251150673,0,-2.34965182939294,0,4.51797694645709,0,0,0,0,0,-4.79544031581475,0,0,-3.69024696461612,0,-2.52803024180552,0,-2.34897532851313,0,-4.06971634860573,0,0,0,4.37867682187779,0,0,4.06854461471053,0,6.39169523519194,0,0
