"","165179__562_823","310297__46503_166486","818__820","47678__239935","751585__39485_204516","39492__46506_457412","674529__33039_246787","562__823","28111__46228","46503__166486","39777__548_29466","1304__1318","469591__33038_88431","40519__1358_39486","46506__457412","287__29361_328813","100886__301301","33039__246787","457387__1680_1735","1118061__218538_310298","39485__204516","729__74426","187327__329854_658081","33038__88431","1689__40520","387090__2173_411489","29361__328813","218538__310298","33035__469588","154046__328812","39496__817_410072","1680__1735","1203555__29348_47770","28025__40545_360807","1685__454154","39483__658089","29348__47770","137591__626940","1343__658086","158847__469593","328814__821_853","1512__163665","548__29466","214856__469592","550__338188","1531__208479","1358__39486","1535__216816_357276","329854__658081","584__573_1308","817__410072","1623__102862","2173__411489","821__853","116085__28116_39488","40545__360807","216816__357276","908612__28117_40518","457394__39491_487174","573__1308","28116__39488","39491__487174","28117__40518"
"SRR5275449",-2.34642405379815,0,-4.98255168269834,0,0,0,6.07449771502338,4.06412567728012,0,0,0,0,-3.06909035860242,0,0,0,0,0,-2.42204837917609,0,0,0,0,5.31582043411917,0,0,0,0,0,0,0,4.19511085112283,0,0,0,0,0,0,0,0,-3.24485879453925,0,0,0,0,0,0,-2.36864178586276,0,0,0,0,0,5.62026029552869,-3.42450485538029,0,4.10260791804498,0,0,0,5.93141640028497,0,0
"SRR5275450",0,0,0,0,0,5.15537761099341,-2.7241980297843,0,0,0,0,0,-2.43104102850257,0,0,0,0,4.71844939746544,-2.76478027169397,0,0,0,0,-4.21068657665096,0,0,0,0,0,0,0,4.78873990233804,0,0,0,0,0,0,0,0,-5.27612204090461,0,0,0,0,0,0,0,0,0,0,0,0,0.0257151899164545,-2.47117847621899,0,0,-3.12062237010832,-3.14284827874422,0,4.28020667538193,5.44357289926537,-5.40507649626363
"SRR5275451",0,-2.63217703827835,0.383051643103039,0,0,0,0,0,5.60633565380542,-4.55906436481428,0,0,-2.54290919955975,0,0,0,0,0,0,-2.98276040360713,0,0,0,4.4044479326718,0,0,0,5.16629256585221,0,0,0,0,0,0,0,0,0,0,0,0,-2.68486224622679,0,0,0,0,0,0,0,0,0,0,0,0,-4.6503178217883,0,0,0,-3.15061870594723,-2.8930900690106,0,0,5.01097899039931,-5.45703167397751
"SRR5275452",0,0,-4.58134213596762,0,0,-6.01671271390945,-2.75881264833571,0,0,0,0,0,-2.52378295452365,0,0.892667166776067,0,0,4.7784036754811,0,-3.19153043886581,0,0,0,-4.37132030451125,0,0,0,5.52789287401817,0,0,0,0,0,0,0,0,0,0,0,0,-2.92474496472234,0,0,0,0,0,0,0,0,0,0,0,0,5.06580687808033,-2.56738883428522,0,0,0,-3.10557353904605,0,4.44684790376704,5.37901115626925,0
"SRR5275453",0,0,0,-6.09342855394569,0,-3.96377407898911,0,0,0,0,0,3.15686356043001,-2.18269606668856,0,-0.383428185424346,0,0,0,0,0,0,-3.06000752773025,0,-3.78054048498533,0,0,0,0,0,0,-1.87727183537959,0,0,0,0,0,0,3.51962024449581,0,0,0,0,0,0,0,0,0,0,0,0,-3.25153019849554,0,0,0,0,0,0,0,-2.4723400614564,0,0,4.28221860003045,0
"SRR5275454",-2.5075207837239,0,0,0,0,0,0,4.34315339844472,0,0,0,0,-3.07841210929961,0,0,0,0,0,0,-3.25825720748679,0,0,0,5.3319661799422,5.12059359843136,0,0,5.64346702749461,0,4.39262592127133,0,0,-4.32442181451711,0,0,0,0.389672796700974,0,0,0,0,3.59982024477713,0,0,0,-4.12115358743685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5275455",1.68112634788513,0,0.323677560812177,5.34498898319203,0,-5.72698872966725,0,0.521264271073617,0,0,0,0,0,0,1.4523747900587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42998263148214,0,0,4.20885337923699,0
"SRR5275456",0,-2.75593398439346,0,0,0,0,6.15375642526049,0,0,4.77341768327521,-2.85372799340281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.943528741206976,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.94280187555525,0,0,-0.110563261377102,0,0,0,0,0,0,0,0,-3.59209765732987,0,0,0,0,0,6.22169564824448,0,0
"SRR5275457",0,0,-0.697127438336608,-4.68616214345743,0,0,-3.15812876561181,0,0,0,0,0,0,0,0,-2.70716092001312,0,-5.47003947888444,0,0,0,0,0,0,0,0,-4.68894025772763,0,0,0,-2.58593161348449,0,0,0,0,0,0,0,0,0,-2.92199906840029,0,0,0,-4.49569813793396,0,0,0,0,0,4.4789649394537,0,0,5.06105084613823,0,0,0,-2.79928499562424,0,0,0,0,4.84850383728641
"SRR5275458",0,0,-5.16481515041378,4.39964867355093,-3.04229782858065,0,0,0,0,0,0,0,6.43123714045093,0,0,0,0,0,0,0,-5.26941441085816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05921877999051,0,0,0,0,0,0,0,0,0,0,0,0,5.29872235841243,-2.66191192474312,0,0,0,-5.50576308971432,0,4.61056669892854,-0.479433435979088,0
