"","39491__47770_204516","1735__1623_28111","53345__573_1286","584__287_582","1358__1351_1363","1283__1318","154046__310297","329__501496","116085__384638","310298__376804","54291__158836","1352__562_820","550__40214_40324","39488__216816","363265__45851_454155","287__582","562__820","457412__751585","40545__665951","39486__626940","573__1286","1623__28111","1354__328814_1118061","46228__28116_46506","1680__43765_411489","1351__1363","817__322095","371601__40518_46503","45851__454155","166486__552398","47770__204516","546__1689_33038","328813__624_28126","387090__39492_47678","626933__823_487174","100886__165179_218538","28116__46506","40518__46503","33043__853_357276","39492__47678","165179__218538","33039__821_246787","823__487174","853__357276","328814__1118061","28125__818_28117","239935__301301","821__246787","43765__411489","296__674529","818__28117","291644__328812","729__40520","624__28126","1689__33038","40214__40324","303__1681_261299","1681__261299"
"ERR2239247",0,0,0,0,0,0,0,0,0,0,0,-3.02769735998146,0,0,0,0,-5.24412565743005,0,0,0,0,0,-4.91975671074991,-2.63278936472965,0,0,0,0,0,0,0,0,0,-2.49380692573199,-4.64362699432867,0,4.56012494533874,0,-3.03771395970446,4.31940029963496,0,0,0.24653366705639,-5.26147491706936,-0.511250401097095,-2.75404957320252,0,0,0,0,-4.77015378735015,0,0,0,0,0,0,0
"ERR2239251",0,0,0,0,0,0,0,0,0,0,0,-3.75239912353381,0,0,0,0,6.49934593223749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.20097382631852,-2.65431985773134,0,0,-2.52445997625603,0,-4.59741685312967,0,-3.81219849331296,4.37249294054957,0,-2.89359127050746,3.37026273847588,0,0,0,-5.0118470968567,0,0,0,0,0,0,0
"ERR2239270",0,0,0,0,0,0,0,0,0,0,0,-6.11432003591261,0,-3.86561870841413,-3.09554900754125,0,1.20506420590273,0,0,0,0,0,0,0,0,0,0,-2.11620307994081,5.36164815838086,0,0,0,0,0,0,-2.28851038473367,0,3.66537125359123,-2.23671353684373,0,-3.96381626000772,0,0,3.87410148779042,0,0,3.75543338186511,0,0,4.84683551478905,0,0,0,0,0,0,0,0
"ERR2239271",4.98068540930917,0,0,0,0,0,0,0,0,0,0,-6.52570847338938,0,0,-2.43066307099468,0,0.646676978268036,0,0,0,0,0,0,0,0,0,0,0,4.21003193504419,0,0,4.97278514206901,0,0,0,-2.83364222729749,0,0,-5.48531739961374,0,4.90801230815189,-2.26814469290214,0,0.401137258940764,0,0,0,3.92854184702421,0,0,0,0,0,0,0,0,0,0
"ERR2239273",5.08831456703686,0,0,0,0,0,0,0,0,0,0,-5.95455255564086,0,0,0,0,-1.88196612681584,0,0,0,0,0,0,-2.50313350599653,0,0,0,0,0,0,0,0,0,0,0,-2.8348929867396,4.335554410514,0,-2.50697435272048,0,-4.91017868705367,-3.23457893340387,0,4.34220695218397,0,-2.39976518714874,0,5.60245505374746,0,0,4.15651523037665,0,0,0,0,0,0,0
"ERR2239275",6.07296249852881,0,0,0,0,0,-4.7049392678413,0,0,0,0,-6.58085379877551,0,0,0,0,0.215706044895811,0,0,0,0,0,0,4.8163109023679,0,0,0,0,0,0,0,0,4.58345648402627,0,0,0,0,0,-2.57836396597703,0,0,0,0,4.46585738947702,0,-2.42927668342286,0,0,0,5.0027002146659,-4.2076306413308,0,0,0,0,0,0,0
"ERR2239291",0,-2.57533395246047,-2.94118491190463,0,0,0,0,0,0,0,0,-3.68599807960807,0,0,0,0,6.38433595048249,0,0,0,5.09428170187382,-4.46060925211871,0,-2.00101094320614,-2.51044433495371,0,0,-2.50269099295235,0,0,0,0,0,-2.2129911510904,0,0,3.46585262013435,4.33478795543848,-2.41087154238227,3.83301311038891,0,0,0,4.17575200192803,0,-2.28876201009843,0,0,-4.34821713771329,0,-3.96425208792396,0,0,0,0,0,0,0
"ERR2239293",3.73169737493139,0,0,0,0,0,0,-2.23126485441824,0,0,0,-3.74624603733823,0,0,0,0,6.48868847432338,0,0,0,0,0,0,0,-1.66043375164367,0,0,0,0,0,0,0,0,-2.10415874603499,0,0,0,0,-2.15002605708181,-3.64450985532301,0,-2.725207899309,0,3.72395436846267,0,-1.20279152066633,0,4.72019854279124,2.87595562044903,0,2.08329602470711,0,0,0,0,0,0,0
"ERR2239294",4.64628099472302,0,0,0,0,0,0,0,-3.78884117722518,0,0,-2.5468765372048,0,0,0,0,-4.41131956304381,0,0,0,0,0,-5.53884798317421,-2.17043300037936,0,0,0,0,0,0,0,0,-2.80671309433982,0,0,-3.4105176698377,3.75930023108121,0,-2.87056454794819,0,-5.90718988427031,0,0,4.97196364345225,-0.145777716999007,0,0,0,0,0,0,0,0,-4.86136968166542,0,0,0,0
"ERR2239303",3.04635047973633,0,0,0,0,0,0,0,0,0,0,-3.08016298734552,0,0,0,0,-5.33499878967557,0,0,0,0,0,0,0,0,0,0,0,0,4.70676268717618,-5.02571960597436,0,0,-2.98394404140692,0,0,0,0,-5.82180565832426,-5.1683426866592,0,0,0,-1.07678777035024,0,-2.8028113116634,0,0,0,0,4.85461159582978,0,0,0,0,0,0,0
"ERR2239312",0,0,0,0,0,0,0,0,0,0,0,-3.19238345728317,0,0,0,0,5.52937034525684,0,0,0,0,0,0,-2.31705575523256,0,0,0,0,0,0,0,0,0,-2.5713722147748,0,-6.25666028967333,-4.01325829203266,0,0,4.45374732116086,1.26667265727066,-2.46040741988446,0,0,0,-2.64568146817248,4.59489093104463,4.26155065855935,0,0,-4.58245472351816,0,0,0,0,0,0,0
"ERR2239317",3.42559828129517,0,0,0,0,0,0,0,0,0,0,-3.79851492104321,0,2.03627603439061,0,0,6.57922083655532,0,0,0,0,0,0,0,3.61404429351864,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6349131464121,0,0,-1.24664198738904,0,4.56380344311693,0,0,5.09652187805244,2.15924726100646,0,0,0,0,-2.36631696357446,0,0,0,0,0
"ERR2239318",6.11075975051665,0,0,0,0,0,0,0,-4.05328886615199,0,0,0,0,0,1.73479540178392,0,0,0,0,-5.40165550359742,0,0,0,0,0,0,0,0,5.32032226977694,0,0,0,0,0,0,-3.09174441660197,0,0,-3.14324084779616,0,5.35505841357202,0,0,5.44425284880882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239320",5.65363330606643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.22184546656572,0,0,0,-2.65169824188047,0,0,0,0,0,0,-2.43674062293672,0,-0.674278007604504,4.59287608127804,-5.65376824239362,0,0,-2.41127347017734,-4.22055856379343,0.863997607464066,0,-3.25592208586599,0,4.17644816129007,0,0,-5.63942247820554,0,0,0,0,0,0,0
"ERR2239330",5.81667834869821,0,0,0,0,0,0,0,0,0,0,-2.8477668130871,0,0,0,0,-4.93247680837535,0,0,0,0,0,0,0,0,0,0,-5.22377087705432,0,0,0,0,5.85663719799796,0,0,-2.84608791762145,0,0.143317627297247,-2.73067540057761,0,-4.92956887612826,-3.16065035967686,0,4.72966853277893,0,-2.77294332194189,0,5.47440700792116,0,0,-4.80287872011217,0,0,0,0,0,0,0
"ERR2239331",0,0,0,0,0,0,0,0,0,0,0,-5.263401989368,0,0,0,0,2.95376229195415,0,0,0,0,0,0,-1.78272263006612,0,0,0,0,0,0,0,0,0,0,0,-3.13833958786911,-3.08776617107734,0,-2.30382064005089,0,5.43576361759408,-2.22981588899293,0,3.99033440009399,0,-2.16791822069529,0,3.86215441126012,0,0,-3.75494450489857,0,0,0,0,0,0,0
"ERR2239339",5.78255246872468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92184482898826,0,0,0,0,0,-2.32709676628117,-2.29638227167161,-3.75154885509228,0,0,-2.5170332679647,-4.03064983332822,6.49787322409667,-2.52266089806602,-3.97745076813567,4.35962950445599,0,0,0,4.36937684571769,0,0,0,0,3.59746175986561,0,0,0,0,0
"ERR2239340",0,0,0,0,0,0,4.55003891017092,0,0,0,0,-5.84714292786216,0,0,0,0,0.868813556940315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.26257890047115,0,-2.50283991662704,0,0,-2.67336617095127,-1.20966827286957,4.33504589880949,2.4962677107433,0,4.63040603532347,0,0,0,4.22485182137564,0,0,0,0,0,0,0,0,0,0
"ERR2239352",0,0,-2.68617065198584,0,0,0,0,0,0,0,0,-3.50907991249723,0,-0.549102548353177,0,0,6.07790469626456,0,0,0,4.65258404703988,0,0,0,0,0,0,0,0,0,0,1.15322681941828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20839334399756,0,0,0
"ERR2239358",-2.7164125255007,0,0,0,0,0,0,0,0,0,0,-3.45580438786671,0,0,-2.33716328875825,0,5.98562878080461,0,0,0,0,0,-2.35259379136132,0,0,0,0,0,4.04808556171406,0,-4.7049645084837,0,0,0,-2.6270316971118,0,0,0,-6.19941379418511,0,0,-2.49738600051282,-4.55015237249153,-0.029138182878796,-4.0748119762089,-3.05358313564757,0,4.32559943899945,0,0,-5.28896113607707,0,0,0,0,0,0,0
"ERR2239373",-2.82769969528042,0,0,0,0,0,0,0,0,0,0,-3.04898469281077,0,0,0,0,-5.28099639944805,0,0,0,0,0,0,0,0,0,0,-5.42496631899072,0,0,-4.89771954077271,0,0,0,0,0,0,0.864621071098332,-5.70731069984895,0,0,-3.29348380311961,0,-1.76307311241568,0,-2.55526501781383,4.77143520063484,-5.70448128090833,0,0,-4.42584883765694,0,0,0,0,0,0,0
"ERR2239383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16458312218082,0,0,0,0,0,0,0,0,0,0,0,-3.11178194464771,0,0,7.19299844767627,0,-5.38976443020532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239385",0,0,0,0,0,0,0,0,0,0,0,-3.86964138246899,0,0,0,0,6.70241548150736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31778964694377,0,0,0,0,-4.01452942976374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239388",0,0,0,0,0,0,0,0,0,0,0,-3.86946899240767,0,0,0,0,6.70211689316244,0,0,0,0,0,0,0,3.14642394053909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54150341682302,0,0,0,0,-2.66996223797849,0,0,0,0,0,0,0
"ERR2239390",0,0,0,0,0,0,0,0,0,0,0,-5.61437424768464,0,0,0,0,1.19297257197716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3779555852087,0,0,0,0,0,-4.11873989172366,0,0,0,0,0,0,0,0,0,0
"ERR2239395",0,0,-2.37696787706308,0,0,0,0,0,0,0,0,-3.85334447714389,0,0,0,0,6.67418841347815,0,0,0,4.11702913103239,0,0,0,0,0,0,0,0,0,0,-0.382742229573085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.662928987822777,0,0,0
"ERR2239396",0,0,0,0,0,0,0,0,0,0,0,-6.15650566367268,0,0,0,0,2.45144064275166,0,0,0,0,0,-2.30658042545203,-2.53962491730028,0,0,0,0,0,0,0,0,4.33522186436369,0,-2.41368016131904,0,-4.398759388932,0,-2.36593306268113,0,0,-2.07520828989213,-4.18061667262563,-4.09791627187076,-3.99511448862675,-2.40305062350948,0,-3.5943661943813,0,0,-4.16220577307849,0,0,0,0,0,0,0
"ERR2239402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.65769775481584,0,0,0,0,0,0,0,0,0,0,-3.87585277808786,0,0,0,0,0,6.71317393430515,0,0,0,0,4.60326754250277,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239443",5.26818776214713,0,0,0,0,0,0,0,0,0,0,-2.52938363481551,0,-4.53593878088445,-3.21394115297998,0,-4.38102096733371,0,4.45683915115877,0,0,0,0,0,5.62125872193259,0,0,-2.41285169335095,5.56670936949782,0,0,0,0,0,0,0,0,-4.17918172401244,-3.12736403965197,0,0,-2.74520358815469,0,5.41675341044107,0,0,0,4.75483209180432,0,0,0,0,0,0,0,0,0,0
