"","329__820_853","823__39491","1304__1358_1363","40214__40324","28130__116085_371601","1282__818_47678","411489__28111_357276","820__853","674529__487175_552398","328812__363265_384638","1260__33043","1582__296_626940","626932__165179_360807","100886__39486_410072","116085__371601","54291__158836","291644__751585","28111__357276","582__287_88431","729__46506_166486","1283__562_328813","818__47678","1689__1735_216816","550__545_624","1286__571_573","363265__384638","40519__546_33039","1354__40545_310297","296__626940","165179__360807","626933__239935_246787","287__88431","562__328813","28126__46228_328814","322095__817_218538","338188__28117_40518","546__33039","1623__1680_45851","46506__166486","665951__821_204516","239935__246787","40545__310297","817__218538","571__573","501496__39485_39492","1680__45851","1735__216816","821__204516","1318__28026_147207","46228__328814","37734__28116_487174","301301__457412","28117__40518","39485__39492","74426__147802","1358__1363","28116__487174","487175__552398","43765__1681_754333","545__624","1681__754333","1352__1353","39486__410072","28026__147207"
"ERR2239227",-6.0938496670243,-5.40557002986189,0,0,0,0,0,-0.785307078776888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73779390273159,0,-2.4864944244287,0,-2.76963547419508,0,0,0,0,-5.33058845377607,-4.30673467584724,0,4.797149359751,0,0,-3.25727109469806,0,4.7419981401834,-0.65823362642716,0,0,5.64175903004254,0,0,0,0,0,0,0
"ERR2239230",-6.19748859187089,-5.28963524737727,0,0,0,-2.6947949077457,0,-1.08452343721164,0,0,0,0,0,0,0,0,-5.21128805597019,0,0,0,6.08560064875573,4.66752169619344,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56526754497336,0,0,0,-2.66689138905081,0,0,0,0,0,0,0,4.61919138410395,0,0,0,0,4.44317372290134,0,0,0,0,0,0,0,0,0,0,0
"ERR2239231",-6.35822483359597,4.13013165881062,0,0,0,0,-2.81413527133459,-0.841975179995102,0,0,0,0,0,0,0,0,0,-4.87422526932314,-2.38396641755412,0,4.69649146050248,0,-4.93955561139158,0,0,0,0,0,0,0,0,-4.1291509587417,0,0,0,-2.6778328414834,0,0,0,0,0,0,0,0,0,0,0.444523658428725,0,0,0,0,0,-4.63814253562579,0,0,0,0,0,0,0,0,0,0,0
"ERR2239235",-5.41020702728986,0,0,0,0,0,0,-0.592953800244512,0,0,0,0,-5.94832686237424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17222854128991,0,0,0,0,0,-2.86835926761233,0,0,0,-2.41273023924045,0,0,0,0,0,0,0,4.17897135932227,0,0,-2.57352799691843,0,4.96814398586561,0,4.33156072388631,0,-4.45748124536368,0,0,0,0,0,0,0
"ERR2239236",-5.65576122045505,0,0,0,0,-5.34163666482062,0,1.24688822546681,0,0,0,0,-2.52610977476045,0,0,0,0,0,0,0,0,0.0979555778381597,0,0,0,0,0,0,0,-4.37535047538147,-3.00583625893818,0,0,0,0,-2.99573685449222,0,0,0,-3.41682640435028,5.20626111971369,0,0,0,0,0,0,5.91811693297756,0,0,-2.48602922307095,0,5.1887684380871,0,0,0,4.30592892345987,0,0,0,0,0,0,0
"ERR2239237",-2.62442393105108,-4.32919570852464,0,0,-2.63579238377157,0,0,4.54563558918011,0,0,0,0,0,0,-4.56532632689544,0,0,0,0,-2.62356807813519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57724589447693,0,0,0,-4.54415320844599,-3.51417203322947,0,0,-4.46392083283233,0,0,0,0,6.08672450809107,0,0,-2.86697704771134,0,0,0,0,0,4.96574991076986,0,0,0,0,0,0,0
"ERR2239245",-3.17494758929285,0,0,0,0,0,0,-5.49917053602355,0,0,0,-2.89716447052205,-5.60951783724215,6.09023879470002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01803606082758,0.398074001052892,0,0,0,0,0,0,0,0,0,-2.7043968059428,0,0,0,0,0,0,0,4.68415267171992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239246",-5.04615825979663,-5.35318740318383,0,0,0,0,0,-1.09441875447363,0,0,0,-3.42439110181984,-2.5341539586824,0,0,0,0,0,0,0,0,0,0,5.72339637608613,0,0,-2.423020835577,0,5.93121937333873,4.38928341063972,0,0,0,0,0,0,4.19679519501736,0,0,-2.27951175483035,0,0,0,0,-2.43581875404221,0,0,3.94823017581665,0,0,0,0,0,4.21896184003023,0,0,0,0,0,0,0,0,0,0
"ERR2239247",-3.02769682921901,4.14476485700847,0,0,0,0,-3.037713428942,5.24412473812251,0,0,0,0,0,0,0,0,0,-5.26147399776182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31229254626415,0,-2.75404904244007,0,0,0,0,0,0,0,0,-2.49380639496954,0,0,0,0,-4.00500817209231,-4.88343366084943,0,4.77015286804262,-4.31939938032742,0,0,0.66189283607913,0,0,0,0,0,0,0
"ERR2239251",-2.52445944549289,0,0,0,0,0,0,-4.37249202124084,0,0,0,0,0,0,0,0,0,0,0,0,-3.75239859277067,0,0,0,0,0,0,0,0,0,-1.94582156853567,0,6.49934501292876,0,-2.6543193269682,-2.89359073974432,0,0,0,0,3.37026181916715,0,-4.59741593382094,0,0,0,0,0,0,0,-2.20097329555538,0,5.01184617754797,0,0,0,-3.81219757400423,0,0,0,0,0,0,0
